No,Size,Type,IsDegradeRead,replicas,nativeec,hydra,microec,NativeecTimes,HydraTimes,MicroecTimes,,,
694,2628,GET,FALSE,4.93,16.674,12.746,10.693,3.38,2.59,2.17,,,
1993,2628,GET,FALSE,5.552,18.486,15.301,9.32,3.33,2.76,1.68,,,
8158,2628,GET,FALSE,4.516,16.615,11.862,11.817,3.68,2.63,2.62,,,
3144,2628,GET,FALSE,5.685,30.504,17.189,10.852,5.37,3.02,1.91,,,
562,2628,GET,FALSE,5.407,21.86,15.341,11.325,4.04,2.84,2.09,,,
7841,2628,GET,FALSE,4.361,13.719,11.08,7.406,3.15,2.54,1.7,,,
153,2628,GET,FALSE,5.236,15.972,17.122,9.975,3.05,3.27,1.91,,,
4655,2628,GET,FALSE,4.868,12.326,14.978,9.438,2.53,3.08,1.94,,,
514,2628,GET,TRUE,5.631,22.749,14.952,14.988,4.04,2.66,2.66,,,
2243,2628,GET,FALSE,5.851,27.235,13.743,12.735,4.65,2.35,2.18,,,
10117,2628,GET,FALSE,5.131,31.062,14.398,11.187,6.05,2.81,2.18,,,
8197,2628,GET,FALSE,5.941,20.794,14.299,12.014,3.5,2.41,2.02,,,
2147,2628,GET,FALSE,4.552,16.533,13.277,8.605,3.63,2.92,1.89,,,
1199,2628,GET,FALSE,5.435,17.471,21.682,8.894,3.21,3.99,1.64,,,
1893,2628,GET,FALSE,5.829,20.138,14.379,9.98,3.45,2.47,1.71,,,
324,2628,GET,FALSE,5.543,29.355,19.061,9.109,5.3,3.44,1.64,,,
4939,2628,GET,FALSE,3.758,14.908,10.465,8.194,3.97,2.78,2.18,,,
9805,2628,GET,TRUE,4.987,20.634,19.967,13.238,4.14,4,2.65,,,
70,2628,GET,FALSE,5.92,29.388,15.965,9.772,4.96,2.7,1.65,,,
8395,2628,GET,FALSE,5.06,13.01,15.056,8.328,2.57,2.98,1.65,,,
6647,2628,GET,FALSE,5.246,12.401,10.975,8.34,2.36,2.09,1.59,,,
9868,2628,GET,FALSE,4.546,18.27,11.894,9.397,4.02,2.62,2.07,,,
8869,2628,GET,FALSE,4.521,15.607,13.939,9.915,3.45,3.08,2.19,,,
752,2628,GET,FALSE,5.092,22.726,17.396,9.193,4.46,3.42,1.81,,,
5907,2628,GET,FALSE,5.549,15.86,14.077,11.579,2.86,2.54,2.09,,,
7823,2628,GET,TRUE,4.506,16.821,14.942,11.924,3.73,3.32,2.65,,,
6700,2628,GET,FALSE,5.864,20.245,21.316,9.845,3.45,3.64,1.68,,,
3112,2628,GET,FALSE,5.615,14.563,17.436,11.701,2.59,3.11,2.08,,,
2489,2628,GET,FALSE,4.693,23.805,15.378,9.466,5.07,3.28,2.02,,,
3266,2628,GET,TRUE,4.413,17.419,15.098,11.675,3.95,3.42,2.65,,,
6422,2628,GET,FALSE,5.41,18.587,13.699,10.211,3.44,2.53,1.89,,,
8491,2628,GET,TRUE,5.877,30.168,22.147,15.369,5.13,3.77,2.62,,,
7353,2628,GET,FALSE,4.544,8.513,13.181,7.503,1.87,2.9,1.65,,,
1159,2628,GET,TRUE,4.527,19.282,16.455,11.881,4.26,3.63,2.62,,,
1581,2628,GET,FALSE,5.646,19.292,14.792,11.764,3.42,2.62,2.08,,,
201,2628,GET,FALSE,5.254,17.517,16.389,8.836,3.33,3.12,1.68,,,
1167,2628,GET,FALSE,4.387,19.686,13.01,6.987,4.49,2.97,1.59,,,
1738,2628,GET,FALSE,4.755,16.705,12.335,9.894,3.51,2.59,2.08,,,
5371,2628,GET,FALSE,4.741,12.156,13.78,8.117,2.56,2.91,1.71,,,
7313,2628,GET,TRUE,4.66,22.312,17.056,12.207,4.79,3.66,2.62,,,
6900,2628,GET,FALSE,4.389,16.656,11.92,8.921,3.79,2.72,2.03,,,
5367,2628,GET,FALSE,4.664,15.46,14.804,9.429,3.31,3.17,2.02,,,
2071,2628,GET,FALSE,5.062,14.573,15.191,8.666,2.88,3,1.71,,,
7368,2628,GET,FALSE,4.374,17.514,17.144,6.943,4,3.92,1.59,,,
10410,2628,GET,FALSE,4.935,22.098,15.341,10.077,4.48,3.11,2.04,,,
4597,2628,GET,FALSE,4.82,26.421,16.96,7.93,5.48,3.52,1.65,,,
8433,2628,GET,FALSE,5.911,13.542,15.135,10.746,2.29,2.56,1.82,,,
583,2628,GET,TRUE,4.879,21.801,15.361,10.576,4.47,3.15,2.17,,,
3073,2628,GET,FALSE,4.58,15.693,16.225,12.221,3.43,3.54,2.67,,,
1027,2628,GET,FALSE,4.98,15.197,19.853,9.519,3.05,3.99,1.91,,,
3671,2628,GET,FALSE,4.451,10.582,14.957,8.946,2.38,3.36,2.01,,,
3677,2628,GET,FALSE,4.563,9.964,8.754,9.166,2.18,1.92,2.01,,,
5204,2628,GET,FALSE,5.24,14.801,14.047,8.51,2.82,2.68,1.62,,,
2785,2628,GET,FALSE,4.336,18.962,16.896,9.262,4.37,3.9,2.14,,,
6,2628,GET,FALSE,4.514,13.702,13.775,7.292,3.04,3.05,1.62,,,
7966,2628,GET,FALSE,5.155,21.386,11.545,9.874,4.15,2.24,1.92,,,
204,2628,GET,TRUE,5.968,18.41,20.494,12.119,3.08,3.43,2.03,,,
6536,2628,GET,FALSE,4.568,16.733,13.434,7.4,3.66,2.94,1.62,,,
9285,2628,GET,FALSE,5.303,12.199,19.828,10.854,2.3,3.74,2.05,,,
207,2628,GET,TRUE,5.569,19.861,20.573,11.964,3.57,3.69,2.15,,,
9067,2628,GET,FALSE,4.482,13.517,12.588,9.469,3.02,2.81,2.11,,,
4920,2628,GET,FALSE,4.895,18.746,13.643,9.281,3.83,2.79,1.9,,,
222,2628,GET,FALSE,14.428,38.766,35.457,7.32,2.69,2.46,0.51,,,
3941,2628,GET,FALSE,3.695,11.172,11.461,5.929,3.02,3.1,1.6,,,
5617,2628,GET,FALSE,4.483,11.226,13.734,8.521,2.5,3.06,1.9,,,
7939,2628,GET,FALSE,4.952,15.909,15.268,10.214,3.21,3.08,2.06,,,
494,2628,GET,FALSE,6.527,19.831,13.261,10.669,3.04,2.03,1.63,,,
9175,2628,GET,FALSE,4.171,12.994,14.016,8.948,3.12,3.36,2.15,,,
2394,2628,GET,FALSE,5.062,17.615,15.241,10.182,3.48,3.01,2.01,,,
5253,2628,GET,FALSE,4.479,17.884,16.987,9.238,3.99,3.79,2.06,,,
51,2628,GET,FALSE,7.307,12.454,11.441,7.583,1.7,1.57,1.04,,,
2002,2628,GET,FALSE,4.952,19.143,12.775,10.127,3.87,2.58,2.05,,,
5976,2628,GET,FALSE,5.128,13.196,16.686,10.302,2.57,3.25,2.01,,,
4694,2628,GET,FALSE,5.19,24.791,13.43,9.172,4.78,2.59,1.77,,,
5374,2628,GET,TRUE,5.837,23.437,17.282,12.437,4.02,2.96,2.13,,,
5399,2628,GET,FALSE,5.111,17.22,12.894,10.613,3.37,2.52,2.08,,,
2706,2628,GET,FALSE,4.604,25.43,18.722,9.785,5.52,4.07,2.13,,,
6327,2628,GET,FALSE,22.943,10.952,10.742,8.714,0.48,0.47,0.38,,,
3886,2628,GET,FALSE,4.716,11.904,13.329,10.046,2.52,2.83,2.13,,,
6774,2628,GET,FALSE,5.682,17.056,17.531,10.363,3,3.09,1.82,,,
9680,2628,GET,FALSE,4.265,14.831,13.633,9.064,3.48,3.2,2.13,,,
3140,2628,GET,FALSE,4.209,9.817,13.189,7.982,2.33,3.13,1.9,,,
1646,2628,GET,FALSE,5.094,21.396,17.71,10.441,4.2,3.48,2.05,,,
3733,2628,GET,FALSE,4.939,14.227,15.706,10.642,2.88,3.18,2.15,,,
329,2628,GET,FALSE,5.331,31.199,14.927,8.63,5.85,2.8,1.62,,,
1604,2628,GET,FALSE,5.139,11.629,11.908,11.019,2.26,2.32,2.14,,,
5273,2628,GET,FALSE,4.368,16.652,16.75,8.779,3.81,3.83,2.01,,,
611,2628,GET,FALSE,5.327,29.034,19.592,8.571,5.45,3.68,1.61,,,
1330,2628,GET,FALSE,5.32,17.528,19.182,11.392,3.29,3.61,2.14,,,
6927,2628,GET,FALSE,4.834,20.659,16.886,10.27,4.27,3.49,2.12,,,
4760,2628,GET,TRUE,5.962,27.318,19.669,12.745,4.58,3.3,2.14,,,
10167,2628,GET,FALSE,5.35,14.452,13.111,9.478,2.7,2.45,1.77,,,
8128,2628,GET,FALSE,5.472,14.161,16.048,11.12,2.59,2.93,2.03,,,
4398,2628,GET,FALSE,4.213,15.17,13.623,11.268,3.6,3.23,2.67,,,
453,2628,GET,FALSE,5.022,22.335,13.795,10.736,4.45,2.75,2.14,,,
1598,2628,GET,FALSE,5.604,14.996,13.012,11.566,2.68,2.32,2.06,,,
3640,2628,GET,FALSE,4.927,11.301,20.717,10.686,2.29,4.2,2.17,,,
3910,2628,GET,TRUE,4.776,24.046,18.175,12.539,5.03,3.81,2.63,,,
10754,2628,GET,FALSE,5.279,13.968,13.118,8.614,2.65,2.48,1.63,,,
2791,2628,GET,FALSE,4.846,16.387,15.977,8.784,3.38,3.3,1.81,,,
5212,2628,GET,FALSE,4.543,14.9,13.19,7.405,3.28,2.9,1.63,,,
7900,2628,GET,FALSE,4.824,22.072,10.823,8.187,4.58,2.24,1.7,,,
7047,2628,GET,FALSE,5.599,22.298,11.658,9.104,3.98,2.08,1.63,,,
5460,2628,GET,FALSE,4.159,16.96,11.484,8.745,4.08,2.76,2.1,,,
2146,2628,GET,FALSE,5.258,16.994,14.034,8.407,3.23,2.67,1.6,,,
8318,2628,GET,FALSE,5.056,17.026,13.749,10.594,3.37,2.72,2.1,,,
4509,2628,GET,FALSE,5.095,25.352,15.253,9.631,4.98,2.99,1.89,,,
6583,2628,GET,FALSE,4.213,7.373,10.855,6.889,1.75,2.58,1.64,,,
4547,2628,GET,FALSE,5.72,27.391,17.803,11.843,4.79,3.11,2.07,,,
505,2628,GET,FALSE,4.449,17.904,11.202,7.069,4.02,2.52,1.59,,,
8449,2628,GET,FALSE,4.623,15.583,14.67,9.441,3.37,3.17,2.04,,,
3856,2628,GET,FALSE,4.949,25.549,17.434,8.757,5.16,3.52,1.77,,,
3791,2628,GET,FALSE,5.74,17.484,17.383,9.111,3.05,3.03,1.59,,,
1147,2628,GET,FALSE,5.139,23.701,19.687,8.432,4.61,3.83,1.64,,,
140,2628,GET,FALSE,5.58,20.856,16.373,10.828,3.74,2.93,1.94,,,
2111,2628,GET,FALSE,4.521,23.851,13.077,9.822,5.28,2.89,2.17,,,
2332,2628,GET,FALSE,4.634,20.828,12.668,9.46,4.49,2.73,2.04,,,
1281,2628,GET,FALSE,4.383,11.749,14.964,8.864,2.68,3.41,2.02,,,
1158,2628,GET,FALSE,5.244,14.662,18.768,9.288,2.8,3.58,1.77,,,
1751,2628,GET,FALSE,5.071,13.828,12.501,8.34,2.73,2.47,1.64,,,
116,2628,GET,FALSE,5.37,20.691,18.191,10.344,3.85,3.39,1.93,,,
5935,2628,GET,FALSE,5.004,14.88,11.226,8.406,2.97,2.24,1.68,,,
696,2628,GET,FALSE,6.069,18.947,14.89,12.364,3.12,2.45,2.04,,,
4671,2628,GET,FALSE,5.083,25.319,13.667,8.967,4.98,2.69,1.76,,,
6631,2628,GET,FALSE,5.639,17.31,11.634,9.366,3.07,2.06,1.66,,,
3915,2628,GET,TRUE,4.966,23.601,19.199,13.092,4.75,3.87,2.64,,,
7088,2628,GET,FALSE,4.385,15.717,14.381,11.511,3.58,3.28,2.63,,,
1351,2628,GET,FALSE,6.25,16.675,17.596,10.018,2.67,2.82,1.6,,,
4852,2628,GET,FALSE,4.874,28.784,14.868,10.495,5.91,3.05,2.15,,,
6153,2628,GET,FALSE,5.391,14.454,13.373,11.371,2.68,2.48,2.11,,,
5896,2628,GET,FALSE,5.618,28.824,16.073,11.465,5.13,2.86,2.04,,,
9658,2628,GET,FALSE,5.872,18.172,20.031,9.555,3.09,3.41,1.63,,,
361,2628,GET,FALSE,5.054,20.818,15.783,8.218,4.12,3.12,1.63,,,
4107,2628,GET,FALSE,4.693,14.494,13.749,9.898,3.09,2.93,2.11,,,
2781,2628,GET,TRUE,4.277,27.016,14.846,11.312,6.32,3.47,2.64,,,
1797,2628,GET,FALSE,4.571,12.503,10.913,9.411,2.74,2.39,2.06,,,
1259,2628,GET,FALSE,5.356,15.301,16.958,8.562,2.86,3.17,1.6,,,
7874,2628,GET,FALSE,4.74,24.182,18.029,12.464,5.1,3.8,2.63,,,
6000,2628,GET,FALSE,4.343,14.417,11.882,9.148,3.32,2.74,2.11,,,
1577,2628,GET,FALSE,5.269,19.048,17.012,11.095,3.62,3.23,2.11,,,
9093,2628,GET,TRUE,4.719,26.194,17.995,12.448,5.55,3.81,2.64,,,
10137,2628,GET,FALSE,4.459,24.131,14.065,7.912,5.41,3.15,1.77,,,
4897,2628,GET,FALSE,4.648,18.074,13.278,9.605,3.89,2.86,2.07,,,
6977,2628,GET,FALSE,4.588,22.092,13.417,9.621,4.82,2.92,2.1,,,
7080,2628,GET,FALSE,4.311,15.538,16.189,8.903,3.6,3.76,2.07,,,
8724,2628,GET,FALSE,4.846,19.542,13.505,8.153,4.03,2.79,1.68,,,
1873,2628,GET,FALSE,5.644,23.968,22.712,12.19,4.25,4.02,2.16,,,
1527,2628,GET,FALSE,4.533,31.516,16.948,8.672,6.95,3.74,1.91,,,
2534,2628,GET,FALSE,4.351,13.464,15.702,10.106,3.09,3.61,2.32,,,
1370,2628,GET,FALSE,5.081,14.955,18.195,11.705,2.94,3.58,2.3,,,
6253,2628,GET,FALSE,5.531,8.396,10.681,8.209,1.52,1.93,1.48,,,
633,2628,GET,TRUE,4.076,26.095,16.948,10.038,6.4,4.16,2.46,,,
6218,2628,GET,TRUE,4.62,13.282,15.257,10.814,2.87,3.3,2.34,,,
635,2628,GET,TRUE,5.034,26.609,19.095,11.771,5.29,3.79,2.34,,,
1263,2628,GET,TRUE,4.366,16.703,15.165,11.285,3.83,3.47,2.58,,,
1276,2628,GET,FALSE,3.949,13.952,14.286,7.079,3.53,3.62,1.79,,,
3131,2628,GET,FALSE,6.544,14.398,16.805,12.668,2.2,2.57,1.94,,,
9164,2628,GET,FALSE,4.301,9.697,13.217,10.082,2.25,3.07,2.34,,,
6098,2628,GET,FALSE,6.958,21.26,17.931,10.312,3.06,2.58,1.48,,,
6975,2628,GET,FALSE,5.418,25.215,18.435,8.017,4.65,3.4,1.48,,,
4334,2628,GET,FALSE,5.056,20.455,13.142,9.25,4.05,2.6,1.83,,,
876,2628,GET,FALSE,4.424,15.815,11.582,8.727,3.57,2.62,1.97,,,
1483,2628,GET,FALSE,4.307,21.577,14.288,10.599,5.01,3.32,2.46,,,
873,2628,GET,FALSE,4.778,17.787,11.704,8.535,3.72,2.45,1.79,,,
5902,2628,GET,TRUE,6.135,16.753,16.254,14.339,2.73,2.65,2.34,,,
789,2628,GET,FALSE,5.121,25.878,15.611,9.036,5.05,3.05,1.76,,,
4580,2628,GET,FALSE,5.299,19.362,14.916,9.463,3.65,2.81,1.79,,,
6356,2628,GET,FALSE,5.059,16.391,14.025,9.438,3.24,2.77,1.87,,,
2474,2628,GET,FALSE,4.671,19.974,9.935,8.394,4.28,2.13,1.8,,,
1270,2628,GET,FALSE,4.389,12.316,14.933,7.877,2.81,3.4,1.79,,,
7369,2628,GET,FALSE,4.124,13.922,12.395,6.059,3.38,3.01,1.47,,,
822,2628,GET,FALSE,5.188,32.756,17.481,8.984,6.31,3.37,1.73,,,
7914,2628,GET,FALSE,5.216,16.245,15.934,7.679,3.11,3.05,1.47,,,
6185,2628,GET,TRUE,5.209,16.586,20.949,12.287,3.18,4.02,2.36,,,
10027,2628,GET,FALSE,5.224,22.782,20.184,12.319,4.36,3.86,2.36,,,
6870,2628,GET,FALSE,4.517,15.924,13.225,10.653,3.53,2.93,2.36,,,
4337,2628,GET,FALSE,4.546,12.717,9.367,7.8,2.8,2.06,1.72,,,
1812,2628,GET,FALSE,4.823,16.868,11.841,9.414,3.5,2.46,1.95,,,
565,2628,GET,FALSE,5.264,17.278,13.088,10.145,3.28,2.49,1.93,,,
7412,2628,GET,FALSE,5.085,15.652,9.232,9.099,3.08,1.82,1.79,,,
2693,2628,GET,TRUE,4.723,23.644,16.469,12.028,5.01,3.49,2.55,,,
8048,2628,GET,FALSE,4.637,16.305,15.85,10.888,3.52,3.42,2.35,,,
1469,2628,GET,FALSE,4.816,25.543,13.614,11.83,5.3,2.83,2.46,,,
6835,2628,GET,FALSE,4.618,22.259,12.389,10.836,4.82,2.68,2.35,,,
7342,2628,GET,TRUE,4.962,15.676,20.461,11.664,3.16,4.12,2.35,,,
7756,2628,GET,FALSE,4.485,17.382,16.183,10.577,3.88,3.61,2.36,,,
2478,2628,GET,FALSE,4.766,18.042,11.855,8.895,3.79,2.49,1.87,,,
4733,2628,GET,FALSE,4.84,11.106,13.527,9.445,2.29,2.79,1.95,,,
5904,2628,GET,TRUE,4.53,13.704,12.816,11.69,3.03,2.83,2.58,,,
3515,2628,GET,FALSE,5.16,24.881,14.983,11.912,4.82,2.9,2.31,,,
3207,2628,GET,FALSE,5.142,13.01,8.548,7.72,2.53,1.66,1.5,,,
2798,2628,GET,TRUE,3.938,22.658,11.388,9.729,5.75,2.89,2.47,,,
7852,2628,GET,TRUE,5.031,26.729,19.84,12.502,5.31,3.94,2.48,,,
2625,2628,GET,FALSE,4.763,29.428,14.842,11.571,6.18,3.12,2.43,,,
3866,2628,GET,TRUE,5.376,18.783,21.285,13.327,3.49,3.96,2.48,,,
5398,2628,GET,FALSE,4.525,18.798,17.075,10.389,4.15,3.77,2.3,,,
3602,2628,GET,FALSE,5.055,15.774,11.542,7.574,3.12,2.28,1.5,,,
1787,2628,GET,TRUE,4.927,24.932,12.188,12.754,5.06,2.47,2.59,,,
2459,2628,GET,FALSE,4.577,15.992,11.896,8.304,3.49,2.6,1.81,,,
4353,2628,GET,FALSE,4.492,14.534,16.247,10.344,3.24,3.62,2.3,,,
2778,2628,GET,TRUE,4.319,19.962,15.431,10.961,4.62,3.57,2.54,,,
5100,2628,GET,FALSE,5.878,18.277,11.856,8.891,3.11,2.02,1.51,,,
7455,2628,GET,FALSE,5.116,20.758,18.948,12.989,4.06,3.7,2.54,,,
6775,2628,GET,FALSE,4.346,13.448,13.866,8.006,3.09,3.19,1.84,,,
932,2628,GET,FALSE,6.342,19.729,12.038,7.918,3.11,1.9,1.25,,,
2676,2628,GET,TRUE,4.741,25.202,16.107,11.743,5.32,3.4,2.48,,,
136,2628,GET,TRUE,5.78,20.064,22.24,13.71,3.47,3.85,2.37,,,
9862,2628,GET,FALSE,4.258,21.784,13.055,10.982,5.12,3.07,2.58,,,
6235,2628,GET,TRUE,4.83,15.256,17.893,11.924,3.16,3.7,2.47,,,
10449,2628,GET,FALSE,4.947,18.746,19.881,11.522,3.79,4.02,2.33,,,
4833,2628,GET,FALSE,5.37,12.67,13.869,12.492,2.36,2.58,2.33,,,
7912,2628,GET,TRUE,4.306,26.411,14.128,10.64,6.13,3.28,2.47,,,
8258,2628,GET,FALSE,4.663,22.682,14.634,10.864,4.86,3.14,2.33,,,
2032,2628,GET,FALSE,5.713,29.592,14.185,10.207,5.18,2.48,1.79,,,
8737,2628,GET,FALSE,5.148,15.989,14.322,9.07,3.11,2.78,1.76,,,
7305,2628,GET,TRUE,3.892,15.819,10.836,10.052,4.06,2.78,2.58,,,
1189,2628,GET,TRUE,5.49,17.366,17.845,12.745,3.16,3.25,2.32,,,
7582,2628,GET,FALSE,4.703,17.779,12.335,10.956,3.78,2.62,2.33,,,
5688,2628,GET,FALSE,4.658,10.319,12.824,10.872,2.22,2.75,2.33,,,
985,2628,GET,FALSE,5.801,22.562,17.907,9.95,3.89,3.09,1.72,,,
506,2628,GET,FALSE,5.742,21.751,13.304,9.98,3.79,2.32,1.74,,,
4276,2628,GET,FALSE,5.5,13.085,11.938,7.724,2.38,2.17,1.4,,,
7503,2628,GET,TRUE,4.594,24.499,17.606,10.681,5.33,3.83,2.32,,,
6922,2628,GET,FALSE,5.479,19.565,22.095,9.415,3.57,4.03,1.72,,,
2382,2628,GET,FALSE,4.756,20.581,12.638,11.023,4.33,2.66,2.32,,,
372,2628,GET,TRUE,5.367,29.985,17.741,12.513,5.59,3.31,2.33,,,
8448,2628,GET,TRUE,5.309,17.548,17.211,12.565,3.31,3.24,2.37,,,
9076,2628,GET,FALSE,4.563,15.789,13.6,8.97,3.46,2.98,1.97,,,
7707,2628,GET,TRUE,4.7,19.637,14.914,12.101,4.18,3.17,2.57,,,
3986,2628,GET,FALSE,4.418,16.651,15.03,10.666,3.77,3.4,2.41,,,
7590,2628,GET,FALSE,4.413,18.029,12.671,11.285,4.09,2.87,2.56,,,
2730,2628,GET,FALSE,5.3,18.964,13.752,9.881,3.58,2.59,1.86,,,
3749,2628,GET,FALSE,4.375,24.841,13.618,7.857,5.68,3.11,1.8,,,
2818,2628,GET,FALSE,4.487,20.737,12.628,10.762,4.62,2.81,2.4,,,
6166,2628,GET,TRUE,6.019,20.154,16.501,11.221,3.35,2.74,1.86,,,
5092,2628,GET,FALSE,4.962,14.247,12.181,7.061,2.87,2.45,1.42,,,
10315,2628,GET,FALSE,4.446,17.09,17.237,8.712,3.84,3.88,1.96,,,
3196,2628,GET,TRUE,5.236,21.933,21.078,12.563,4.19,4.03,2.4,,,
4002,2628,GET,FALSE,4.427,29.337,13.159,8.698,6.63,2.97,1.96,,,
8016,2628,GET,TRUE,5.064,16.332,17.163,12.14,3.23,3.39,2.4,,,
5938,2628,GET,FALSE,4.516,16.108,11.552,10.827,3.57,2.56,2.4,,,
1233,2628,GET,FALSE,5.1,13.916,17.009,8.807,2.73,3.34,1.73,,,
5274,2628,GET,FALSE,3.757,12.838,11.481,6.997,3.42,3.06,1.86,,,
8326,2628,GET,TRUE,5.768,20.37,19.191,14.794,3.53,3.33,2.56,,,
10295,2628,GET,FALSE,6.322,25.76,19.454,8.292,4.07,3.08,1.31,,,
1053,2628,GET,TRUE,4.992,21.06,20.578,12.744,4.22,4.12,2.55,,,
8314,2628,GET,FALSE,5.001,17.807,12.314,9.781,3.56,2.46,1.96,,,
9468,2628,GET,FALSE,4.893,17.392,13.528,11.771,3.55,2.76,2.41,,,
6837,2628,GET,FALSE,5.1,18.934,14.098,12.287,3.71,2.76,2.41,,,
8376,2628,GET,TRUE,6.058,19.729,19.784,15.439,3.26,3.27,2.55,,,
6535,2628,GET,FALSE,4.766,18.7,12.451,9.335,3.92,2.61,1.96,,,
5851,2628,GET,FALSE,4.643,9.948,13.081,11.323,2.14,2.82,2.44,,,
5883,2628,GET,TRUE,6.636,39.258,19.472,13.022,5.92,2.93,1.96,,,
707,2628,GET,FALSE,5.497,23.188,19.918,9.644,4.22,3.62,1.75,,,
4773,2628,GET,FALSE,4.761,17.885,16.905,8.23,3.76,3.55,1.73,,,
414,2628,GET,FALSE,5.169,19.656,15.313,9.549,3.8,2.96,1.85,,,
5339,2628,GET,FALSE,4.559,13.69,12.069,10.974,3,2.65,2.41,,,
6330,2628,GET,TRUE,5.301,20.82,15.252,12.831,3.93,2.88,2.42,,,
6586,2628,GET,TRUE,4.313,12.083,14.062,10.42,2.8,3.26,2.42,,,
3970,2628,GET,TRUE,4.247,14.169,14.597,10.272,3.34,3.44,2.42,,,
5154,2628,GET,FALSE,4.975,16.118,14.81,9.128,3.24,2.98,1.83,,,
3894,2628,GET,TRUE,5.223,14.467,15.69,13.351,2.77,3,2.56,,,
1905,2628,GET,FALSE,5.012,18.261,13.804,9.318,3.64,2.75,1.86,,,
3848,2628,GET,FALSE,4.646,16.922,12.368,11.174,3.64,2.66,2.41,,,
1364,2628,GET,FALSE,4.659,28.042,14.362,11.942,6.02,3.08,2.56,,,
2477,2628,GET,FALSE,5.237,20.414,10.204,9.427,3.9,1.95,1.8,,,
9889,2628,GET,FALSE,5.295,14.851,11.659,12.1,2.8,2.2,2.29,,,
10738,2628,GET,FALSE,5.102,22.509,17.698,12.191,4.41,3.47,2.39,,,
7144,2628,GET,TRUE,4.59,19.625,12.761,11.2,4.28,2.78,2.44,,,
7796,2628,GET,FALSE,4.752,15.057,16.34,11.308,3.17,3.44,2.38,,,
4872,2628,GET,FALSE,4.56,19.223,14.856,11.15,4.22,3.26,2.45,,,
6781,2628,GET,FALSE,5.161,17.452,16.502,12.261,3.38,3.2,2.38,,,
515,2628,GET,FALSE,6.148,16.498,15.005,12.094,2.68,2.44,1.97,,,
3563,2628,GET,FALSE,4.449,15.129,15.315,10.609,3.4,3.44,2.38,,,
7141,2628,GET,FALSE,4.496,13.141,12.292,8.095,2.92,2.73,1.8,,,
4858,2628,GET,FALSE,4.14,15.926,10.1,8.078,3.85,2.44,1.95,,,
10683,2628,GET,TRUE,5.236,13.936,20.53,12.484,2.66,3.92,2.38,,,
6697,2628,GET,FALSE,5.272,27.952,19.958,9.791,5.3,3.79,1.86,,,
6559,2628,GET,TRUE,4.284,12.192,17.393,10.48,2.85,4.06,2.45,,,
3687,2628,GET,FALSE,4.651,17.447,16.585,11.015,3.75,3.57,2.37,,,
4937,2628,GET,FALSE,4.593,18.5,14.064,10.908,4.03,3.06,2.37,,,
5878,2628,GET,FALSE,5.812,24.712,12.675,10.048,4.25,2.18,1.73,,,
3158,2628,GET,FALSE,4.422,8.119,14.905,10.5,1.84,3.37,2.37,,,
3060,2628,GET,FALSE,4.518,20.926,16.538,11.06,4.63,3.66,2.45,,,
6572,2628,GET,TRUE,4.2,11.658,15.361,10.809,2.78,3.66,2.57,,,
6140,2628,GET,TRUE,4.951,15.957,14.031,11.728,3.22,2.83,2.37,,,
551,2628,GET,FALSE,4.662,26.31,18.165,11.382,5.64,3.9,2.44,,,
3893,2628,GET,FALSE,5.025,12.686,9.82,7.354,2.52,1.95,1.46,,,
6540,2628,GET,TRUE,4.711,16.229,15.657,11.191,3.44,3.32,2.38,,,
2815,2628,GET,FALSE,4.28,19.232,15.92,10.244,4.49,3.72,2.39,,,
3979,2628,GET,FALSE,5.591,10.557,15.935,8.127,1.89,2.85,1.45,,,
4369,2628,GET,FALSE,4.673,26.293,13.833,6.772,5.63,2.96,1.45,,,
1543,2628,GET,FALSE,5.328,17.016,13.872,9.933,3.19,2.6,1.86,,,
2167,2628,GET,TRUE,4.783,18.944,16.043,12.253,3.96,3.35,2.56,,,
1547,2628,GET,TRUE,5.045,26.833,16.929,12.937,5.32,3.36,2.56,,,
6303,2628,GET,FALSE,4.857,24.102,12.046,9.019,4.96,2.48,1.86,,,
4290,2628,GET,FALSE,3.902,12.02,13.731,5.694,3.08,3.52,1.46,,,
4856,2628,GET,FALSE,4.352,11.83,13.518,10.384,2.72,3.11,2.39,,,
5405,2628,GET,FALSE,4.439,17.293,10.74,10.546,3.9,2.42,2.38,,,
3419,2628,GET,FALSE,5.071,16.278,13.641,8.794,3.21,2.69,1.73,,,
10926,2628,GET,FALSE,4.732,15.325,19.315,12.057,3.24,4.08,2.55,,,
4317,2628,GET,FALSE,4.678,24.33,12.368,8.716,5.2,2.64,1.86,,,
3824,2628,GET,FALSE,4.911,16.889,15.8,9.465,3.44,3.22,1.93,,,
3016,2628,GET,FALSE,5.576,21.977,21.272,13.282,3.94,3.81,2.38,,,
2038,2628,GET,FALSE,4.564,19.903,13.616,8.434,4.36,2.98,1.85,,,
9123,2628,GET,TRUE,4.356,25.002,18.089,10.352,5.74,4.15,2.38,,,
390,2628,GET,FALSE,5.786,19.425,13.373,8.804,3.36,2.31,1.52,,,
6987,2628,GET,FALSE,4.746,17.872,16.849,6.78,3.77,3.55,1.43,,,
1423,2628,GET,FALSE,4.958,28.587,17.382,9.838,5.77,3.51,1.98,,,
9584,2628,GET,FALSE,4.627,16.747,13.939,8.362,3.62,3.01,1.81,,,
