No,Size,Type,IsDegradeRead,replicas,nativeec,hydra,microec,NativeecTimes,HydraTimes,MicroecTimes,,,
8875,2056,GET,FALSE,4.793,14.558,18.944,8.631,3.04,3.95,1.8,,,
8743,2056,PUT,FALSE,11.389,31.388,47.473,23.865,2.76,4.17,2.1,,,
5419,2056,GET,FALSE,5.383,21.234,15.054,11.325,3.94,2.8,2.1,,,
8427,2056,GET,FALSE,5.583,13.937,13.527,9.684,2.5,2.42,1.73,,,
7434,2056,GET,FALSE,6.869,24.166,16.845,9.74,3.52,2.45,1.42,,,
9714,2056,PUT,FALSE,9.052,34.43,27.724,21.325,3.8,3.06,2.36,,,
8271,2056,GET,TRUE,5.653,29.174,19.141,13.937,5.16,3.39,2.47,,,
3630,2056,GET,FALSE,5.086,11.973,12.58,10.745,2.35,2.47,2.11,,,
10044,2056,GET,FALSE,4.611,16.435,16.156,9.857,3.56,3.5,2.14,,,
10720,2056,GET,TRUE,5.44,19.77,21.956,13.211,3.63,4.04,2.43,,,
3181,2056,GET,FALSE,5.555,18.715,13.073,9.422,3.37,2.35,1.7,,,
8964,2056,GET,FALSE,4.76,9.633,13.538,8.055,2.02,2.84,1.69,,,
9023,2056,GET,FALSE,4.551,15.044,14.206,9.086,3.31,3.12,2,,,
9043,2056,GET,FALSE,4.921,13.858,17.723,8.522,2.82,3.6,1.73,,,
1548,2056,GET,FALSE,4.375,18.109,13.087,8.443,4.14,2.99,1.93,,,
9894,2056,GET,FALSE,4.437,14.621,12.643,11.371,3.3,2.85,2.56,,,
1690,2056,GET,FALSE,4.289,12.757,9.825,8.641,2.97,2.29,2.01,,,
6023,2056,GET,FALSE,5.137,15.673,12.156,10.013,3.05,2.37,1.95,,,
433,2056,PUT,FALSE,10.373,39.878,29.778,22.862,3.84,2.87,2.2,,,
7235,2056,PUT,FALSE,10.393,36.612,30.015,22.841,3.52,2.89,2.2,,,
1304,2056,GET,FALSE,4.727,10.801,19.791,8.314,2.28,4.19,1.76,,,
8455,2056,PUT,FALSE,461.567,25.787,26.21,21.896,0.06,0.06,0.05,,,
