11669.323,R,26443776
962.593,R,2310144
9771.213,R,40943616
595.237,R,2195456
1031.902,R,4931584
5351.927,R,30720000
202.152,R,114688
4006.636,R,20365312
619.037,R,65536
3130.133,R,16187392
2862.732,R,15548416
2153.972,R,10764288
3465.835,R,14663680
4172.472,R,23822336
73.347,R,16384
527.964,R,1900544
11119.417,R,54394880
333.61,R,851968
198.689,R,671744
603.138,R,2080768
767.512,R,3342336
759.04,R,3342336
248.627,R,819200
988.785,R,2097152
165.065,R,32768
58.168,R,65536
18892.99,R,86900736
623.299,R,2080768
457.342,R,1900544
4854.959,R,28606464
27257.406,R,132939776
1728.098,R,9338880
3532.054,R,17743872
9408.937,R,55967744
2565.23,R,14663680
1901.022,R,10764288
453.619,R,1966080
10532.881,R,62947328
2800.078,R,16187392
500.968,R,2195456
10036.558,R,54394880
70.299,R,32768
18419.725,R,110198784
713.154,R,3162112
2562.784,R,14663680
682.907,R,3342336
25412.272,R,33767424
574.881,R,2310144
8718.856,R,51478528
549.518,R,2490368
81.793,R,114688
9198.361,R,55197696
61.547,R,16384
114.179,R,294912
52.081,R,32768
620.16,R,2949120
577.757,R,2785280
642.991,R,2228224
9097.184,R,54394880
75.037,R,65536
49.54,R,16384
3059.811,R,17743872
90.921,R,196608
481.883,R,1916928
50.637,R,16384
9162.866,R,54394880
81.808,R,147456
232.981,R,671744
47.845,R,65536
89.668,R,196608
4494.426,R,26443776
49.391,R,32768
1294.768,R,7028736
319.994,R,1064960
1918.423,R,10764288
53.791,R,65536
2613.774,R,15269888
1413.038,R,7946240
45.128,R,16384
952.372,R,2195456
78.982,R,65536
44.292,R,16384
1469.304,R,5390336
51.981,R,16384
42.014,R,16384
485.416,R,2097152
2726.084,R,671744
88172.354,R,358039552
76.538,R,16384
1967.522,R,10764288
1018.019,R,4964352
732.47,R,3342336
486.879,R,1916928
2932.003,R,16187392
551.581,R,2310144
15332.145,R,88768512
213.645,R,589824
62.841,R,16384
60.477,R,32768
30199.334,R,182452224
63.363,R,16384
2801.914,R,16187392
2066.18,R,9388032
1809.3,R,10272768
1813.721,R,10272768
932.685,R,4833280
764.423,R,3768320
59364.262,R,357416960
2710.493,R,15548416
686.108,R,3342336
314.128,R,1064960
3029.827,R,17743872
2364.815,R,13565952
272.849,R,819200
204.208,R,671744
5591.962,R,26918912
1632.112,R,9240576
508.529,R,2310144
2531.594,R,9240576
130.657,R,294912
49.217,R,16384
242.84,R,819200
433.653,R,1900544
8751.462,R,52412416
69136.975,R,170737664
521.961,R,2080768
447.101,R,1916928
32217.907,R,170737664
518.092,R,1966080
515.173,R,2310144
8781.615,R,52412416
117.733,R,294912
197.843,R,671744
3049.031,R,17743872
1120.203,R,3342336
2527.728,R,14663680
338.046,R,1376256
35.734,R,16384
54.891,R,65536
10037.002,R,54394880
52.698,R,16384
2746.275,R,16154624
9487.638,R,54394880
3025.52,R,11059200
8612.727,R,51478528
9045.211,R,54394880
9070.84,R,54394880
63.333,R,16384
309.35,R,1064960
191.302,R,557056
9727.91,R,52412416
3440.15,R,20316160
5136.26,R,30720000
2746.83,R,16187392
1751.359,R,9764864
670.989,R,3342336
498.398,R,2310144
1571.382,R,9027584
59.333,R,16384
148.086,R,294912
511.323,R,2490368
234.466,R,720896
115.343,R,294912
316.93,R,1146880
437.213,R,1900544
61.549,R,65536
2657.289,R,15548416
14365.174,R,86900736
481.223,R,2080768
6756.472,R,33767424
237.57,R,737280
120.288,R,294912
8539.578,R,51478528
17620.579,R,107085824
5120.201,R,30720000
53.098,R,32768
1873.396,R,10764288
53.346,R,16384
8692.597,R,52412416
18112.052,R,110215168
9006.076,R,54394880
432.722,R,1916928
5573.715,R,30720000
251.547,R,819200
975.106,R,5160960
731.214,R,3817472
245.337,R,819200
493.928,R,2097152
24867.711,R,151633920
454.461,R,1982464
502.908,R,2310144
670.686,R,3342336
598.454,R,2949120
9021.373,R,54394880
110.206,R,262144
519.822,R,2490368
3601.931,R,21528576
62634.842,R,367247360
13742.655,R,83017728
499.671,R,2195456
73.385,R,16384
55.003,R,16384
47.142,R,16384
256.204,R,819200
1183.207,R,6520832
50.573,R,16384
8700.268,R,52412416
692.947,R,3342336
3353.26,R,19791872
9045.154,R,54394880
2738.025,R,16187392
2748.51,R,16187392
1050.933,R,5816320
520.084,R,2310144
1693.953,R,9682944
501.484,R,2310144
497.551,R,2310144
446.207,R,1966080
484.558,R,2162688
1716.271,R,9879552
212.049,R,655360
1886.706,R,10764288
433.249,R,1900544
79.533,R,65536
59.163,R,16384
8568.518,R,51478528
8546.288,R,51478528
1179.827,R,6504448
1666.885,R,9420800
124.542,R,294912
3024.483,R,17743872
14627.076,R,86065152
167.081,R,163840
1878.767,R,10698752
62.87,R,32768
3937.545,R,23248896
485.432,R,2080768
2665.41,R,15548416
436.735,R,1900544
495.663,R,2310144
25948.135,R,151633920
67.112,R,16384
2582.337,R,15024128
55.216,R,16384
451.389,R,1982464
510.972,R,2490368
218.447,R,671744
8569.12,R,51478528
735.664,R,3817472
9151.913,R,52412416
53.498,R,16384
117.866,R,294912
54.942,R,65536
47.915,R,32768
73.161,R,147456
55.825,R,65536
4437.193,R,26443776
349.697,R,1507328
2050.842,R,11862016
450.082,R,1982464
412.418,R,1818624
9695.488,R,55967744
7868.354,R,47415296
52.867,R,16384
5136.975,R,30539776
213.387,R,655360
451.505,R,1982464
4630.143,R,27688960
213.067,R,655360
5130.238,R,30720000
474.859,R,2080768
8535.777,R,51478528
9032.195,R,54394880
5453.249,R,32653312
88.717,R,16384
213.505,R,704512
206.042,R,704512
5435.991,R,32653312
20925.455,R,125108224
111.193,R,278528
103.481,R,278528
1706.533,R,9764864
53.02,R,16384
44925.231,R,238272512
55.086,R,32768
320.332,R,671744
487.531,R,2097152
55.37,R,16384
110.364,R,278528
617.511,R,2949120
494.952,R,2310144
59.947,R,65536
15759.044,R,95682560
52.084,R,16384
255.178,R,819200
482.721,R,2080768
435.988,R,1916928
49.446,R,16384
9127.051,R,55197696
1033.706,R,5652480
210.797,R,671744
473.313,R,2097152
8214.334,R,49577984
2532.564,R,14663680
1134.925,R,3342336
1573.368,R,9027584
499.445,R,2310144
24873.206,R,151633920
3016.677,R,17743872
824.723,R,4259840
496.939,R,2310144
1651.697,R,9338880
1575.813,R,9027584
78.557,R,147456
31896.585,R,194838528
500.971,R,2310144
203.924,R,655360
108.287,R,294912
1573.802,R,9027584
1871.9,R,10764288
1872.805,R,10764288
495.653,R,2310144
2729.931,R,16187392
1678.606,R,9519104
8992.014,R,54394880
82.882,R,147456
30249.529,R,182452224
8522.286,R,51478528
14129.389,R,78348288
21260.837,R,54394880
1704.97,R,9568256
3799.621,R,22675456
486.72,R,2195456
2529.235,R,14663680
258.981,R,819200
318.785,R,1179648
25188.199,R,151633920
6658.857,R,35553280
1444.453,R,8159232
59.508,R,65536
425.416,R,1900544
51.331,R,16384
3018.49,R,17743872
668.822,R,3342336
213.47,R,671744
1863.131,R,10764288
477.014,R,2097152
5129.992,R,30720000
8993.51,R,54394880
116.16,R,294912
2742.401,R,16187392
501.761,R,2310144
1676.313,R,9388032
8990.403,R,54394880
670.798,R,3342336
56.667,R,16384
203.575,R,671744
493.549,R,2310144
112.358,R,294912
306.488,R,1064960
662.23,R,3342336
253.151,R,819200
2650.361,R,15548416
57.345,R,32768
239.0,R,819200
49.166,R,32768
473.39,R,2080768
48.09,R,16384
203.366,R,655360
1711.439,R,9830400
434.002,R,1916928
56.092,R,32768
6847.909,R,36601856
8991.861,R,54394880
448.349,R,1982464
2513.974,R,14663680
58.253,R,16384
8981.598,R,54394880
52.707,R,32768
