No,Size,Type,IsDegradeRead,replicas,nativeec,microec,NativeecTimes,MicroecTimes,
7920,12042240,GET,TRUE,2061.689,9129.095,2403.396,4.43,1.17,0.736732283
5989,12042240,GET,TRUE,1864.66,4489.623,2337.613,2.41,1.25,0.479329779
7046,12058624,GET,TRUE,1871.83,3973.315,2089.377,2.12,1.12,0.474147658
5919,12107776,PUT,FALSE,5767.593,6924.601,3749.752,1.2,0.65,0.458488366
5849,12107776,GET,TRUE,1879.692,4038.589,2089.087,2.15,1.11,0.482718593
9387,12156928,PUT,FALSE,5705.175,6767.866,14517.079,1.19,2.54,-1.14500095
9345,12156928,GET,TRUE,1888.875,4185.42,2110.174,2.22,1.12,0.49582742
7771,12173312,GET,TRUE,1894.704,4448.41,2417.967,2.35,1.28,0.456442414
5029,12189696,GET,TRUE,1877.653,4514.569,2320.467,2.4,1.24,0.486004755
6469,12435456,GET,TRUE,1926.259,3865.627,2364.847,2.01,1.23,0.388237148
9633,12484608,GET,TRUE,1940.921,4440.795,2135.916,2.29,1.1,0.519023959
2024,12517376,GET,TRUE,1940.711,3827.745,2146.111,1.97,1.11,0.439327594
4696,12550144,PUT,FALSE,5938.036,6470.977,3775.205,1.09,0.64,0.416594279
4571,12550144,GET,TRUE,1946.976,4128.271,2043.725,2.12,1.05,0.504944079
6836,12550144,GET,TRUE,1945.332,3898.789,2106.529,2,1.08,0.459696588
5525,12550144,GET,TRUE,1944.124,4117.36,2469.231,2.12,1.27,0.400287806
6192,12550144,GET,TRUE,1946.452,4504.086,2454.113,2.31,1.26,0.455136292
6962,12550144,GET,TRUE,1941.43,3593.46,2170.553,1.85,1.12,0.395971292
9656,12582912,PUT,FALSE,5910.814,7463.588,3287.214,1.26,0.56,0.559566525
9564,12582912,PUT,FALSE,5841.869,7478.69,3952.239,1.28,0.68,0.47153325
8987,12582912,GET,TRUE,1948.087,4270.935,2203.692,2.19,1.13,0.484025863
1062,12664832,GET,TRUE,1967.481,4212.261,2445.4,2.14,1.24,0.419456677
4979,12664832,GET,TRUE,1961.006,4626.237,2154.519,2.36,1.1,0.534282615
4946,12681216,GET,TRUE,1967.983,4682.904,2439.553,2.38,1.24,0.479051247
6815,12697600,GET,TRUE,2045.452,4697.186,2244.587,2.3,1.1,0.522142193
9320,12713984,GET,TRUE,1969.832,3627.976,2488.413,1.84,1.26,0.314104338
9615,12763136,GET,TRUE,1982.158,4677.963,2504.427,2.36,1.26,0.464633004
4809,12812288,GET,TRUE,1996.703,4496.65,2126.835,2.25,1.07,0.527017891
9405,12828672,GET,TRUE,1977.982,3811.461,2503.537,1.93,1.27,0.343155551
8438,12845056,GET,TRUE,1988.065,4427.355,2216.501,2.23,1.11,0.49936226
9135,12845056,GET,TRUE,1984.06,4281.927,2180.264,2.16,1.1,0.490821773
7740,12861440,GET,TRUE,1991.402,4476.857,2225.053,2.25,1.12,0.502987699
9205,12861440,GET,TRUE,1985.717,4790.217,2196.647,2.41,1.11,0.541430587
10000,12877824,GET,TRUE,1990.368,4370.145,2673.454,2.2,1.34,0.388245928
7675,12877824,GET,TRUE,1986.518,4590.234,2436.967,2.31,1.23,0.469097436
7679,12894208,GET,TRUE,1993.602,3896.966,2160.718,1.95,1.08,0.445538401
7203,12959744,GET,TRUE,1997.622,4491.885,2494.275,2.25,1.25,0.444715303
5882,12976128,GET,TRUE,2000.832,3880.884,2213.124,1.94,1.11,0.429737142
9976,12976128,GET,TRUE,2002.183,4279.565,2652.667,2.14,1.32,0.380154992
8346,13058048,GET,TRUE,2559.828,4285.337,2270.197,1.67,0.89,0.47024073
2635,13123584,GET,TRUE,2043.756,4632.88,2249.7,2.27,1.1,0.514405726
4096,13123584,GET,TRUE,2021.293,4367.453,2184.363,2.16,1.08,0.499854263
3504,13303808,GET,TRUE,2047.327,4120.132,2506.307,2.01,1.22,0.391692548
5756,13352960,GET,TRUE,2052.448,4624.233,2508.817,2.25,1.22,0.457463108
8901,13467648,GET,TRUE,2072.294,4132.074,2607.083,1.99,1.26,0.36906188
9398,13467648,GET,TRUE,2106.244,4430.063,2815.652,2.1,1.34,0.36442168
9574,13484032,GET,TRUE,2072.246,4622.234,2640.808,2.23,1.27,0.428672802
8278,13484032,GET,TRUE,2075.454,4116.749,2693.11,1.98,1.3,0.345816323
10509,13500416,GET,TRUE,2111.029,4126.343,2291.974,1.95,1.09,0.44455078
8928,13500416,GET,TRUE,2078.545,4606.67,2452.497,2.22,1.18,0.467620429
8997,13500416,GET,TRUE,2075.341,4766.432,2321.829,2.3,1.12,0.512879026
291,13565952,GET,TRUE,2089.893,4132.906,2612.601,1.98,1.25,0.367853757
9631,13598720,GET,TRUE,2094.28,4408.709,2342.247,2.11,1.12,0.468722703
5775,13598720,GET,TRUE,2091.013,4767.169,2299.759,2.28,1.1,0.517583916
3273,13598720,GET,TRUE,2104.691,4488.042,2329.981,2.13,1.11,0.480846882
2634,13598720,GET,TRUE,2091.312,5026.567,2423.584,2.4,1.16,0.517845082
1904,13598720,GET,TRUE,2091.396,4791.302,2595.298,2.29,1.24,0.458331368
10408,13631488,GET,TRUE,2092.799,4121.026,2552.552,1.97,1.22,0.380602792
4019,13631488,GET,TRUE,2097.162,4035.969,2651.36,1.92,1.26,0.343067303
7501,13778944,GET,TRUE,2119.455,4753.611,2592.345,2.24,1.22,0.454657733
4379,13828096,PUT,FALSE,6656.193,7614.708,16580.076,1.14,2.49,-1.177375153
4839,13828096,PUT,FALSE,6639.148,8001.383,4335.731,1.21,0.65,0.458127301
3900,13828096,PUT,FALSE,6676.191,8095.744,4562.766,1.21,0.68,0.436399422
10743,13910016,GET,TRUE,2139.368,4186.613,2753.095,1.96,1.29,0.342405185
9228,13910016,GET,TRUE,2139.568,4852.982,2372.796,2.27,1.11,0.511064331
1356,13910016,GET,TRUE,2168.859,4702.636,2703.08,2.17,1.25,0.425198974
9788,13942784,GET,TRUE,2144.357,4759.998,2417.232,2.22,1.13,0.492177938
7031,13942784,GET,TRUE,2141.784,5000.182,2546.312,2.33,1.19,0.490756136
6275,13942784,GET,TRUE,2355.251,4248.832,2375.053,1.8,1.01,0.441010376
4669,13942784,GET,TRUE,2175.24,4471.244,2621.536,2.06,1.21,0.413689792
9736,13942784,GET,TRUE,2142.092,4708.859,2415.99,2.2,1.13,0.486926663
6273,13942784,GET,TRUE,2160.274,4184.999,2363.974,1.94,1.09,0.435131526
8021,13942784,GET,TRUE,2144.129,4243.632,2373.374,1.98,1.11,0.440721062
6885,13942784,GET,TRUE,2142.519,4858.738,2406.56,2.27,1.12,0.504694429
6787,13942784,GET,TRUE,2145.102,4840.163,2400.526,2.26,1.12,0.504040256
9618,13942784,GET,TRUE,2143.765,5005.987,2335.495,2.34,1.09,0.533459635
5880,13942784,GET,TRUE,2247.769,4874.459,2383.074,2.17,1.06,0.511110053
5261,13942784,GET,TRUE,2142.008,4924.095,2376.706,2.3,1.11,0.517331408
6886,13942784,GET,TRUE,2142.921,4601.379,2670.278,2.15,1.25,0.419678753
5712,13975552,GET,TRUE,2148.876,5047.625,2742.037,2.35,1.28,0.456766895
4442,13975552,GET,TRUE,2146.899,4756.291,2713.896,2.22,1.26,0.429409176
4338,14106624,GET,TRUE,2166.192,4672.557,2422.028,2.16,1.12,0.481648271
6151,14188544,GET,TRUE,2179.107,5025.16,2600.207,2.31,1.19,0.482562346
8378,14188544,GET,TRUE,2734.215,4754.829,2883.986,1.74,1.05,0.393461679
8049,14204928,PUT,FALSE,6826.944,6406.021,4477.726,0.94,0.66,0.301012906
10919,14237696,GET,TRUE,2187.307,3747.778,2454.74,1.71,1.12,0.345014566
9115,14286848,GET,TRUE,2227.657,4998.585,2673.555,2.24,1.2,0.465137634
5456,14319616,GET,TRUE,2219.031,4782.111,2885.68,2.16,1.3,0.39656775
4488,14319616,GET,TRUE,2206.549,4408.616,2429.642,2,1.1,0.448887814
6891,14319616,GET,TRUE,2430.471,4344.952,2629.716,1.79,1.08,0.394765236
6299,14336000,GET,TRUE,2202.012,5037.782,2735.64,2.29,1.24,0.456975312
5143,14336000,GET,TRUE,2234.892,4442.146,2459.95,1.99,1.1,0.446224865
5449,14352384,GET,TRUE,2212.668,5192.983,2443.773,2.35,1.1,0.529408627
3278,14352384,GET,TRUE,2228.795,4968.525,2709.791,2.23,1.22,0.454608561
1716,14385152,GET,TRUE,2211.061,5227.673,2705.81,2.36,1.22,0.482406417
7898,14385152,GET,TRUE,2209.939,4925.304,2429.094,2.23,1.1,0.506813387
2851,14417920,GET,TRUE,2215.109,4938.761,2712.006,2.23,1.22,0.450873205
2734,14663680,GET,TRUE,2253.257,5203.131,2666.48,2.31,1.18,0.487523954
1947,14663680,GET,TRUE,2254.272,5016.206,2475.665,2.23,1.1,0.50646664
25,14663680,GET,TRUE,2251.822,4325.196,2861.231,1.92,1.27,0.338473678
341,14663680,GET,TRUE,2255.242,4487.507,2677.635,1.99,1.19,0.403313466
1241,14663680,GET,TRUE,2255.939,4669.489,2510.723,2.07,1.11,0.462313114
2796,14663680,GET,TRUE,2254.595,5144.001,2823.613,2.28,1.25,0.451086226
2767,14663680,GET,TRUE,2253.738,4905.126,2560.384,2.18,1.14,0.478018709
107,14663680,GET,TRUE,2253.582,4987.974,2938.052,2.21,1.3,0.410972872
858,14663680,GET,TRUE,2253.014,4600.514,2920.525,2.04,1.3,0.365174196
2259,14663680,GET,TRUE,2253.411,5045.915,2597.346,2.24,1.15,0.485257679
784,14663680,GET,TRUE,2251.798,4908.386,2547.413,2.18,1.13,0.481008014
965,14663680,GET,TRUE,2251.78,5068.474,2807.517,2.25,1.25,0.446082391
79,14663680,GET,TRUE,2254.496,5409.59,2959.248,2.4,1.31,0.452962609
1032,14663680,GET,TRUE,2252.808,5309.089,2676.314,2.36,1.19,0.495899579
7216,14843904,GET,TRUE,2422.357,5207.008,2858.505,2.15,1.18,0.451027346
10836,14991360,GET,TRUE,2302.201,4821.637,2965.232,2.09,1.29,0.385015504
9160,14991360,GET,TRUE,2302.702,5054.908,2571.535,2.2,1.12,0.491279564
7677,15040512,GET,TRUE,2625.352,5178.756,2795.725,1.97,1.06,0.460155103
8834,15056896,GET,TRUE,2314.987,5072.205,2866.88,2.19,1.24,0.434786252
4752,15056896,GET,TRUE,2328.866,4780.428,2921.332,2.05,1.25,0.388897396
6500,15237120,GET,TRUE,2338.799,5369.603,2914.77,2.3,1.25,0.45717216
6498,15237120,GET,TRUE,2340.981,5327.906,2926.084,2.28,1.25,0.450800371
6321,15237120,PUT,FALSE,7323.379,8650.063,4658.35,1.18,0.64,0.46146635
6499,15237120,GET,TRUE,2342.04,5252.667,2800.445,2.24,1.2,0.466852744
4199,15253504,GET,TRUE,2342.899,5169.902,2632.958,2.21,1.12,0.490714137
196,15269888,GET,TRUE,2344.517,4822.783,5605.153,2.06,2.39,-0.162223762
6589,15319040,GET,TRUE,2359.845,4875.715,2585.819,2.07,1.1,0.469653374
10532,15351808,GET,TRUE,2357.41,4454.21,2517.689,1.89,1.07,0.434761944
10554,15351808,GET,TRUE,2356.889,5118.143,2633.627,2.17,1.12,0.485433096
1727,15368192,GET,TRUE,2359.512,4621.901,2937.76,1.96,1.25,0.364382751
10880,15368192,GET,TRUE,2368.145,4895.907,2558.946,2.07,1.08,0.477329533
1772,15368192,PUT,FALSE,7721.337,8484.322,11126.924,1.1,1.44,-0.311468848
9765,15433728,GET,TRUE,2373.504,5288.631,2898.906,2.23,1.22,0.451860793
430,15548416,GET,TRUE,2387.55,5462.613,2628.505,2.29,1.1,0.518819107
610,15548416,GET,TRUE,2387.038,5377.441,2625.691,2.25,1.1,0.511721096
2285,15548416,GET,TRUE,2387.807,5596.737,3001.794,2.34,1.26,0.463652839
2966,15548416,GET,TRUE,2387.732,4214.222,2973.929,1.76,1.25,0.294311263
2154,15548416,GET,TRUE,2387.201,5423.773,3056.027,2.27,1.28,0.436549612
1617,15548416,GET,TRUE,2387.524,5119.523,3043.873,2.14,1.27,0.405438163
1523,15548416,GET,TRUE,2390.596,5689.087,3092.549,2.38,1.29,0.456406801
278,15548416,GET,TRUE,2391.446,5071.517,2910.577,2.12,1.22,0.426093415
930,15548416,GET,TRUE,2387.535,5211.304,3167.123,2.18,1.33,0.39225902
1249,15548416,GET,TRUE,2388.296,4712.143,2881.02,1.97,1.21,0.388596653
4859,15695872,GET,TRUE,2412.077,4890.014,2668.166,2.03,1.11,0.454364343
6683,15695872,GET,TRUE,2725.489,5359.276,2952.962,1.97,1.08,0.448999828
10664,15777792,GET,TRUE,2440.66,5106.301,2681.604,2.09,1.1,0.474844119
4143,15777792,GET,TRUE,2683.251,5463.312,2958.475,2.04,1.1,0.458483242
8221,15826944,GET,TRUE,2978.637,4727.955,2674.248,1.59,0.9,0.434375327
4085,15843328,GET,TRUE,2684.206,5846.119,3105.78,2.18,1.16,0.468744991
8389,15974400,GET,TRUE,2453.044,5279.706,3312.205,2.15,1.35,0.372653515
4349,16089088,GET,TRUE,2613.238,5563.429,2738.892,2.13,1.05,0.507697141
7107,16121856,GET,TRUE,2476.647,5642.497,3172.223,2.28,1.28,0.437798017
4540,16154624,GET,TRUE,2479.873,5583.313,2817.299,2.25,1.14,0.495407297
1266,16187392,GET,TRUE,2484.729,4991.247,2703.502,2.01,1.09,0.45835139
10730,16187392,GET,TRUE,2490.847,5321.089,3305.805,2.14,1.33,0.378735255
2453,16187392,GET,TRUE,2488.731,5580.963,3087.993,2.24,1.24,0.446691727
1903,16187392,GET,TRUE,2484.392,5636.902,3209.608,2.27,1.29,0.430607805
93,16187392,GET,TRUE,2485.234,7496.737,3316.748,3.02,1.33,0.557574449
2713,16187392,GET,TRUE,3031.4,5424.28,3152.892,1.79,1.04,0.418744608
3029,16187392,GET,TRUE,2484.527,5905.114,3299.888,2.38,1.33,0.441181322
2684,16187392,GET,TRUE,2486.579,5744.685,3144.505,2.31,1.26,0.452623599
1372,16187392,GET,TRUE,2484.782,4843.35,2742.114,1.95,1.1,0.433839388
3031,16187392,GET,TRUE,2485.711,5712.327,2684.022,2.3,1.08,0.530135092
237,16187392,GET,TRUE,2487.353,5308.838,2835.87,2.13,1.14,0.465820957
1094,16187392,GET,TRUE,2484.703,5149.279,2997.745,2.07,1.21,0.417832089
549,16187392,GET,TRUE,2484.778,5287.603,3103.285,2.13,1.25,0.41310174
1651,16187392,GET,TRUE,2491.966,5615.501,2812.158,2.25,1.13,0.499215119
1552,16187392,GET,TRUE,2485.302,5500.481,2982.895,2.21,1.2,0.457702881
1118,16187392,GET,TRUE,2484.88,5897.071,2867.224,2.37,1.15,0.513788455
1798,16187392,GET,TRUE,2485.831,3911.189,2740.462,1.57,1.1,0.299327647
394,16187392,GET,TRUE,2488.247,5684.472,3020.244,2.28,1.21,0.468685218
1321,16187392,GET,TRUE,2485.883,5081.629,3156.981,2.04,1.27,0.378746264
830,16187392,GET,TRUE,2485.31,5327.77,3024.836,2.14,1.22,0.432251017
21,16187392,GET,TRUE,2486.775,4825.351,7403.557,1.94,2.98,-0.534304344
2873,16187392,GET,TRUE,2485.182,4376.116,3164.951,1.76,1.27,0.276767115
6271,16351232,GET,TRUE,2528.558,5410.701,2779.535,2.14,1.1,0.4862893
8775,16416768,GET,TRUE,2521.178,5694.774,3211.499,2.26,1.27,0.436062081
4906,16482304,GET,TRUE,2547.322,5606.184,2791.53,2.2,1.1,0.502062365
9571,16482304,GET,TRUE,2539.386,6270.809,2776.924,2.47,1.09,0.557166547
5372,16482304,GET,TRUE,2573.845,5482.747,2802.409,2.13,1.09,0.488867715
4476,16547840,GET,TRUE,2540.987,5420.294,3115.617,2.13,1.23,0.425194095
6921,16580608,PUT,FALSE,7988.071,9168.591,4576.654,1.15,0.57,0.500833443
3571,16580608,GET,TRUE,2783.403,5990.674,2768.188,2.15,0.99,0.537917102
2099,16580608,GET,TRUE,2547.871,4961.071,3319.784,1.95,1.3,0.330833201
8090,16580608,GET,TRUE,2557.322,5655.853,3190.152,2.21,1.25,0.435955637
3287,16580608,GET,TRUE,2566.057,5145.667,3063.024,2.01,1.19,0.404737228
6686,16580608,GET,TRUE,2631.387,5381.087,3221.352,2.04,1.22,0.40135664
7566,16580608,GET,TRUE,2558.741,5039.338,3145.628,1.97,1.23,0.37578547
4522,16580608,GET,TRUE,2545.887,5606.13,2824.901,2.2,1.11,0.496104978
1990,16580608,GET,TRUE,2546.109,6058.626,2780.939,2.38,1.09,0.540995104
3411,16580608,GET,TRUE,2561.061,6024.159,3182.438,2.35,1.24,0.471720783
7424,16629760,GET,TRUE,2652.411,5745.549,3199.028,2.17,1.21,0.443216305
10546,16629760,GET,TRUE,2554.246,5045.427,3218.81,1.98,1.26,0.362034175
8328,16629760,GET,TRUE,3103.969,5947.089,3076.617,1.92,0.99,0.482668411
9809,16629760,GET,TRUE,2553.302,5244.577,3406.957,2.05,1.33,0.350384788
10455,16629760,GET,TRUE,2565.329,5589.638,3452.262,2.18,1.35,0.382381829
8644,16629760,GET,TRUE,2566.734,6029.846,3277.865,2.35,1.28,0.456393248
8975,16646144,GET,TRUE,2557.046,5951.163,3229.623,2.33,1.26,0.457312293
10436,16728064,GET,TRUE,2585.739,5633.809,2845.091,2.18,1.1,0.494996902
6176,16760832,GET,TRUE,2590.469,5946.283,2845.582,2.3,1.1,0.521451973
5757,16760832,GET,TRUE,2572.877,5037.393,2831.442,1.96,1.1,0.437915207
4194,16760832,GET,TRUE,2574.14,5874.911,2785.445,2.28,1.08,0.52587452
5553,16859136,GET,TRUE,2917.393,5805.876,3166.516,1.99,1.09,0.454601511
8098,16891904,GET,TRUE,2608.816,6001.669,2857.058,2.3,1.1,0.523956086
7867,16891904,GET,TRUE,2592.608,5763.211,3221.2,2.22,1.24,0.44107547
7481,16957440,GET,TRUE,2625.697,5785.826,5890.629,2.2,2.24,-0.018113749
7512,16973824,GET,TRUE,2943.782,5813.744,3216.468,1.97,1.09,0.446747569
10929,16973824,GET,TRUE,2607.346,5638.551,3059.903,2.16,1.17,0.457324586
6934,16973824,GET,TRUE,2606.702,6163.626,2843.194,2.36,1.09,0.538714062
3594,16973824,GET,TRUE,2606.593,6076.583,2847.154,2.33,1.09,0.531454767
1863,17121280,GET,TRUE,2628.36,5592.549,2875.257,2.13,1.09,0.485877191
