Size,Type,IsDegradeRead,NativeecTimes,HydraTimes,MicroecTimes
1332,GET,False,5.6,4.04,2.48
1332,GET,False,2.84,2.66,1.81
1332,GET,False,3.89,3.21,1.54
1332,GET,True,6.59,3.39,2.61
1332,GET,False,3.32,3.02,2.27
1332,GET,False,4.02,3.17,1.69
1332,GET,False,3.87,2.84,1.69
1332,GET,False,4.94,3.01,2.16
1332,GET,False,3.18,2.66,1.78
1332,GET,False,3.66,2.78,1.87
1332,GET,False,3.09,2.59,1.87
1336,GET,True,4.58,3.17,2.04
1336,GET,False,3.99,3.46,2.11
1336,GET,False,3.82,2.75,1.7
1336,GET,False,3.06,4.0,1.56
1336,GET,False,4.04,3.54,1.73
1336,GET,True,3.03,3.07,1.87
1336,GET,False,4.66,3.83,2.61
1336,GET,False,5.01,3.55,2.46
1336,GET,True,4.26,3.8,2.44
1336,GET,False,3.65,3.01,2.39
1336,GET,False,2.88,2.97,2.45
1336,GET,False,3.11,2.24,1.64
1336,GET,False,5.2,2.74,1.97
1336,GET,False,2.55,4.18,2.38
1336,GET,False,3.82,3.76,1.91
1336,GET,False,3.21,2.51,2.53
1336,GET,False,4.43,3.67,2.19
1336,GET,False,4.28,4.18,2.23
1336,GET,True,4.64,3.81,2.53
1336,GET,False,3.32,3.64,1.78
1340,GET,False,2.76,2.46,1.82
1340,GET,False,3.69,3.21,1.97
1348,GET,False,3.5,3.12,1.98
1348,GET,True,4.9,3.07,2.23
1348,GET,False,2.79,3.85,2.14
1352,GET,False,4.41,3.82,1.91
1356,GET,False,4.64,3.22,2.02
1356,GET,False,2.91,2.44,1.52
1356,GET,False,3.78,3.07,1.84
1356,GET,False,3.61,4.08,2.12
1356,GET,False,3.29,2.97,1.99
1356,GET,False,4.47,3.46,1.76
1356,GET,False,3.18,2.46,1.88
1356,GET,False,3.74,3.0,1.73
1356,GET,False,2.17,4.09,1.71
1356,GET,False,2.58,2.27,1.88
1356,GET,False,5.47,3.38,1.92
1356,GET,False,5.9,3.71,2.23
1356,GET,False,5.5,2.65,2.34
1356,GET,False,3.66,2.8,2.17
1356,GET,True,6.7,3.28,2.62
1356,GET,False,1.94,2.72,1.92
1356,GET,False,3.44,3.73,2.01
1360,GET,False,5.01,3.79,2.39
1360,GET,False,3.25,2.84,1.82
1360,GET,True,5.42,3.36,2.67
1360,GET,True,4.51,3.78,1.95
1364,GET,False,3.94,2.82,2.42
1364,GET,False,3.66,2.25,2.23
1364,GET,False,3.55,3.33,2.35
1364,GET,False,4.28,3.52,2.24
1364,GET,False,2.67,2.44,1.75
1364,GET,False,2.42,3.02,1.73
1364,GET,False,3.13,2.6,2.42
1364,GET,False,6.61,3.17,2.22
1364,GET,False,2.94,3.47,2.54
1364,GET,False,5.07,3.72,2.16
1368,GET,False,3.1,2.86,1.73
1368,GET,False,3.35,4.13,2.5
1368,GET,False,3.58,3.05,2.03
1368,GET,False,2.01,2.04,1.16
1368,GET,False,4.45,3.72,2.46
1368,GET,True,5.14,3.75,2.48
1368,GET,False,5.3,2.89,2.54
1368,GET,False,4.6,2.07,2.04
1368,GET,False,4.37,3.59,2.49
1368,GET,True,3.7,4.02,2.5
1368,GET,False,2.69,3.38,1.82
1368,GET,False,3.86,3.3,2.04
1368,GET,True,3.63,3.46,2.57
1368,GET,False,2.94,3.46,1.73
1368,GET,False,5.13,3.5,2.15
1368,GET,True,4.95,3.21,2.42
1368,GET,False,3.44,3.36,1.59
1368,GET,True,3.58,3.17,2.39
1368,GET,False,3.52,3.56,2.4
1368,GET,False,3.1,3.33,1.46
1368,GET,True,2.6,3.29,2.24
1368,GET,False,3.06,3.42,1.2
1368,GET,True,4.23,3.09,2.35
1368,GET,False,3.92,3.38,1.89
1368,GET,False,3.49,3.32,2.64
1368,GET,False,2.42,3.09,1.79
1372,GET,True,6.03,3.24,2.34
1372,GET,False,4.03,2.61,1.36
1372,GET,False,2.08,2.83,2.27
1372,GET,True,5.1,3.58,2.37
