No,Size,Type,IsDegradeRead,replicas,nativeec,microec
0,2628,GET,false,5.941,15.689,9.158
1,1368,GET,true,4.1,57.598,19.298
2,5948,GET,false,6.497,17.907,13.032
3,3896,GET,true,6.713,18.634,12.618
4,16384,GET,true,7.987,19.93,17.063
5,25640960,GET,false,3934.087,3944.316,3934.849
6,1836,GET,true,6.083,28.854,14.024
7,22609920,GET,false,3487.577,3475.064,3471.35
8,5648,GET,false,6.024,15.322,14.232
9,1388,GET,false,4.312,15.309,8.504
10,1132,GET,true,4.494,22.764,16.054
11,2056,GET,false,4.387,16.732,8.614
12,11120,GET,false,6.254,15.496,9.673
13,2056,GET,false,4.438,16.682,9.101
14,2196,GET,false,4.181,16.575,9.546
15,5420,GET,true,5.721,24.32,14.85
16,1835008,GET,false,287.156,288.569,289.016
17,2228224,PUT,false,1200.704,1221.765,869.245
18,19070976,GET,true,2928.953,6459.285,3205.041
19,1372,GET,true,4.505,56.712,17.398
20,2876,GET,false,4.822,21.403,9.161
21,7984,GET,false,6.618,18.844,8.83
22,16384,GET,false,8.762,18.203,13.711
23,4898816,GET,false,756.377,757.893,756.323
24,15826944,GET,true,2431.374,4851.718,27950.015
25,1292,GET,true,5.408,45.466,17.745
26,5232,PUT,false,18.385,46.15,52.493
27,2832,GET,false,4.096,16.611,8.577
28,2628,GET,true,5.011,23.48,16.369
29,2632,GET,false,4.729,15.614,10.316
30,458752,GET,false,86.06,77.409,75.944
31,688128,PUT,false,328.528,454.091,12713.815
32,5420,GET,false,5.941,23.348,10.872
33,12156,GET,false,7.775,20.791,13.007
34,2628,GET,false,4.821,23.749,8.93
35,1372,GET,false,3.965,22.723,9.626
36,8585216,PUT,false,4271.03,4186.848,2904.0
37,82493440,GET,true,12644.34,27520.155,18706.879
38,1292,PUT,false,14.059,90.47,46.156
39,1744,PUT,false,14.088,52.273,41.47
40,15716,GET,true,8.388,32.542,24.261
41,1392640,GET,false,227.819,225.949,219.175
42,314654720,PUT,false,163583.269,144316.334,104767.745
43,1336,GET,true,5.65,56.334,37.466
44,147456,GET,false,32.285,33.735,36.578
45,16172,GET,true,7.533,30.421,22.44
46,23478272,GET,false,3618.347,3605.342,3602.698
47,1916928,GET,false,300.158,302.492,301.196
48,1753088,PUT,false,813.801,742.324,429.43
49,2628,GET,true,5.078,35.27,20.67
50,95813632,GET,true,14683.452,35102.489,16941.783
51,99876864,GET,false,15324.49,15337.703,15307.851
52,6728,GET,false,6.466,19.566,12.533
53,1776,GET,true,4.224,66.111,20.817
54,82509824,GET,true,13051.364,28282.396,15739.286
55,2628,GET,false,8.522,39.86,17.545
56,5136,GET,true,6.899,70.947,24.266
57,74891264,GET,true,11479.563,27820.984,16229.63
58,1032,GET,false,5.423,43.103,13.939
59,16384,GET,false,8.006,23.72,14.184
60,5420,GET,true,5.746,75.256,17.732
61,2628,GET,false,4.663,23.036,13.119
62,25034752,PUT,false,12857.136,14738.632,7108.268
63,16384,GET,false,7.938,25.032,15.858
64,1900,GET,true,4.543,62.678,26.393
65,6756,GET,false,6.733,26.505,13.792
66,1492,GET,true,5.122,31.855,17.348
67,11368,GET,false,7.937,19.422,16.967
68,16384,GET,true,7.337,26.572,18.112
69,6012928,GET,true,928.905,2031.967,1082.17
70,18825216,GET,true,2891.275,6132.293,28157.13
71,278528,GET,true,55.38,160.627,12689.05
72,6720,GET,true,6.483,64.872,19.65
73,32768,GET,true,10.022,32.438,21.196
74,2056,GET,true,5.653,22.426,15.319
75,2824,GET,false,5.104,19.269,11.438
76,51576832,GET,true,7907.291,19116.468,18688.947
77,74366976,PUT,false,38466.801,34486.105,22410.241
78,13910016,GET,false,2139.826,2144.283,2141.64
79,2605056,GET,true,405.45,705.481,613.474
80,4592,GET,false,6.206,18.414,14.914
81,13484032,GET,false,2075.598,2079.373,2075.538
82,6316,GET,false,7.414,14.432,13.953
83,16068,PUT,false,16.088,60.912,37.103
84,54394880,GET,false,8351.613,8367.552,8355.275
85,61063168,GET,false,9359.972,9385.959,9365.309
86,196608,GET,true,39.25,75.031,56.363
87,1152,GET,true,4.487,24.743,20.475
88,61030400,GET,false,9355.381,9365.189,9356.549
89,373112832,GET,false,57164.338,57231.614,57153.255
90,5236,GET,true,6.471,22.913,20.382
91,7880704,GET,false,1218.267,1214.209,1213.051
92,64733184,GET,true,9942.922,21794.044,34469.555
93,5062656,GET,false,781.943,791.994,786.588
94,66945024,GET,false,10271.74,10276.436,10261.367
95,1132,GET,true,4.549,53.813,28.033
96,1788,GET,false,4.985,18.665,13.249
97,1388,GET,false,5.07,14.199,12.338
98,2628,GET,false,4.761,16.603,11.452
99,16384,GET,false,7.69,14.856,15.19
100,122093568,PUT,false,64084.734,66231.519,38237.285
101,12156,GET,false,7.66,20.904,15.036
102,983040,GET,true,179.508,360.173,231.695
103,49152,GET,true,14.798,69.228,27.509
104,6720,GET,true,6.666,54.738,23.172
105,1156,GET,false,4.235,22.001,11.952
106,13972,GET,false,7.799,21.905,15.404
107,884736,PUT,false,412.658,515.418,303.203
108,82509824,GET,false,12647.371,12666.18,12650.537
109,32768,GET,true,10.568,56.35,25.651
110,2212,GET,true,4.832,29.271,14.257
111,61014016,GET,false,9351.367,9376.966,9354.592
112,1428,GET,true,5.2,25.118,16.018
113,81920,GET,false,20.406,21.616,18.955
114,1372,GET,true,4.01,20.779,14.238
115,1376,GET,true,5.221,22.321,14.893
116,589824,GET,false,111.838,98.115,96.843
117,2628,GET,false,5.001,16.072,11.2
118,3220,GET,false,5.143,14.535,10.423
119,2056,GET,false,4.299,21.518,11.797
120,1372,GET,true,4.085,22.084,13.983
121,2628,GET,false,5.056,14.14,8.989
122,7900,GET,true,6.256,20.555,14.043
123,1900544,GET,false,345.446,298.641,297.326
124,8260,GET,false,7.058,16.347,12.822
125,22609920,GET,false,3489.904,3472.143,3470.394
