No,Size,Type,IsDegradeRead,replicas,nativeec,hydra,microec
116,2628,GET,false,5.37,20.691,18.191,10.344
117,1988,GET,true,4.986,28.426,26.459,14.4
118,2112,GET,true,4.993,22.396,25.582,13.979
119,2490368,GET,false,387.873,447.706,435.512,387.528
120,114688,GET,true,25.433,53.463,54.49,31.675
121,55197696,GET,false,8483.13,8463.174,8495.334,8465.815
122,16384,GET,true,8.942,27.923,31.516,18.481
123,294912,GET,false,58.669,52.729,53.61,51.49
124,3000,GET,false,6.308,15.92,20.995,11.104
125,2820,GET,false,5.469,18.206,16.14,9.733
126,32768,GET,true,10.453,25.283,45.606,19.469
127,2628,GET,true,5.412,20.479,25.196,13.759
128,2949120,GET,true,458.348,1060.501,908.394,558.509
129,7476,GET,false,6.737,30.314,31.519,9.303
130,2785280,GET,false,432.881,436.48,434.966,431.945
131,2060,GET,false,5.316,20.05,17.641,10.263
132,2628,GET,true,5.295,43.958,32.104,13.534
133,2628,GET,true,5.299,27.473,25.026,14.283
134,3024,GET,true,5.397,26.188,26.124,12.962
135,1332,GET,false,4.157,16.129,18.658,8.453
136,2628,GET,true,5.78,20.064,22.24,13.71
137,1772,GET,true,5.273,18.871,27.618,12.962
138,2228224,PUT,false,1039.434,1277.356,702.714,744.808
139,3784,GET,false,5.979,24.09,20.086,12.302
140,2628,GET,false,5.58,20.856,16.373,10.828
141,54394880,GET,true,8353.834,19209.123,17429.934,10220.642
142,2628,GET,true,6.11,80.353,60.935,22.117
143,12656,PUT,false,21.933,74.171,98.224,40.881
144,1152,GET,false,4.664,23.356,29.137,12.761
145,2628,GET,true,5.827,23.892,22.987,15.831
146,65536,GET,true,17.41,29.918,33.178,26.417
147,4448,GET,false,5.931,16.005,18.88,11.213
148,1332,GET,false,4.995,16.584,15.066,11.333
149,1900,GET,true,4.986,20.109,27.438,14.955
150,16384,GET,true,7.953,21.943,30.832,17.163
151,17743872,GET,false,2723.432,2737.787,2746.266,2725.228
