cpu,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,cpu16,cpu17,cpu18,cpu19,cpu20,cpu21,cpu22,cpu23,cpu24,cpu25,cpu26,cpu27,cpu28,cpu29,cpu30,cpu31,cpu32,cpu33,cpu34,cpu35,cpu36,cpu37,cpu38,cpu39,cpu40,cpu41,cpu42,cpu43,cpu44,cpu45,cpu46,cpu47
0.324368895,0.181818182,0.193939394,0.097560976,0.067073171,0.163636364,0.097560976,0.072289157,0.396341463,0.478787879,0.291925466,0.288343558,0,0.327272727,0.256097561,0.079268293,0.133333333,0.203703704,0.243902439,0.140243902,0.102409639,0.256097561,0,0,0,0.715151515,0.707317073,0.768292683,0.603658537,0.552147239,0.737804878,0.557575758,0.466666667,0.365853659,0,0,0,0.54601227,0.670731707,0.725609756,0.733333333,0.552147239,0.725609756,0.725609756,0.650306748,0.687116564,0,0,0
,,,,,,,,,14.98228186,,0.580269024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.416174496,,0.290134512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
