1024.rep1.log,8,7,9
1024.replicas.log,15,10,21
1024.eccache.log,26,20,36
1024.microec.log,27,21,39
65536.rep1.log,19,18,22
65536.replicas.log,42,38,48
65536.eccache.log,40,36,59
65536.microec.log,52,38,79
262144.rep1.log,50,49,51
262144.replicas.log,133,129,140
262144.eccache.log,179,138,224
262144.microec.log,129,101,140
1048576.rep1.log,179,176,186
1048576.replicas.log,501,492,544
1048576.eccache.log,588,447,712
1048576.microec.log,336,280,383
4194304.rep1.log,651,648,658
4194304.replicas.log,1953,1942,1991
4194304.eccache.log,2273,1728,2921
4194304.microec.log,1270,1179,1389
16777216.rep1.log,2591,2585,2593
16777216.replicas.log,7748,7735,7793
16777216.eccache.log,9106,7028,11854
16777216.microec.log,5067,4692,5813
67108864.rep1.log,11482,11436,11510
67108864.replicas.log,34198,33618,34370
67108864.eccache.log,35044,28170,49946
67108864.microec.log,19787,19296,21442
