No,Size,Type,IsDegradeRead,replicas,nativeec,microec
0,26443776,GET,true,4056.971,21.972,20.82
1,2144,GET,true,5.073,22.984,28.758
2,2310144,GET,true,359.746,21.843,20.405
3,1980,GET,true,4.518,21.195,20.898
4,1152,GET,true,3.803,22.265,20.646
5,2404,GET,true,4.951,28.358,20.9
6,2628,GET,true,4.571,22.375,20.255
7,1336,GET,true,4.182,23.244,24.506
8,1772,GET,true,4.135,22.137,21.214
9,14708,GET,true,8.285,28.742,23.742
10,40943616,GET,true,6292.469,21.452,20.579
11,2195456,GET,true,342.312,22.63,20.862
12,2404,GET,true,4.695,22.412,20.736
13,4931584,GET,true,760.833,20.38,19.983
14,2420,GET,true,4.435,21.726,21.394
15,30720000,GET,true,4726.581,24.504,20.925
16,2212,GET,true,5.297,23.648,31.716
17,1584,GET,true,4.456,22.258,28.807
18,114688,GET,true,25.991,23.222,21.941
19,20365312,GET,true,3140.266,22.184,36.609
20,65536,PUT,false,108.569,21.662,32.478
21,16187392,GET,true,2486.775,24.242,22.384
22,4016,GET,true,6.456,24.237,22.051
23,15548416,GET,true,2387.175,39.131,31.22
24,10764288,GET,true,1654.366,29.206,28.834
25,14663680,GET,true,2251.822,24.372,21.105
26,23822336,GET,true,3670.934,71.401,85.976
27,1116,GET,true,4.756,25.462,26.203
28,2628,GET,true,4.858,23.555,21.285
29,1152,GET,true,3.843,24.024,23.747
30,10088,GET,true,6.828,40.422,22.909
31,16384,GET,true,7.875,26.847,21.802
32,1980,GET,true,4.636,25.53,24.789
33,1900544,GET,true,296.891,23.101,20.632
34,2628,GET,true,5.008,23.981,22.751
35,2996,GET,true,5.224,22.225,21.893
36,54394880,GET,true,8336.498,22.783,21.407
37,3000,GET,true,5.642,21.731,20.773
38,2628,GET,true,4.678,22.804,23.414
39,3784,GET,true,5.188,22.709,20.958
40,851968,GET,true,169.298,42.341,22.637
41,671744,GET,true,124.215,24.97,24.627
42,7476,GET,true,6.384,22.698,21.896
43,2628,GET,true,5.152,23.197,20.426
44,2080768,GET,true,324.688,22.5,20.688
45,3342336,GET,true,517.655,22.38,21.521
46,3784,GET,true,4.663,39.327,40.069
47,3342336,GET,true,516.889,24.373,25.073
48,1720,PUT,false,27.933,22.302,20.931
49,1332,GET,true,4.303,24.339,21.602
