4cn.2client.write.262144,,,,,,,,
replicas,,,,,,,,
avgLatency(us),508.57,491.06,503.75,413.22,504.38,408.38,486.42,497.98
thgpt(MB/s),461.74,461.72,461.98,472.11,455.96,454.92,457.95,455.54
thgpt(MB/s),474.28,478.72,491.5,468.68,467.88,496.82,472.38,593.3
thgpt(MB/s),476.4,492.1,479,522.98,479.73,497.99,491.57,476.36
thgpt(MB/s),491.57,509.1,496.28,605,495.66,612.17,513.96,502.03
microec,,,,,,,,
avgLatency(us),505.34,486.81,507.35,405.37,484.24,505.84,406.88,492.69
avgLatency(us),499.01,500.2,497.74,499.03,504.36,504.56,501.24,502.72
avgLatency(us),483.71,471.33,502.97,484.37,481.36,502.66,502.84,483.71
avgLatency(us),484.84,334.06,486.82,493,486.65,332.81,485.81,492.83
thgpt(MB/s),494.72,513.55,492.76,616.72,516.27,494.23,614.43,507.42
thgpt(MB/s),500.99,499.8,502.27,500.97,495.68,495.48,498.76,497.29
thgpt(MB/s),516.84,530.41,497.05,516.13,519.36,497.35,497.18,516.84
thgpt(MB/s),515.63,748.37,513.54,507.1,513.72,751.18,514.6,507.27
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2019,1710,2836,,,,,,
4031,3397,5437,,,,,,
6043,5018,8178,,,,,,
8054,6696,11160,,,,,,
,,,,,,,,
,,,,,,,,
1.971376953,1.670390625,2.769921875,,,,,,
3.936923828,3.317470703,5.309501953,,,,,,
5.901640625,4.900585938,7.986142578,,,,,,
7.865048828,6.538574219,10.89816406,,,,,,
,,,,,,,,
,,,,,,,,
1.97,1.67,2.77,,,,,,
3.94,3.32,5.31,,,,,,
5.9,4.9,7.99,,,,,,
7.87,6.54,10.9,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
240 ,470 ,705 ,919 ,,,,,
256 ,306 ,375 ,510 ,,,,,
133 ,246 ,371 ,479 ,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
240 ,256 ,133 ,,,,,,
470 ,306 ,246 ,,,,,,
705 ,375 ,371 ,,,,,,
919 ,510 ,479 ,,,,,,
,,,,,,,,
,,,,,,,,
8316.94,8749.23,8698.3,8982.43,,,,,
7937.46,13166.58,16055.73,15767.38,,,,,
15023.53,16249.2,16268,16903.91,,,,,
,,,,,,,,
,,,,,,,,
8.122011719,8.544169922,8.494433594,8.771904297,,,,,
7.751425781,12.85798828,15.67942383,15.39783203,,,,,
14.67141602,15.86835938,15.88671875,16.50772461,,,,,
,,,,,,,,
,,,,,,,,
8.12 ,8.54 ,8.49 ,8.77 ,,,,,
7.75 ,12.86 ,15.68 ,15.40 ,,,,,
14.67 ,15.87 ,15.89 ,16.51 ,,,,,
,,,,,,,,
,,,,,,,,
8.12 ,7.75 ,14.67 ,,,,,,
8.54 ,12.86 ,15.87 ,,,,,,
8.49 ,15.68 ,15.89 ,,,,,,
8.77 ,15.40 ,16.51 ,,,,,,
