No,Size,Type,IsDegradeRead,replicas,nativeec,microec,NativeecTimes,MicroecTimes
6310,1024,GET,False,4.477,15.45,9.408,3.45,2.1
5502,1024,GET,False,5.179,15.413,8.431,2.98,1.63
7029,1024,GET,True,4.488,22.388,11.395,4.99,2.54
10542,1028,GET,False,4.523,14.452,9.816,3.2,2.17
9188,1028,GET,False,4.574,9.737,11.881,2.13,2.6
197,1028,GET,False,4.776,26.745,9.773,5.6,2.05
8770,1032,GET,False,5.1,14.653,8.181,2.87,1.6
8509,1040,GET,False,3.707,18.61,8.493,5.02,2.29
626,1040,GET,True,4.518,25.563,12.788,5.66,2.83
2022,1040,GET,False,4.334,18.406,10.087,4.25,2.33
265,1040,GET,False,3.823,9.289,6.459,2.43,1.69
229,1040,GET,False,4.813,23.885,7.927,4.96,1.65
1489,1040,GET,False,4.63,26.873,11.284,5.8,2.44
9811,1044,GET,False,4.355,15.248,9.825,3.5,2.26
2425,1064,GET,False,4.538,18.397,11.233,4.05,2.48
7778,1064,GET,False,4.51,16.673,9.887,3.7,2.19
4861,1068,GET,False,4.219,15.456,8.707,3.66,2.06
6537,1072,GET,True,5.073,20.875,11.926,4.11,2.35
10845,1076,GET,True,4.153,25.824,11.902,6.22,2.87
8327,1080,GET,False,4.4,13.94,10.54,3.17,2.4
4063,1080,GET,False,4.416,11.42,8.368,2.59,1.89
10626,1080,GET,False,4.599,29.018,10.911,6.31,2.37
3526,1088,GET,False,4.968,17.919,10.441,3.61,2.1
10510,1088,GET,False,4.667,12.424,8.444,2.66,1.81
1971,1116,GET,False,4.49,18.496,11.262,4.12,2.51
1203,1116,GET,False,4.094,19.115,9.426,4.67,2.3
205,1116,GET,False,4.918,16.398,8.234,3.33,1.67
1021,1116,GET,False,5.098,13.766,8.045,2.7,1.58
233,1116,GET,False,4.816,20.568,9.183,4.27,1.91
1092,1116,GET,False,4.436,19.863,8.902,4.48,2.01
1009,1116,GET,False,4.241,14.957,9.041,3.53,2.13
504,1116,GET,False,5.514,22.957,10.72,4.16,1.94
1036,1116,GET,False,4.556,15.704,8.353,3.45,1.83
947,1116,GET,True,5.384,32.55,11.84,6.05,2.2
417,1116,GET,False,4.228,19.583,9.306,4.63,2.2
1511,1116,GET,False,4.108,17.941,8.615,4.37,2.1
