Size,Type,IsDegradeRead,NativeecTimes,MicroecTimes
1152,GET,True,16.72,3.12
1152,GET,True,18.5,3.31
1152,GET,True,14.44,4.28
1152,GET,True,12.94,4.04
1152,GET,True,6.29,1.6
1152,GET,True,7.01,3.58
1152,GET,True,7.05,3.39
1152,GET,True,18.5,2.8
1152,GET,True,5.57,2.67
1152,GET,True,15.24,4.24
1152,GET,True,4.21,3.31
1152,PUT,False,3.18,2.35
1152,GET,True,8.0,3.06
1152,GET,True,4.41,2.95
1152,GET,True,5.55,3.05
1152,GET,True,6.15,3.18
1152,GET,True,8.17,2.61
1152,GET,True,5.77,3.52
1152,GET,True,17.31,6.06
1156,GET,True,6.6,3.95
1156,GET,True,5.87,2.61
1156,GET,True,5.15,4.9
1156,GET,True,13.57,2.77
1156,GET,True,11.22,3.74
1156,GET,True,16.97,5.02
1156,GET,True,5.13,3.37
1156,GET,True,18.33,5.51
1156,GET,True,6.33,3.69
1156,GET,True,7.0,3.67
1156,GET,True,12.8,4.61
1156,GET,True,5.35,3.28
1156,GET,True,3.0,2.35
1156,GET,True,13.71,5.72
1156,GET,True,12.76,147.58
1156,GET,True,5.51,3.92
1156,GET,True,18.23,5.01
1156,GET,True,11.04,3.81
1156,GET,True,10.23,3.46
1156,GET,True,6.15,4.53
1156,GET,True,4.96,2.41
1156,GET,True,17.15,6.53
1156,GET,True,5.48,3.38
1156,GET,True,16.59,6.25
1156,GET,True,5.67,3.33
1156,GET,True,16.31,2.43
1156,GET,True,6.5,4.25
1156,GET,True,8.63,3.62
1156,GET,True,11.04,4.67
1156,GET,True,13.71,2.96
1156,GET,True,6.78,3.72
1156,GET,True,7.15,5.1
1156,GET,True,5.01,2.94
1156,GET,True,8.43,3.58
1156,GET,True,14.92,5.74
1156,GET,True,8.56,3.97
1156,GET,True,6.82,3.18
1156,GET,True,8.83,3.72
1156,GET,True,12.43,3.61
1156,GET,True,18.55,6.33
1156,GET,True,4.16,2.67
1156,GET,True,6.94,2.59
1156,GET,True,18.39,3.55
1156,GET,True,6.66,3.08
1156,GET,True,5.88,2.97
1156,GET,True,14.07,2.69
1156,GET,True,9.01,2.89
1156,GET,True,16.03,3.82
1156,GET,True,14.31,4.64
1156,GET,True,6.79,3.63
1156,GET,True,8.01,4.49
1156,GET,True,12.86,5.64
1156,GET,True,16.62,5.44
1156,GET,True,10.96,3.53
1156,GET,True,9.41,3.75
1156,GET,True,8.44,4.3
1156,GET,True,14.1,4.21
1156,GET,True,7.46,3.04
1156,GET,True,8.96,3.7
1156,GET,True,5.29,3.21
1156,GET,True,14.83,4.19
1156,GET,True,8.52,3.97
1156,GET,True,5.6,4.11
1156,GET,True,4.19,4.34
1156,GET,True,16.38,3.55
1156,GET,True,6.53,3.28
1156,GET,True,16.33,3.6
1156,GET,True,6.61,3.59
1156,GET,True,12.58,3.79
1156,GET,True,7.89,3.79
1156,GET,True,8.18,5.21
1156,GET,True,10.35,3.24
1156,GET,True,4.18,3.25
1156,GET,True,6.3,2.95
1156,GET,True,3.83,3.72
1156,GET,True,5.16,3.33
1156,GET,True,9.93,3.69
1156,GET,True,15.22,4.26
1156,GET,True,8.44,4.76
1156,GET,True,4.8,2.66
1156,GET,True,5.72,3.9
1156,GET,True,6.28,3.66
1156,GET,True,18.03,4.5
1156,GET,True,18.73,3.19
1156,GET,True,23.52,4.14
1156,GET,True,14.94,12.81
1156,GET,True,10.42,5.0
1156,GET,True,7.18,3.98
1156,GET,True,7.03,3.43
1156,GET,True,7.87,4.48
1156,GET,True,5.65,4.64
1156,GET,True,15.21,4.87
1156,GET,True,12.41,4.24
1156,GET,True,14.97,19.46
1156,GET,True,17.94,4.76
1156,GET,True,15.55,18.48
1156,GET,True,14.11,3.9
1156,GET,True,4.03,3.28
1156,GET,True,6.04,3.36
1156,GET,True,6.13,3.57
1156,GET,True,4.6,2.65
1156,GET,True,9.78,4.24
1156,GET,True,12.97,5.03
1156,GET,True,21.26,4.19
1156,GET,True,6.21,2.74
1156,GET,True,6.65,2.84
1156,GET,True,6.86,4.73
1156,GET,True,7.27,4.3
1156,GET,True,6.78,3.26
1156,GET,True,17.84,9.59
1156,GET,True,10.69,3.32
1156,GET,True,5.19,2.9
1156,GET,True,6.58,2.61
1156,GET,True,15.59,4.32
1156,GET,True,14.95,4.65
1156,GET,True,11.77,3.67
1156,GET,True,5.98,3.7
1156,GET,True,5.61,3.34
1156,GET,True,13.41,4.17
1156,GET,True,4.82,3.62
1156,GET,True,18.11,5.95
1156,GET,True,12.7,13.23
1156,GET,True,19.27,3.44
1156,GET,True,3.92,2.49
1156,GET,True,10.85,3.7
1156,GET,True,4.73,3.27
1156,GET,True,11.09,3.92
1156,GET,True,6.91,4.02
1156,GET,True,7.4,3.12
1156,GET,True,5.01,2.5
1156,GET,True,6.4,4.11
1156,GET,True,7.48,3.67
1156,GET,True,8.17,3.18
1156,GET,True,7.15,4.35
1156,GET,True,10.05,3.82
1156,GET,True,5.57,3.2
1156,GET,True,4.71,3.05
1156,GET,True,7.21,3.71
1156,GET,True,6.28,3.66
1156,GET,True,15.58,3.46
1160,GET,True,4.92,3.02
1160,GET,True,6.35,3.78
1160,GET,True,8.32,3.08
1160,GET,True,5.54,3.93
1160,GET,True,15.58,4.64
1164,PUT,False,1.91,1.25
1164,GET,True,12.55,3.4
1164,GET,True,9.42,2.99
1172,GET,True,8.53,3.03
1176,PUT,False,4.74,3.11
1176,GET,True,17.91,4.07
1180,GET,True,14.32,3.7
1180,GET,True,14.58,3.3
1184,GET,True,8.61,3.61
1184,GET,True,9.8,4.63
1188,GET,True,9.15,2.8
1188,GET,True,5.08,4.63
1192,GET,True,12.13,14.02
1192,GET,True,5.62,3.96
1192,GET,True,5.55,2.78
1192,GET,True,4.47,3.3
1200,GET,True,5.39,3.89
1212,PUT,False,5.58,3.69
1228,GET,True,6.63,3.85
1228,GET,True,5.98,3.23
1232,GET,True,5.46,3.11
1232,GET,True,3.97,3.7
1232,GET,True,3.8,2.79
1232,GET,True,7.26,3.79
1232,GET,True,6.96,2.56
1236,GET,True,7.25,3.11
1236,GET,True,5.92,3.73
1236,GET,True,9.13,4.37
1236,GET,True,5.03,3.24
1236,GET,True,11.93,4.63
1236,GET,True,3.77,2.4
1236,GET,True,8.44,4.07
1236,GET,True,5.42,3.48
1236,GET,True,6.32,3.14
1236,GET,True,6.96,5.49
1236,GET,True,6.41,3.93
1236,GET,True,3.4,3.65
1236,GET,True,4.77,2.62
1236,GET,True,10.6,4.02
1240,GET,True,15.12,3.59
1240,GET,True,7.95,3.32
1240,GET,True,12.71,5.88
1240,GET,True,4.04,3.07
1244,PUT,False,3.3,2.69
1244,GET,True,3.61,2.32
1244,GET,True,4.04,2.8
1244,GET,True,6.04,3.63
1252,GET,True,7.48,3.04
1256,GET,True,3.98,2.36
1256,GET,True,4.62,2.67
1256,GET,True,9.89,2.72
1272,GET,True,7.92,4.59
1276,GET,True,8.92,3.0
1288,GET,True,11.39,4.46
1288,GET,True,13.66,5.07
1292,PUT,False,6.5,3.22
1292,PUT,False,4.56,1.09
1292,GET,True,10.69,2.84
1292,GET,True,5.34,3.44
1296,PUT,False,6.51,6.15
1296,GET,True,18.92,4.88
1296,PUT,False,6.52,3.91
1296,GET,True,5.04,2.89
1304,GET,True,5.0,3.56
1304,GET,True,5.94,3.42
1308,GET,True,4.12,2.4
1308,GET,True,3.81,2.87
1308,GET,True,13.41,3.85
1308,GET,True,7.81,3.34
1308,GET,True,10.33,4.36
1308,GET,True,9.51,4.37
1308,GET,True,15.6,3.98
1308,GET,True,15.08,3.47
1308,GET,True,11.26,4.39
1316,GET,True,5.9,2.47
1316,GET,True,13.07,3.2
1324,GET,True,5.3,3.68
1332,GET,True,6.45,2.92
1332,GET,True,11.78,3.47
1332,GET,True,9.41,4.19
1332,GET,True,5.36,3.64
