No,Size,Type,IsDegradeRead,replicas,nativeec,microec,NativeecTimes,MicroecTimes
10473,1724,PUT,False,14.091,66.839,39.141,4.74,2.78
10245,1728,GET,True,4.881,20.09,13.433,4.12,2.75
8596,1728,GET,True,4.948,27.541,13.361,5.57,2.7
10191,1732,GET,True,5.534,29.077,13.126,5.25,2.37
9469,1732,GET,True,4.511,33.16,14.456,7.35,3.2
10808,1740,GET,True,4.758,16.309,14.085,3.43,2.96
8236,1744,PUT,False,27.253,71.557,28.069,2.63,1.03
998,1744,GET,True,4.41,25.559,14.838,5.8,3.36
10066,1744,GET,True,4.617,45.895,13.385,9.94,2.9
4062,1748,GET,True,4.296,27.003,17.204,6.29,4.0
8176,1752,GET,True,4.931,33.333,23.216,6.76,4.71
8782,1752,GET,True,4.515,27.456,13.111,6.08,2.9
10012,1756,GET,True,4.57,29.982,16.809,6.56,3.68
6399,1756,GET,True,5.657,25.568,15.574,4.52,2.75
6430,1760,GET,True,4.963,48.651,17.544,9.8,3.53
7124,1760,GET,True,5.12,64.168,21.124,12.53,4.13
5147,1760,GET,True,4.574,45.509,21.271,9.95,4.65
638,1760,GET,True,4.625,48.023,15.528,10.38,3.36
980,1760,GET,True,4.838,57.729,20.472,11.93,4.23
2343,1760,GET,True,4.853,26.615,16.015,5.48,3.3
5625,1760,GET,True,4.644,45.514,14.514,9.8,3.13
7541,1760,GET,True,4.71,40.069,16.367,8.51,3.47
2995,1760,GET,True,4.431,19.693,12.314,4.44,2.78
5848,1760,GET,True,4.984,45.362,14.618,9.1,2.93
3980,1760,GET,True,4.574,28.373,11.709,6.2,2.56
7167,1760,GET,True,5.241,41.399,17.616,7.9,3.36
9168,1760,GET,True,5.202,39.915,13.646,7.67,2.62
3572,1760,GET,True,5.051,62.959,17.471,12.46,3.46
3660,1760,PUT,False,10.7,42.291,25.537,3.95,2.39
10179,1760,GET,True,4.605,23.011,15.536,5.0,3.37
2306,1760,GET,True,5.653,46.608,16.564,8.24,2.93
5406,1764,GET,True,5.304,21.26,16.625,4.01,3.13
795,1764,GET,True,4.536,20.134,12.351,4.44,2.72
1603,1772,GET,True,4.059,19.035,11.376,4.69,2.8
1427,1772,GET,True,4.11,20.979,12.005,5.1,2.92
2801,1772,GET,True,4.275,20.57,10.884,4.81,2.55
4469,1772,GET,True,4.123,25.131,16.552,6.1,4.01
8,1772,GET,True,4.135,26.828,11.614,6.49,2.81
1912,1772,GET,True,3.835,40.876,15.568,10.66,4.06
1896,1772,GET,True,4.336,18.749,12.236,4.32,2.82
6663,1772,GET,True,5.362,46.437,15.476,8.66,2.89
