recoveryMicroEC, filename /tmp65536eccache.dat monECSubStripeNum 4 transferSize 16384 loop 1000 degradeNum 2
MicroEC Coding Ready

/tmp65536eccache.dat is a ReplicasFile!
networkSizeArray [16384]
starting benchmark...
Loop 219 (us) 49.197
Loop 220 (us) 48.796
Loop 221 (us) 49.379
Loop 222 (us) 49.468
Loop 223 (us) 49.896
Loop 224 (us) 49.343
Loop 225 (us) 50.089
Loop 226 (us) 49.827
Loop 227 (us) 49.187
Loop 228 (us) 49.154
Loop 229 (us) 49.574
Loop 230 (us) 53.357
Loop 231 (us) 49.952
Loop 232 (us) 49.552
Loop 233 (us) 49.433
Loop 234 (us) 49.402
Loop 235 (us) 50.189
Loop 236 (us) 49.293
Loop 237 (us) 51.477
Loop 238 (us) 50.257
Loop 239 (us) 49.757
Loop 240 (us) 49.321
Loop 241 (us) 50.208
Loop 242 (us) 70.71
Loop 243 (us) 50.617
Loop 244 (us) 50.568
Loop 245 (us) 48.618
Loop 246 (us) 49.368
Loop 247 (us) 49.911
Loop 248 (us) 54.499
Loop 249 (us) 49.417
Loop 250 (us) 48.903
Loop 251 (us) 49.768
Loop 252 (us) 49.873
Loop 253 (us) 48.947
Loop 254 (us) 49.421
Loop 255 (us) 60.554
Loop 256 (us) 49.458
Loop 257 (us) 51.361
Loop 258 (us) 50.955
Loop 259 (us) 49.656
Loop 260 (us) 49.691
Loop 261 (us) 49.132
Loop 262 (us) 49.244
Loop 263 (us) 50.04
Loop 264 (us) 53.92
Loop 265 (us) 58.92
Loop 266 (us) 54.717
Loop 267 (us) 49.849
Loop 268 (us) 49.89
Loop 269 (us) 49.792
Loop 270 (us) 50.093
Loop 271 (us) 59.045
Loop 272 (us) 49.973
Loop 273 (us) 49.724
Loop 274 (us) 55.234
Loop 275 (us) 49.876
Loop 276 (us) 48.923
Loop 277 (us) 49.581
Loop 278 (us) 49.933
Loop 279 (us) 64.241
Loop 280 (us) 56.527
Loop 281 (us) 49.597
Loop 282 (us) 51.99
Loop 283 (us) 58.482
Loop 284 (us) 64.39
Loop 285 (us) 50.299
Loop 286 (us) 49.869
Loop 287 (us) 49.806
Loop 288 (us) 49.373
Loop 289 (us) 48.951
Loop 290 (us) 48.823
Loop 291 (us) 49.242
Loop 292 (us) 49.816
Loop 293 (us) 49.335
Loop 294 (us) 49.187
Loop 295 (us) 720.496
Loop 296 (us) 48.498
Loop 297 (us) 48.42
Loop 298 (us) 48.16
Loop 299 (us) 48.404
Loop 300 (us) 88.769
Loop 301 (us) 48.348
Loop 302 (us) 47.398
Loop 303 (us) 47.069
Loop 304 (us) 47.492
Loop 305 (us) 47.582
Loop 306 (us) 47.538
Loop 307 (us) 55.922
Loop 308 (us) 47.345
Loop 309 (us) 47.494
Loop 310 (us) 47.527
Loop 311 (us) 47.416
Loop 312 (us) 47.394
Loop 313 (us) 47.503
Loop 314 (us) 47.505
Loop 315 (us) 47.752
Loop 316 (us) 48.541
Loop 317 (us) 47.615
Loop 318 (us) 48.016
Loop 319 (us) 53.854
Loop 320 (us) 48.151
Loop 321 (us) 48.199
Loop 322 (us) 47.407
Loop 323 (us) 47.571
Loop 324 (us) 47.691
Loop 325 (us) 47.423
Loop 326 (us) 53.166
Loop 327 (us) 47.928
Loop 328 (us) 47.444
Loop 329 (us) 58.001
Loop 330 (us) 48.164
Loop 331 (us) 47.782
Loop 332 (us) 47.139
Loop 333 (us) 47.226
Loop 334 (us) 47.168
Loop 335 (us) 80.839
Loop 336 (us) 50.02
Loop 337 (us) 48.231
Loop 338 (us) 47.145
Loop 339 (us) 47.583
Loop 340 (us) 47.975
Loop 341 (us) 50.513
Loop 342 (us) 47.522
Loop 343 (us) 47.948
Loop 344 (us) 54.99
Loop 345 (us) 58.464
Loop 346 (us) 53.938
Loop 347 (us) 48.327
Loop 348 (us) 47.172
Loop 349 (us) 47.359
Loop 350 (us) 52.497
Loop 351 (us) 47.438
Loop 352 (us) 47.34
Loop 353 (us) 47.518
Loop 354 (us) 47.162
Loop 355 (us) 47.462
Loop 356 (us) 47.899
Loop 357 (us) 47.638
Loop 358 (us) 47.422
Loop 359 (us) 47.52
Loop 360 (us) 47.387
Loop 361 (us) 47.689
Loop 362 (us) 47.445
Loop 363 (us) 52.723
Loop 364 (us) 48.471
Loop 365 (us) 47.498
Loop 366 (us) 47.184
Loop 367 (us) 47.52
Loop 368 (us) 47.166
Loop 369 (us) 47.135
Loop 370 (us) 47.617
Loop 371 (us) 46.8
Loop 372 (us) 47.523
Loop 373 (us) 47.027
Loop 374 (us) 46.979
Loop 375 (us) 47.584
Loop 376 (us) 47.305
Loop 377 (us) 47.14
Loop 378 (us) 46.874
Loop 379 (us) 47.245
Loop 380 (us) 66.442
Loop 381 (us) 54.066
Loop 382 (us) 47.42
Loop 383 (us) 46.922
Loop 384 (us) 46.577
Loop 385 (us) 46.639
Loop 386 (us) 46.261
Loop 387 (us) 46.817
Loop 388 (us) 46.437
Loop 389 (us) 46.848
Loop 390 (us) 46.406
Loop 391 (us) 46.689
Loop 392 (us) 46.829
Loop 393 (us) 60.324
Loop 394 (us) 46.538
Loop 395 (us) 48.814
Loop 396 (us) 47.033
Loop 397 (us) 46.523
Loop 398 (us) 46.368
Loop 399 (us) 54.398
Loop 400 (us) 47.339
Loop 401 (us) 47.532
Loop 402 (us) 46.583
Loop 403 (us) 46.618
Loop 404 (us) 46.988
Loop 405 (us) 66.158
Loop 406 (us) 52.963
Loop 407 (us) 62.059
Loop 408 (us) 57.817
Loop 409 (us) 46.47
Loop 410 (us) 45.767
Loop 411 (us) 46.111
Loop 412 (us) 46.319
Loop 413 (us) 47.011
Loop 414 (us) 46.37
Loop 415 (us) 46.428
