recoveryReplicas, filename /tmp4194304replicas.dat, loop 1000
/tmp4194304replicas.dat is a ReplicasFile!
starting benchmark...
Loop 207 (us) 1939.876
Loop 208 (us) 1940.357
Loop 209 (us) 1940.203
Loop 210 (us) 1940.395
Loop 211 (us) 1939.595
Loop 212 (us) 1940.692
Loop 213 (us) 1939.993
Loop 214 (us) 1940.752
Loop 215 (us) 1939.477
Loop 216 (us) 1940.311
Loop 217 (us) 1942.807
Loop 218 (us) 1940.973
Loop 219 (us) 1940.142
Loop 220 (us) 1939.605
Loop 221 (us) 1940.321
Loop 222 (us) 1941.215
Loop 223 (us) 1939.704
Loop 224 (us) 1940.315
Loop 225 (us) 1940.535
Loop 226 (us) 1940.089
Loop 227 (us) 1939.94
Loop 228 (us) 1940.532
Loop 229 (us) 1940.709
Loop 230 (us) 1940.094
Loop 231 (us) 1942.002
Loop 232 (us) 1940.835
Loop 233 (us) 1939.913
Loop 234 (us) 1942.37
Loop 235 (us) 1940.672
Loop 236 (us) 1940.243
Loop 237 (us) 1939.865
Loop 238 (us) 1940.14
Loop 239 (us) 1944.371
Loop 240 (us) 1939.906
Loop 241 (us) 1939.818
Loop 242 (us) 1939.871
Loop 243 (us) 1939.733
Loop 244 (us) 1940.061
Loop 245 (us) 1940.527
Loop 246 (us) 1940.348
Loop 247 (us) 1939.751
Loop 248 (us) 1939.73
Loop 249 (us) 1939.965
Loop 250 (us) 1940.1
Loop 251 (us) 1939.824
Loop 252 (us) 1939.952
Loop 253 (us) 1940.052
Loop 254 (us) 1940.11
Loop 255 (us) 1940.307
Loop 256 (us) 1939.824
Loop 257 (us) 1939.65
Loop 258 (us) 1939.622
Loop 259 (us) 1940.461
Loop 260 (us) 1939.939
Loop 261 (us) 1939.918
Loop 262 (us) 1939.88
Loop 263 (us) 1939.648
Loop 264 (us) 1940.128
Loop 265 (us) 1940.067
Loop 266 (us) 1940.41
Loop 267 (us) 1939.768
Loop 268 (us) 1940.363
Loop 269 (us) 1940.068
Loop 270 (us) 1939.6
Loop 271 (us) 1941.092
Loop 272 (us) 1939.571
Loop 273 (us) 1940.069
Loop 274 (us) 1939.983
Loop 275 (us) 1939.813
Loop 276 (us) 1941.356
Loop 277 (us) 1939.982
Loop 278 (us) 1939.365
Loop 279 (us) 1952.869
Loop 280 (us) 1942.19
Loop 281 (us) 1940.053
Loop 282 (us) 1939.913
Loop 283 (us) 1940.507
Loop 284 (us) 1939.686
Loop 285 (us) 1939.733
Loop 286 (us) 1939.749
Loop 287 (us) 1940.149
Loop 288 (us) 1938.941
Loop 289 (us) 1940.457
Loop 290 (us) 1939.282
Loop 291 (us) 1938.919
Loop 292 (us) 1940.959
Loop 293 (us) 1939.878
Loop 294 (us) 1939.893
Loop 295 (us) 1939.87
Loop 296 (us) 1939.656
Loop 297 (us) 1939.428
Loop 298 (us) 1940.26
Loop 299 (us) 1939.893
Loop 300 (us) 1938.661
Loop 301 (us) 1939.519
Loop 302 (us) 1939.991
Loop 303 (us) 1939.543
Loop 304 (us) 1938.894
Loop 305 (us) 1940.072
Loop 306 (us) 1939.036
Loop 307 (us) 1938.949
Loop 308 (us) 1940.716
Loop 309 (us) 1939.098
Loop 310 (us) 1939.183
Loop 311 (us) 1939.599
Loop 312 (us) 1940.432
Loop 313 (us) 1940.55
Loop 314 (us) 1939.566
Loop 315 (us) 1939.151
Loop 316 (us) 1939.459
Loop 317 (us) 1940.107
Loop 318 (us) 1939.334
Loop 319 (us) 1938.769
Loop 320 (us) 1939.332
Loop 321 (us) 1939.342
Loop 322 (us) 1939.405
Loop 323 (us) 1938.739
Loop 324 (us) 1939.261
Loop 325 (us) 1939.315
Loop 326 (us) 1939.544
Loop 327 (us) 1942.079
Loop 328 (us) 1939.327
Loop 329 (us) 1939.477
Loop 330 (us) 1939.46
Loop 331 (us) 1939.375
Loop 332 (us) 1940.087
Loop 333 (us) 1939.55
Loop 334 (us) 1940.056
Loop 335 (us) 1939.2
Loop 336 (us) 1939.521
Loop 337 (us) 1939.782
Loop 338 (us) 1940.362
Loop 339 (us) 1939.722
Loop 340 (us) 1939.684
Loop 341 (us) 1940.246
Loop 342 (us) 1940.167
Loop 343 (us) 1944.843
Loop 344 (us) 1941.962
Loop 345 (us) 1941.4
Loop 346 (us) 1941.909
Loop 347 (us) 1942.142
Loop 348 (us) 1940.573
Loop 349 (us) 1940.621
Loop 350 (us) 1940.561
Loop 351 (us) 1940.56
Loop 352 (us) 1940.254
Loop 353 (us) 1940.042
Loop 354 (us) 1940.511
Loop 355 (us) 1939.723
Loop 356 (us) 1939.849
Loop 357 (us) 1939.449
Loop 358 (us) 1939.757
Loop 359 (us) 1940.161
Loop 360 (us) 1939.553
Loop 361 (us) 1940.348
Loop 362 (us) 1939.673
Loop 363 (us) 1940.238
Loop 364 (us) 1940.076
Loop 365 (us) 1939.828
Loop 366 (us) 1940.069
Loop 367 (us) 1939.697
Loop 368 (us) 1940.307
Loop 369 (us) 1943.097
Loop 370 (us) 1939.588
Loop 371 (us) 1940.854
Loop 372 (us) 1940.329
Loop 373 (us) 1940.094
Loop 374 (us) 1943.431
Loop 375 (us) 1940.091
Loop 376 (us) 1939.785
Loop 377 (us) 1940.29
Loop 378 (us) 1940.574
Loop 379 (us) 1940.196
Loop 380 (us) 1939.828
Loop 381 (us) 1976.064
Loop 382 (us) 1940.402
Loop 383 (us) 1939.354
Loop 384 (us) 1940.084
