recoveryErasureCoding, filename /tmp262144eccache.dat, loop 1000
MicroEC Coding Ready

/tmp262144eccache.dat is a ReplicasFile!
starting benchmark...
Loop 221 (us) 148.79
Loop 222 (us) 131.004
Loop 223 (us) 139.797
Loop 224 (us) 141.036
Loop 225 (us) 136.26
Loop 226 (us) 147.371
Loop 227 (us) 142.975
Loop 228 (us) 136.747
Loop 229 (us) 116.636
Loop 230 (us) 146.129
Loop 231 (us) 139.933
Loop 232 (us) 130.265
Loop 233 (us) 136.036
Loop 234 (us) 131.502
Loop 235 (us) 126.836
Loop 236 (us) 147.043
Loop 237 (us) 131.055
Loop 238 (us) 135.763
Loop 239 (us) 148.369
Loop 240 (us) 142.299
Loop 241 (us) 137.961
Loop 242 (us) 117.08
Loop 243 (us) 124.419
Loop 244 (us) 146.231
Loop 245 (us) 137.49
Loop 246 (us) 148.082
Loop 247 (us) 137.915
Loop 248 (us) 127.288
Loop 249 (us) 149.766
Loop 250 (us) 136.992
Loop 251 (us) 146.665
Loop 252 (us) 131.207
Loop 253 (us) 139.23
Loop 254 (us) 139.13
Loop 255 (us) 136.913
Loop 256 (us) 147.676
Loop 257 (us) 137.488
Loop 258 (us) 116.909
Loop 259 (us) 144.892
Loop 260 (us) 142.215
Loop 261 (us) 137.713
Loop 262 (us) 116.949
Loop 263 (us) 129.268
Loop 264 (us) 127.126
Loop 265 (us) 115.99
Loop 266 (us) 145.597
Loop 267 (us) 137.401
Loop 268 (us) 117.222
Loop 269 (us) 125.05
Loop 270 (us) 125.487
Loop 271 (us) 152.057
Loop 272 (us) 139.529
Loop 273 (us) 136.885
Loop 274 (us) 148.643
Loop 275 (us) 141.302
Loop 276 (us) 137.567
Loop 277 (us) 126.573
Loop 278 (us) 148.313
Loop 279 (us) 154.338
Loop 280 (us) 140.7
Loop 281 (us) 138.855
Loop 282 (us) 147.078
Loop 283 (us) 130.114
Loop 284 (us) 139.27
Loop 285 (us) 136.607
Loop 286 (us) 126.958
Loop 287 (us) 148.95
Loop 288 (us) 139.049
Loop 289 (us) 116.08
Loop 290 (us) 114.667
Loop 291 (us) 124.441
Loop 292 (us) 117.291
Loop 293 (us) 147.122
Loop 294 (us) 141.258
Loop 295 (us) 136.976
Loop 296 (us) 148.066
Loop 297 (us) 136.235
Loop 298 (us) 127.57
Loop 299 (us) 147.029
Loop 300 (us) 140.724
Loop 301 (us) 131.406
Loop 302 (us) 138.951
Loop 303 (us) 129.254
Loop 304 (us) 136.698
Loop 305 (us) 148.024
Loop 306 (us) 131.563
Loop 307 (us) 138.838
Loop 308 (us) 138.239
Loop 309 (us) 148.982
Loop 310 (us) 136.69
Loop 311 (us) 147.236
Loop 312 (us) 137.933
Loop 313 (us) 149.066
Loop 314 (us) 137.074
Loop 315 (us) 148.499
Loop 316 (us) 137.108
Loop 317 (us) 148.115
Loop 318 (us) 136.929
Loop 319 (us) 146.617
Loop 320 (us) 141.603
Loop 321 (us) 136.284
Loop 322 (us) 126.595
Loop 323 (us) 125.731
Loop 324 (us) 126.218
Loop 325 (us) 125.28
Loop 326 (us) 147.567
Loop 327 (us) 136.561
Loop 328 (us) 155.851
Loop 329 (us) 141.558
Loop 330 (us) 141.328
Loop 331 (us) 139.837
Loop 332 (us) 130.958
Loop 333 (us) 137.606
Loop 334 (us) 140.943
Loop 335 (us) 134.702
Loop 336 (us) 138.829
Loop 337 (us) 139.614
Loop 338 (us) 138.109
Loop 339 (us) 138.209
Loop 340 (us) 116.979
Loop 341 (us) 125.536
Loop 342 (us) 147.732
Loop 343 (us) 148.217
Loop 344 (us) 149.436
Loop 345 (us) 147.947
Loop 346 (us) 138.89
Loop 347 (us) 127.021
Loop 348 (us) 148.175
Loop 349 (us) 141.056
Loop 350 (us) 130.161
Loop 351 (us) 136.271
Loop 352 (us) 127.47
Loop 353 (us) 126.263
Loop 354 (us) 149.07
Loop 355 (us) 142.076
Loop 356 (us) 131.266
Loop 357 (us) 136.603
Loop 358 (us) 148.917
Loop 359 (us) 131.013
Loop 360 (us) 137.802
Loop 361 (us) 116.927
Loop 362 (us) 145.768
Loop 363 (us) 138.918
Loop 364 (us) 150.475
Loop 365 (us) 137.383
Loop 366 (us) 147.852
Loop 367 (us) 137.772
Loop 368 (us) 127.048
Loop 369 (us) 125.919
Loop 370 (us) 147.078
Loop 371 (us) 145.617
Loop 372 (us) 126.472
Loop 373 (us) 117.005
Loop 374 (us) 114.973
Loop 375 (us) 144.319
Loop 376 (us) 137.26
Loop 377 (us) 126.854
Loop 378 (us) 116.598
Loop 379 (us) 126.529
Loop 380 (us) 126.446
Loop 381 (us) 125.627
Loop 382 (us) 126.77
Loop 383 (us) 147.516
Loop 384 (us) 137.202
Loop 385 (us) 148.073
Loop 386 (us) 144.237
Loop 387 (us) 116.974
Loop 388 (us) 125.004
Loop 389 (us) 163.161
Loop 390 (us) 136.864
Loop 391 (us) 147.703
Loop 392 (us) 137.585
Loop 393 (us) 118.121
Loop 394 (us) 145.635
Loop 395 (us) 131.109
Loop 396 (us) 134.946
Loop 397 (us) 125.854
Loop 398 (us) 115.533
Loop 399 (us) 123.863
Loop 400 (us) 145.93
