writeECPipeline, filename /tmp67108864eccache.dat, size 67108864, encodingSplitSize 16777216, loop 1000, storageClass 0, locationClass 0, pureMonECSubStripeNum 1, isPureMonEC false
MicroEC Coding Ready

starting benchmark...
CrailConstants.REPLICATION_FACTOR has changed to 5
replicas primary file /tmp67108864eccache.dat capacity 0
replicas slave file /tmp67108864eccache.datLQL0 capacity 0
replicas slave file /tmp67108864eccache.datLQL1 capacity 0
replicas slave file /tmp67108864eccache.datLQL2 capacity 0
replicas slave file /tmp67108864eccache.datLQL3 capacity 0
replicas slave file /tmp67108864eccache.datLQL4 capacity 0
ops 1000
final loop (us) 35920.238
Loop 0 (us) 35440.98
Loop 1 (us) 35694.794
Loop 2 (us) 35377.603
Loop 3 (us) 35089.832
Loop 4 (us) 35556.277
Loop 5 (us) 28518.716
Loop 6 (us) 35570.627
Loop 7 (us) 27862.659
Loop 8 (us) 35185.581
Loop 9 (us) 28197.891
Loop 10 (us) 35510.163
Loop 11 (us) 35919.332
Loop 12 (us) 35880.109
Loop 13 (us) 35815.152
Loop 14 (us) 35979.689
Loop 15 (us) 35831.684
Loop 16 (us) 35943.359
Loop 17 (us) 35960.833
Loop 18 (us) 37605.299
Loop 19 (us) 35752.096
Loop 20 (us) 36034.765
Loop 21 (us) 35792.132
Loop 22 (us) 36172.459
Loop 23 (us) 35950.911
Loop 24 (us) 35228.901
Loop 25 (us) 28676.829
Loop 26 (us) 35970.759
Loop 27 (us) 35786.451
Loop 28 (us) 35785.359
Loop 29 (us) 35574.639
Loop 30 (us) 35832.495
Loop 31 (us) 35400.273
Loop 32 (us) 35826.001
Loop 33 (us) 35909.735
Loop 34 (us) 35804.813
Loop 35 (us) 28182.58
Loop 36 (us) 28186.147
Loop 37 (us) 35809.546
Loop 38 (us) 35986.715
Loop 39 (us) 35971.902
Loop 40 (us) 35828.079
Loop 41 (us) 35973.775
Loop 42 (us) 35992.578
Loop 43 (us) 38479.979
Loop 44 (us) 35927.395
Loop 45 (us) 36023.784
Loop 46 (us) 35885.472
Loop 47 (us) 35751.994
Loop 48 (us) 35443.402
Loop 49 (us) 35786.349
Loop 50 (us) 35863.671
Loop 51 (us) 35516.931
Loop 52 (us) 28801.291
Loop 53 (us) 35989.786
Loop 54 (us) 35548.3
Loop 55 (us) 35583.9
Loop 56 (us) 28210.224
Loop 57 (us) 35887.122
Loop 58 (us) 35931.433
Loop 59 (us) 28729.441
Loop 60 (us) 35971.447
Loop 61 (us) 28198.51
Loop 62 (us) 35539.349
Loop 63 (us) 35509.315
Loop 64 (us) 35791.006
Loop 65 (us) 35943.322
Loop 66 (us) 35953.981
Loop 67 (us) 28726.356
Loop 68 (us) 29225.35
Loop 69 (us) 35958.683
Loop 70 (us) 35585.128
Loop 71 (us) 51033.876
Loop 72 (us) 35847.701
Loop 73 (us) 35943.867
Loop 74 (us) 36111.686
Loop 75 (us) 36058.428
Loop 76 (us) 35716.461
Loop 77 (us) 35971.906
Loop 78 (us) 28627.698
Loop 79 (us) 36010.9
Loop 80 (us) 35993.363
Loop 81 (us) 35868.502
Loop 82 (us) 35981.417
Loop 83 (us) 28750.825
