writeReplicas, filename /tmp4096replicas.dat, size 4096, loop 1000, storageClass 0, locationClass 0
starting benchmark...
ops 1000
final loop (us) 10.812
Loop 0 (us) 37.772
Loop 1 (us) 26.044
Loop 2 (us) 23.937
Loop 3 (us) 21.951
Loop 4 (us) 20.337
Loop 5 (us) 20.927
Loop 6 (us) 20.112
Loop 7 (us) 19.068
Loop 8 (us) 19.616
Loop 9 (us) 19.975
Loop 10 (us) 19.085
Loop 11 (us) 20.31
Loop 12 (us) 19.836
Loop 13 (us) 18.628
Loop 14 (us) 21.076
Loop 15 (us) 20.108
Loop 16 (us) 18.412
Loop 17 (us) 23.706
Loop 18 (us) 20.094
Loop 19 (us) 19.618
Loop 20 (us) 20.438
Loop 21 (us) 19.46
Loop 22 (us) 21.891
Loop 23 (us) 19.287
Loop 24 (us) 26.097
Loop 25 (us) 19.434
Loop 26 (us) 20.384
Loop 27 (us) 18.364
Loop 28 (us) 17.454
Loop 29 (us) 17.042
Loop 30 (us) 18.381
Loop 31 (us) 18.307
Loop 32 (us) 20.087
Loop 33 (us) 17.33
Loop 34 (us) 17.332
Loop 35 (us) 18.143
Loop 36 (us) 17.707
Loop 37 (us) 16.814
Loop 38 (us) 18.306
Loop 39 (us) 18.605
Loop 40 (us) 17.521
Loop 41 (us) 17.028
Loop 42 (us) 18.543
Loop 43 (us) 17.334
Loop 44 (us) 17.609
Loop 45 (us) 16.963
Loop 46 (us) 18.552
Loop 47 (us) 17.383
Loop 48 (us) 19.36
Loop 49 (us) 17.302
Loop 50 (us) 17.444
Loop 51 (us) 18.08
Loop 52 (us) 17.497
Loop 53 (us) 17.224
Loop 54 (us) 17.445
Loop 55 (us) 18.002
Loop 56 (us) 17.475
Loop 57 (us) 17.107
Loop 58 (us) 17.345
Loop 59 (us) 18.074
Loop 60 (us) 31.038
Loop 61 (us) 19.539
Loop 62 (us) 17.755
Loop 63 (us) 18.057
Loop 64 (us) 45.314
Loop 65 (us) 17.477
Loop 66 (us) 23.841
Loop 67 (us) 16.559
Loop 68 (us) 16.571
Loop 69 (us) 16.274
Loop 70 (us) 22.76
Loop 71 (us) 16.751
Loop 72 (us) 16.555
Loop 73 (us) 16.097
Loop 74 (us) 17.519
Loop 75 (us) 16.194
Loop 76 (us) 16.525
Loop 77 (us) 16.136
Loop 78 (us) 17.238
Loop 79 (us) 17.827
Loop 80 (us) 16.451
Loop 81 (us) 16.041
Loop 82 (us) 17.472
Loop 83 (us) 19.808
Loop 84 (us) 17.639
Loop 85 (us) 16.401
Loop 86 (us) 17.36
Loop 87 (us) 16.222
Loop 88 (us) 16.739
Loop 89 (us) 16.09
Loop 90 (us) 17.568
Loop 91 (us) 16.278
Loop 92 (us) 16.444
Loop 93 (us) 16.14
Loop 94 (us) 22.046
Loop 95 (us) 18.292
Loop 96 (us) 40.048
Loop 97 (us) 16.109
Loop 98 (us) 18.22
Loop 99 (us) 15.217
Loop 100 (us) 17.211
Loop 101 (us) 15.704
Loop 102 (us) 19.52
Loop 103 (us) 15.892
Loop 104 (us) 19.021
Loop 105 (us) 16.84
Loop 106 (us) 18.23
Loop 107 (us) 17.946
Loop 108 (us) 17.393
Loop 109 (us) 17.878
Loop 110 (us) 17.856
Loop 111 (us) 16.636
Loop 112 (us) 17.143
Loop 113 (us) 17.582
Loop 114 (us) 16.715
Loop 115 (us) 15.407
Loop 116 (us) 18.186
Loop 117 (us) 15.759
Loop 118 (us) 17.116
Loop 119 (us) 15.615
Loop 120 (us) 17.871
Loop 121 (us) 17.306
Loop 122 (us) 16.859
Loop 123 (us) 15.888
Loop 124 (us) 18.101
Loop 125 (us) 15.502
Loop 126 (us) 16.954
Loop 127 (us) 16.678
Loop 128 (us) 17.137
Loop 129 (us) 15.469
Loop 130 (us) 17.822
Loop 131 (us) 16.848
Loop 132 (us) 36.233
Loop 133 (us) 14.328
Loop 134 (us) 15.17
Loop 135 (us) 14.915
Loop 136 (us) 15.37
Loop 137 (us) 14.114
Loop 138 (us) 15.213
Loop 139 (us) 15.054
Loop 140 (us) 15.977
Loop 141 (us) 15.019
Loop 142 (us) 15.467
Loop 143 (us) 14.208
Loop 144 (us) 15.361
Loop 145 (us) 15.046
Loop 146 (us) 15.41
Loop 147 (us) 15.346
Loop 148 (us) 15.184
Loop 149 (us) 15.008
Loop 150 (us) 17.792
Loop 151 (us) 14.359
Loop 152 (us) 15.356
Loop 153 (us) 16.159
Loop 154 (us) 15.184
Loop 155 (us) 13.732
Loop 156 (us) 15.701
Loop 157 (us) 13.999
Loop 158 (us) 15.445
Loop 159 (us) 13.889
Loop 160 (us) 13.621
Loop 161 (us) 13.913
Loop 162 (us) 14.609
Loop 163 (us) 13.793
Loop 164 (us) 14.441
Loop 165 (us) 13.897
Loop 166 (us) 13.737
Loop 167 (us) 13.871
Loop 168 (us) 15.314
Loop 169 (us) 13.819
Loop 170 (us) 14.718
Loop 171 (us) 30.091
Loop 172 (us) 28.09
Loop 173 (us) 31.836
Loop 174 (us) 26.861
Loop 175 (us) 27.1
Loop 176 (us) 28.006
Loop 177 (us) 16.342
Loop 178 (us) 14.155
Loop 179 (us) 13.976
Loop 180 (us) 14.054
Loop 181 (us) 13.67
Loop 182 (us) 13.919
Loop 183 (us) 13.798
Loop 184 (us) 14.6
Loop 185 (us) 13.811
Loop 186 (us) 14.496
Loop 187 (us) 13.941
Loop 188 (us) 13.946
Loop 189 (us) 13.688
Loop 190 (us) 14.586
Loop 191 (us) 13.809
Loop 192 (us) 34.571
Loop 193 (us) 13.798
Loop 194 (us) 20.088
Loop 195 (us) 14.015
Loop 196 (us) 13.619
Loop 197 (us) 13.56
Loop 198 (us) 13.665
Loop 199 (us) 13.523
Loop 200 (us) 13.777
Loop 201 (us) 14.357
Loop 202 (us) 14.291
Loop 203 (us) 13.553
Loop 204 (us) 13.497
Loop 205 (us) 13.575
Loop 206 (us) 13.42
Loop 207 (us) 13.597
Loop 208 (us) 13.495
Loop 209 (us) 13.604
Loop 210 (us) 13.847
Loop 211 (us) 35.763
Loop 212 (us) 15.257
Loop 213 (us) 14.663
Loop 214 (us) 13.525
Loop 215 (us) 13.844
Loop 216 (us) 13.589
Loop 217 (us) 13.442
Loop 218 (us) 13.594
Loop 219 (us) 13.757
Loop 220 (us) 13.816
Loop 221 (us) 13.543
Loop 222 (us) 13.542
Loop 223 (us) 14.304
Loop 224 (us) 13.882
Loop 225 (us) 13.498
Loop 226 (us) 13.599
Loop 227 (us) 13.66
Loop 228 (us) 13.515
Loop 229 (us) 13.503
Loop 230 (us) 13.58
Loop 231 (us) 13.697
Loop 232 (us) 14.982
Loop 233 (us) 13.835
Loop 234 (us) 13.631
Loop 235 (us) 14.774
Loop 236 (us) 13.91
Loop 237 (us) 14.258
Loop 238 (us) 13.667
Loop 239 (us) 13.752
Loop 240 (us) 13.955
Loop 241 (us) 13.706
Loop 242 (us) 13.634
Loop 243 (us) 13.735
Loop 244 (us) 13.609
Loop 245 (us) 13.56
Loop 246 (us) 13.595
Loop 247 (us) 13.72
Loop 248 (us) 13.662
Loop 249 (us) 13.621
Loop 250 (us) 13.322
Loop 251 (us) 15.4
Loop 252 (us) 28.462
Loop 253 (us) 27.509
Loop 254 (us) 29.071
Loop 255 (us) 17.908
Loop 256 (us) 18.523
Loop 257 (us) 14.1
Loop 258 (us) 13.594
Loop 259 (us) 21.522
Loop 260 (us) 14.626
Loop 261 (us) 13.68
Loop 262 (us) 13.724
Loop 263 (us) 15.393
Loop 264 (us) 14.871
Loop 265 (us) 13.828
Loop 266 (us) 13.814
Loop 267 (us) 13.887
Loop 268 (us) 14.066
Loop 269 (us) 13.781
Loop 270 (us) 19.246
Loop 271 (us) 14.104
Loop 272 (us) 13.605
Loop 273 (us) 13.65
Loop 274 (us) 13.763
Loop 275 (us) 13.66
Loop 276 (us) 18.559
Loop 277 (us) 33.331
Loop 278 (us) 16.727
Loop 279 (us) 15.547
Loop 280 (us) 15.787
Loop 281 (us) 13.921
Loop 282 (us) 13.505
Loop 283 (us) 13.738
Loop 284 (us) 13.885
Loop 285 (us) 13.732
Loop 286 (us) 14.863
Loop 287 (us) 14.224
Loop 288 (us) 13.83
Loop 289 (us) 14.597
Loop 290 (us) 13.6
Loop 291 (us) 13.461
Loop 292 (us) 13.645
Loop 293 (us) 13.328
Loop 294 (us) 13.522
Loop 295 (us) 13.549
Loop 296 (us) 13.247
Loop 297 (us) 13.458
Loop 298 (us) 14.093
