writeHydra, filename /tmp65536hydra48.dat, size 65536, loop 1000, storageClass 0, locationClass 0
CrailConstants.REPLICATION_FACTOR has changed to 5
starting benchmark...
replicas primary file /tmp65536hydra48.dat capacity 0
replicas slave file /tmp65536hydra48.datLQL0 capacity 0
replicas slave file /tmp65536hydra48.datLQL1 capacity 0
replicas slave file /tmp65536hydra48.datLQL2 capacity 0
replicas slave file /tmp65536hydra48.datLQL3 capacity 0
replicas slave file /tmp65536hydra48.datLQL4 capacity 0
ops 1000
final loop (us) 33.515
Loop 0 (us) 110.626
Loop 1 (us) 48.83
Loop 2 (us) 47.571
Loop 3 (us) 47.827
Loop 4 (us) 45.964
Loop 5 (us) 45.475
Loop 6 (us) 45.559
Loop 7 (us) 62.763
Loop 8 (us) 88.433
Loop 9 (us) 61.409
Loop 10 (us) 47.629
Loop 11 (us) 46.612
Loop 12 (us) 45.967
Loop 13 (us) 45.952
Loop 14 (us) 46.769
Loop 15 (us) 47.41
Loop 16 (us) 47.254
Loop 17 (us) 48.116
Loop 18 (us) 47.332
Loop 19 (us) 46.82
Loop 20 (us) 48.041
Loop 21 (us) 51.784
Loop 22 (us) 47.447
Loop 23 (us) 47.89
Loop 24 (us) 47.731
Loop 25 (us) 65.221
Loop 26 (us) 66.342
Loop 27 (us) 78.351
Loop 28 (us) 56.608
Loop 29 (us) 47.917
Loop 30 (us) 47.709
Loop 31 (us) 46.938
Loop 32 (us) 55.719
Loop 33 (us) 62.181
Loop 34 (us) 45.794
Loop 35 (us) 46.563
Loop 36 (us) 44.666
Loop 37 (us) 45.156
Loop 38 (us) 46.407
Loop 39 (us) 46.105
Loop 40 (us) 49.634
Loop 41 (us) 71.59
Loop 42 (us) 107.323
Loop 43 (us) 67.988
Loop 44 (us) 49.421
Loop 45 (us) 49.077
Loop 46 (us) 58.001
Loop 47 (us) 82.82
Loop 48 (us) 45.789
Loop 49 (us) 45.418
Loop 50 (us) 45.716
Loop 51 (us) 45.769
Loop 52 (us) 44.495
Loop 53 (us) 45.218
Loop 54 (us) 45.803
Loop 55 (us) 44.154
Loop 56 (us) 44.803
Loop 57 (us) 45.7
Loop 58 (us) 45.443
Loop 59 (us) 44.883
Loop 60 (us) 46.202
Loop 61 (us) 68.536
Loop 62 (us) 49.86
Loop 63 (us) 48.454
Loop 64 (us) 66.947
Loop 65 (us) 49.607
Loop 66 (us) 185.74
Loop 67 (us) 61.991
Loop 68 (us) 62.026
Loop 69 (us) 52.739
