writeMicroEC_CodingDescent, filename /tmp65536microec.dat, size 65536, loop 1000, storageClass 0, locationClass 0, monECSubStripeNum 4
CrailConstants.REPLICATION_FACTOR has changed to 5
MicroEC Coding Ready

networkSizeArray [8192, 12288, 16384]
starting benchmark...
replicas primary file /tmp65536microec.dat capacity 0
replicas slave file /tmp65536microec.datLQL0 capacity 0
replicas slave file /tmp65536microec.datLQL1 capacity 0
replicas slave file /tmp65536microec.datLQL2 capacity 0
replicas slave file /tmp65536microec.datLQL3 capacity 0
replicas slave file /tmp65536microec.datLQL4 capacity 0
CrailConstants.REPLICATION_FACTOR has changed to 5
Loop 204 (us) 40.778
Loop 205 (us) 39.055
Loop 206 (us) 38.024
Loop 207 (us) 38.232
Loop 208 (us) 38.498
Loop 209 (us) 37.737
Loop 210 (us) 37.818
Loop 211 (us) 38.269
Loop 212 (us) 37.835
Loop 213 (us) 38.024
Loop 214 (us) 38.645
Loop 215 (us) 38.307
Loop 216 (us) 38.205
Loop 217 (us) 38.347
Loop 218 (us) 38.014
Loop 219 (us) 38.016
Loop 220 (us) 38.513
Loop 221 (us) 38.0
Loop 222 (us) 37.915
Loop 223 (us) 38.307
Loop 224 (us) 38.198
Loop 225 (us) 37.974
Loop 226 (us) 38.105
Loop 227 (us) 37.858
Loop 228 (us) 42.019
Loop 229 (us) 41.166
Loop 230 (us) 40.905
Loop 231 (us) 37.614
Loop 232 (us) 38.632
Loop 233 (us) 38.167
Loop 234 (us) 38.767
Loop 235 (us) 38.439
Loop 236 (us) 37.496
Loop 237 (us) 37.782
Loop 238 (us) 37.718
Loop 239 (us) 38.066
Loop 240 (us) 38.293
Loop 241 (us) 38.315
Loop 242 (us) 37.833
Loop 243 (us) 37.729
Loop 244 (us) 38.818
Loop 245 (us) 38.537
Loop 246 (us) 37.892
Loop 247 (us) 38.774
Loop 248 (us) 38.121
Loop 249 (us) 37.68
Loop 250 (us) 38.527
Loop 251 (us) 37.685
Loop 252 (us) 41.183
Loop 253 (us) 38.245
Loop 254 (us) 148.092
Loop 255 (us) 95.98
Loop 256 (us) 127.984
Loop 257 (us) 76.172
Loop 258 (us) 76.049
Loop 259 (us) 71.163
Loop 260 (us) 71.759
Loop 261 (us) 71.088
Loop 262 (us) 70.479
Loop 263 (us) 71.389
Loop 264 (us) 65.622
Loop 265 (us) 64.501
Loop 266 (us) 63.591
Loop 267 (us) 64.194
Loop 268 (us) 63.642
Loop 269 (us) 61.096
Loop 270 (us) 60.779
Loop 271 (us) 61.984
Loop 272 (us) 63.049
Loop 273 (us) 60.437
Loop 274 (us) 64.641
Loop 275 (us) 58.965
Loop 276 (us) 58.384
Loop 277 (us) 60.152
Loop 278 (us) 62.544
Loop 279 (us) 58.739
Loop 280 (us) 60.78
Loop 281 (us) 58.207
Loop 282 (us) 85.148
Loop 283 (us) 62.785
Loop 284 (us) 58.001
Loop 285 (us) 55.118
Loop 286 (us) 55.7
Loop 287 (us) 95.584
Loop 288 (us) 75.063
Loop 289 (us) 67.882
Loop 290 (us) 66.661
Loop 291 (us) 70.163
Loop 292 (us) 65.949
Loop 293 (us) 71.671
Loop 294 (us) 64.473
Loop 295 (us) 63.538
Loop 296 (us) 62.184
Loop 297 (us) 62.568
Loop 298 (us) 60.017
Loop 299 (us) 57.704
Loop 300 (us) 60.022
Loop 301 (us) 59.659
Loop 302 (us) 58.096
Loop 303 (us) 59.795
Loop 304 (us) 56.302
Loop 305 (us) 56.692
Loop 306 (us) 57.8
Loop 307 (us) 56.628
Loop 308 (us) 56.997
Loop 309 (us) 56.81
Loop 310 (us) 55.222
Loop 311 (us) 56.954
Loop 312 (us) 59.053
Loop 313 (us) 55.748
Loop 314 (us) 54.566
Loop 315 (us) 56.744
Loop 316 (us) 55.841
Loop 317 (us) 54.724
Loop 318 (us) 54.474
Loop 319 (us) 64.226
Loop 320 (us) 55.792
Loop 321 (us) 55.292
Loop 322 (us) 57.163
Loop 323 (us) 54.918
Loop 324 (us) 56.475
Loop 325 (us) 54.34
Loop 326 (us) 55.405
Loop 327 (us) 54.922
Loop 328 (us) 52.342
Loop 329 (us) 53.248
Loop 330 (us) 57.394
Loop 331 (us) 53.197
Loop 332 (us) 54.167
Loop 333 (us) 54.276
Loop 334 (us) 53.798
Loop 335 (us) 55.806
Loop 336 (us) 57.937
Loop 337 (us) 53.29
Loop 338 (us) 81.315
Loop 339 (us) 52.919
Loop 340 (us) 54.183
Loop 341 (us) 54.518
Loop 342 (us) 53.787
Loop 343 (us) 49.703
Loop 344 (us) 49.856
Loop 345 (us) 54.028
Loop 346 (us) 54.575
Loop 347 (us) 55.541
Loop 348 (us) 50.027
Loop 349 (us) 49.388
Loop 350 (us) 49.537
Loop 351 (us) 48.256
Loop 352 (us) 47.899
Loop 353 (us) 48.665
Loop 354 (us) 53.864
Loop 355 (us) 51.467
Loop 356 (us) 50.938
Loop 357 (us) 50.822
Loop 358 (us) 52.776
Loop 359 (us) 52.132
Loop 360 (us) 51.034
Loop 361 (us) 55.263
Loop 362 (us) 51.668
Loop 363 (us) 51.64
Loop 364 (us) 50.04
Loop 365 (us) 51.731
Loop 366 (us) 51.408
Loop 367 (us) 51.239
Loop 368 (us) 54.374
Loop 369 (us) 52.011
Loop 370 (us) 51.221
Loop 371 (us) 54.811
Loop 372 (us) 51.782
Loop 373 (us) 50.108
Loop 374 (us) 50.574
Loop 375 (us) 50.367
Loop 376 (us) 49.739
Loop 377 (us) 64.669
Loop 378 (us) 53.414
Loop 379 (us) 51.965
Loop 380 (us) 50.281
Loop 381 (us) 51.083
Loop 382 (us) 50.27
Loop 383 (us) 54.908
Loop 384 (us) 50.396
Loop 385 (us) 52.341
Loop 386 (us) 51.028
Loop 387 (us) 50.69
Loop 388 (us) 48.333
Loop 389 (us) 49.75
Loop 390 (us) 49.366
Loop 391 (us) 50.346
Loop 392 (us) 50.094
Loop 393 (us) 51.056
Loop 394 (us) 49.998
Loop 395 (us) 52.92
Loop 396 (us) 51.566
Loop 397 (us) 50.397
Loop 398 (us) 49.932
Loop 399 (us) 50.264
Loop 400 (us) 52.743
Loop 401 (us) 49.785
Loop 402 (us) 49.866
Loop 403 (us) 50.503
Loop 404 (us) 49.884
Loop 405 (us) 50.336
Loop 406 (us) 49.913
Loop 407 (us) 55.073
Loop 408 (us) 55.819
Loop 409 (us) 52.935
Loop 410 (us) 54.748
Loop 411 (us) 49.153
Loop 412 (us) 51.495
Loop 413 (us) 50.208
Loop 414 (us) 54.022
Loop 415 (us) 56.922
Loop 416 (us) 50.177
Loop 417 (us) 49.735
Loop 418 (us) 51.766
Loop 419 (us) 49.284
Loop 420 (us) 50.264
Loop 421 (us) 50.842
Loop 422 (us) 50.575
Loop 423 (us) 48.969
Loop 424 (us) 49.289
Loop 425 (us) 48.688
Loop 426 (us) 49.955
Loop 427 (us) 48.903
Loop 428 (us) 50.081
Loop 429 (us) 49.081
Loop 430 (us) 49.6
Loop 431 (us) 48.323
Loop 432 (us) 49.829
Loop 433 (us) 49.7
Loop 434 (us) 49.411
Loop 435 (us) 50.488
Loop 436 (us) 49.638
Loop 437 (us) 49.735
Loop 438 (us) 49.22
Loop 439 (us) 49.912
Loop 440 (us) 49.192
Loop 441 (us) 49.486
Loop 442 (us) 49.313
Loop 443 (us) 54.064
Loop 444 (us) 47.638
Loop 445 (us) 53.652
Loop 446 (us) 50.172
Loop 447 (us) 50.513
Loop 448 (us) 49.712
Loop 449 (us) 49.644
Loop 450 (us) 56.215
Loop 451 (us) 50.066
Loop 452 (us) 49.215
Loop 453 (us) 48.927
Loop 454 (us) 49.452
Loop 455 (us) 49.257
Loop 456 (us) 48.817
Loop 457 (us) 50.532
Loop 458 (us) 50.485
Loop 459 (us) 49.555
Loop 460 (us) 50.021
Loop 461 (us) 49.738
Loop 462 (us) 48.71
Loop 463 (us) 49.342
Loop 464 (us) 54.254
Loop 465 (us) 49.564
