write, filename /tmp65536rep1.dat, size 65536, loop 1000, storageClass 0, locationClass 0
starting benchmark...
ops 1000
final loop (us) 18.107
Loop 0 (us) 20.463
Loop 1 (us) 19.51
Loop 2 (us) 19.474
Loop 3 (us) 19.213
Loop 4 (us) 19.278
Loop 5 (us) 19.583
Loop 6 (us) 18.756
Loop 7 (us) 18.865
Loop 8 (us) 21.298
Loop 9 (us) 21.127
Loop 10 (us) 21.337
Loop 11 (us) 23.591
Loop 12 (us) 19.617
Loop 13 (us) 19.26
Loop 14 (us) 28.152
Loop 15 (us) 22.702
Loop 16 (us) 19.745
Loop 17 (us) 19.659
Loop 18 (us) 18.826
Loop 19 (us) 19.45
Loop 20 (us) 19.35
Loop 21 (us) 19.415
Loop 22 (us) 20.898
Loop 23 (us) 20.373
Loop 24 (us) 19.443
Loop 25 (us) 19.481
Loop 26 (us) 19.146
Loop 27 (us) 18.775
Loop 28 (us) 19.459
Loop 29 (us) 19.461
Loop 30 (us) 19.192
Loop 31 (us) 18.844
Loop 32 (us) 19.2
Loop 33 (us) 18.989
Loop 34 (us) 19.374
Loop 35 (us) 18.904
Loop 36 (us) 19.14
Loop 37 (us) 19.711
Loop 38 (us) 18.969
Loop 39 (us) 18.842
Loop 40 (us) 19.025
Loop 41 (us) 19.202
Loop 42 (us) 18.738
Loop 43 (us) 18.859
Loop 44 (us) 19.011
Loop 45 (us) 30.159
Loop 46 (us) 32.17
Loop 47 (us) 25.912
Loop 48 (us) 20.312
Loop 49 (us) 19.379
Loop 50 (us) 19.244
Loop 51 (us) 19.118
Loop 52 (us) 19.57
Loop 53 (us) 22.021
Loop 54 (us) 23.366
Loop 55 (us) 21.551
Loop 56 (us) 19.388
Loop 57 (us) 19.277
Loop 58 (us) 32.188
Loop 59 (us) 20.962
Loop 60 (us) 22.216
Loop 61 (us) 27.66
Loop 62 (us) 20.142
Loop 63 (us) 19.955
Loop 64 (us) 18.809
Loop 65 (us) 19.592
Loop 66 (us) 18.724
Loop 67 (us) 18.951
Loop 68 (us) 19.098
Loop 69 (us) 19.269
Loop 70 (us) 20.503
Loop 71 (us) 19.559
Loop 72 (us) 19.124
Loop 73 (us) 19.205
Loop 74 (us) 32.096
Loop 75 (us) 21.995
Loop 76 (us) 33.752
Loop 77 (us) 29.166
Loop 78 (us) 21.891
Loop 79 (us) 19.798
Loop 80 (us) 23.035
Loop 81 (us) 20.608
Loop 82 (us) 19.613
Loop 83 (us) 19.596
Loop 84 (us) 19.314
Loop 85 (us) 31.303
Loop 86 (us) 21.437
Loop 87 (us) 21.533
Loop 88 (us) 24.216
Loop 89 (us) 20.565
Loop 90 (us) 19.343
Loop 91 (us) 19.347
Loop 92 (us) 19.1
Loop 93 (us) 19.552
Loop 94 (us) 32.457
Loop 95 (us) 21.107
Loop 96 (us) 20.452
Loop 97 (us) 19.773
Loop 98 (us) 19.875
Loop 99 (us) 19.466
Loop 100 (us) 19.634
Loop 101 (us) 19.03
Loop 102 (us) 19.436
Loop 103 (us) 19.483
Loop 104 (us) 19.609
