writeHydra, filename /tmp262144hydra39.dat, size 262144, loop 1000, storageClass 0, locationClass 0
CrailConstants.REPLICATION_FACTOR has changed to 5
starting benchmark...
replicas primary file /tmp262144hydra39.dat capacity 0
replicas slave file /tmp262144hydra39.datLQL0 capacity 0
replicas slave file /tmp262144hydra39.datLQL1 capacity 0
replicas slave file /tmp262144hydra39.datLQL2 capacity 0
replicas slave file /tmp262144hydra39.datLQL3 capacity 0
replicas slave file /tmp262144hydra39.datLQL4 capacity 0
ops 1000
final loop (us) 150.066
Loop 0 (us) 159.888
Loop 1 (us) 107.649
Loop 2 (us) 97.649
Loop 3 (us) 109.48
Loop 4 (us) 95.835
Loop 5 (us) 131.117
Loop 6 (us) 168.506
Loop 7 (us) 110.947
Loop 8 (us) 107.473
Loop 9 (us) 157.916
Loop 10 (us) 157.431
Loop 11 (us) 142.343
Loop 12 (us) 135.541
Loop 13 (us) 110.431
Loop 14 (us) 103.692
Loop 15 (us) 135.112
Loop 16 (us) 173.758
Loop 17 (us) 135.474
Loop 18 (us) 119.69
Loop 19 (us) 116.756
Loop 20 (us) 98.59
Loop 21 (us) 137.42
Loop 22 (us) 127.848
Loop 23 (us) 163.304
Loop 24 (us) 178.767
Loop 25 (us) 121.863
Loop 26 (us) 143.902
Loop 27 (us) 174.136
Loop 28 (us) 190.989
Loop 29 (us) 151.951
Loop 30 (us) 181.475
Loop 31 (us) 195.979
Loop 32 (us) 163.033
Loop 33 (us) 297.431
Loop 34 (us) 159.501
Loop 35 (us) 192.47
Loop 36 (us) 173.962
Loop 37 (us) 206.971
Loop 38 (us) 190.679
Loop 39 (us) 158.117
Loop 40 (us) 153.125
Loop 41 (us) 168.928
Loop 42 (us) 145.759
Loop 43 (us) 225.966
Loop 44 (us) 151.23
Loop 45 (us) 185.975
Loop 46 (us) 188.776
Loop 47 (us) 156.505
Loop 48 (us) 201.047
Loop 49 (us) 189.739
Loop 50 (us) 153.953
Loop 51 (us) 152.846
Loop 52 (us) 184.641
Loop 53 (us) 206.137
Loop 54 (us) 138.218
Loop 55 (us) 125.613
Loop 56 (us) 153.949
Loop 57 (us) 132.686
Loop 58 (us) 143.174
Loop 59 (us) 135.111
Loop 60 (us) 156.27
Loop 61 (us) 164.094
Loop 62 (us) 132.618
Loop 63 (us) 145.876
Loop 64 (us) 192.969
Loop 65 (us) 301.257
Loop 66 (us) 183.345
Loop 67 (us) 186.298
Loop 68 (us) 212.431
Loop 69 (us) 180.536
Loop 70 (us) 141.243
Loop 71 (us) 141.147
Loop 72 (us) 191.51
Loop 73 (us) 176.713
Loop 74 (us) 191.741
Loop 75 (us) 199.002
Loop 76 (us) 201.09
Loop 77 (us) 144.57
Loop 78 (us) 127.326
Loop 79 (us) 144.331
Loop 80 (us) 171.41
Loop 81 (us) 175.085
Loop 82 (us) 122.176
Loop 83 (us) 131.635
Loop 84 (us) 125.198
Loop 85 (us) 130.501
Loop 86 (us) 187.777
Loop 87 (us) 232.058
Loop 88 (us) 223.818
Loop 89 (us) 185.843
Loop 90 (us) 159.221
Loop 91 (us) 118.267
Loop 92 (us) 147.806
Loop 93 (us) 137.554
Loop 94 (us) 133.14
Loop 95 (us) 195.909
Loop 96 (us) 152.487
Loop 97 (us) 161.516
Loop 98 (us) 117.279
Loop 99 (us) 132.928
Loop 100 (us) 165.763
Loop 101 (us) 167.597
Loop 102 (us) 149.602
Loop 103 (us) 124.487
Loop 104 (us) 186.852
Loop 105 (us) 190.879
Loop 106 (us) 138.536
Loop 107 (us) 179.893
Loop 108 (us) 193.998
Loop 109 (us) 192.555
Loop 110 (us) 174.579
Loop 111 (us) 137.681
Loop 112 (us) 114.734
Loop 113 (us) 134.136
Loop 114 (us) 132.606
Loop 115 (us) 139.523
Loop 116 (us) 132.774
Loop 117 (us) 136.633
Loop 118 (us) 171.956
Loop 119 (us) 174.941
