write, filename /tmp67108864rep1.dat, size 67108864, loop 1000, storageClass 0, locationClass 0
starting benchmark...
ops 1000
final loop (us) 11478.662
Loop 0 (us) 11503.351
Loop 1 (us) 11484.937
Loop 2 (us) 11446.183
Loop 3 (us) 11502.492
Loop 4 (us) 11486.145
Loop 5 (us) 11447.103
Loop 6 (us) 11518.95
Loop 7 (us) 11489.666
Loop 8 (us) 11507.665
Loop 9 (us) 11497.948
Loop 10 (us) 11432.024
Loop 11 (us) 11493.356
Loop 12 (us) 11507.999
Loop 13 (us) 11447.538
Loop 14 (us) 11493.297
Loop 15 (us) 11486.109
Loop 16 (us) 11502.7
Loop 17 (us) 11487.203
Loop 18 (us) 11437.766
Loop 19 (us) 11494.955
Loop 20 (us) 11487.127
Loop 21 (us) 11447.804
Loop 22 (us) 11492.697
Loop 23 (us) 11479.431
Loop 24 (us) 11510.975
Loop 25 (us) 11499.648
Loop 26 (us) 11444.651
Loop 27 (us) 11497.032
Loop 28 (us) 11499.376
Loop 29 (us) 11443.581
Loop 30 (us) 11491.373
Loop 31 (us) 11489.63
Loop 32 (us) 11503.368
Loop 33 (us) 11478.415
Loop 34 (us) 11447.081
Loop 35 (us) 11496.152
Loop 36 (us) 11484.485
Loop 37 (us) 11448.949
Loop 38 (us) 11503.327
Loop 39 (us) 11482.645
Loop 40 (us) 11507.841
Loop 41 (us) 11505.207
Loop 42 (us) 11437.687
Loop 43 (us) 11494.393
Loop 44 (us) 11498.177
Loop 45 (us) 11440.229
Loop 46 (us) 11489.757
Loop 47 (us) 11493.329
Loop 48 (us) 11503.526
Loop 49 (us) 11487.849
Loop 50 (us) 11443.28
Loop 51 (us) 11501.373
Loop 52 (us) 11487.807
Loop 53 (us) 11447.989
Loop 54 (us) 11499.479
Loop 55 (us) 11480.734
Loop 56 (us) 11503.212
Loop 57 (us) 11501.239
Loop 58 (us) 11437.546
Loop 59 (us) 11494.151
Loop 60 (us) 11498.037
Loop 61 (us) 11442.817
