write, filename /tmprep2.dat, size 1024, loop 1000, storageClass 0, locationClass 0
starting benchmark...
ops 1000
final loop (us) 6.996
Loop 224 (us) 7.644
Loop 225 (us) 7.674
Loop 226 (us) 7.144
Loop 227 (us) 7.324
Loop 228 (us) 7.34
Loop 229 (us) 7.75
Loop 230 (us) 7.512
Loop 231 (us) 7.121
Loop 232 (us) 7.821
Loop 233 (us) 7.63
Loop 234 (us) 14.872
Loop 235 (us) 7.572
Loop 236 (us) 7.29
Loop 237 (us) 8.144
Loop 238 (us) 8.284
Loop 239 (us) 7.896
Loop 240 (us) 7.306
Loop 241 (us) 8.502
Loop 242 (us) 8.477
Loop 243 (us) 7.774
Loop 244 (us) 7.43
Loop 245 (us) 7.194
Loop 246 (us) 8.953
Loop 247 (us) 7.834
Loop 248 (us) 7.641
Loop 249 (us) 7.816
Loop 250 (us) 7.597
Loop 251 (us) 7.531
Loop 252 (us) 7.544
Loop 253 (us) 7.199
Loop 254 (us) 7.442
Loop 255 (us) 7.406
Loop 256 (us) 7.553
Loop 257 (us) 7.312
Loop 258 (us) 8.82
Loop 259 (us) 7.517
Loop 260 (us) 7.177
Loop 261 (us) 7.188
Loop 262 (us) 7.568
Loop 263 (us) 7.257
Loop 264 (us) 7.35
Loop 265 (us) 7.188
Loop 266 (us) 7.086
Loop 267 (us) 7.58
Loop 268 (us) 7.297
Loop 269 (us) 7.35
Loop 270 (us) 7.761
Loop 271 (us) 8.206
Loop 272 (us) 8.304
Loop 273 (us) 8.682
Loop 274 (us) 8.093
Loop 275 (us) 8.03
Loop 276 (us) 8.321
Loop 277 (us) 8.116
Loop 278 (us) 7.477
Loop 279 (us) 7.144
Loop 280 (us) 7.397
Loop 281 (us) 7.157
Loop 282 (us) 7.128
Loop 283 (us) 7.522
Loop 284 (us) 7.6
Loop 285 (us) 7.323
Loop 286 (us) 7.544
Loop 287 (us) 7.274
Loop 288 (us) 8.468
Loop 289 (us) 7.789
Loop 290 (us) 7.496
Loop 291 (us) 8.026
Loop 292 (us) 7.727
Loop 293 (us) 7.504
Loop 294 (us) 7.496
Loop 295 (us) 7.691
Loop 296 (us) 7.716
Loop 297 (us) 7.99
Loop 298 (us) 7.45
Loop 299 (us) 7.475
Loop 300 (us) 7.491
Loop 301 (us) 7.406
Loop 302 (us) 7.324
Loop 303 (us) 7.224
Loop 304 (us) 7.629
Loop 305 (us) 7.522
Loop 306 (us) 7.4
Loop 307 (us) 7.794
Loop 308 (us) 7.417
Loop 309 (us) 7.446
Loop 310 (us) 7.538
Loop 311 (us) 7.934
Loop 312 (us) 7.714
Loop 313 (us) 7.852
Loop 314 (us) 7.95
Loop 315 (us) 9.649
Loop 316 (us) 8.155
Loop 317 (us) 7.66
Loop 318 (us) 7.462
Loop 319 (us) 7.07
Loop 320 (us) 7.567
Loop 321 (us) 7.654
Loop 322 (us) 7.482
Loop 323 (us) 7.139
Loop 324 (us) 7.488
Loop 325 (us) 7.355
Loop 326 (us) 7.605
Loop 327 (us) 7.544
Loop 328 (us) 7.506
Loop 329 (us) 7.406
Loop 330 (us) 7.555
Loop 331 (us) 7.405
Loop 332 (us) 7.742
Loop 333 (us) 7.295
Loop 334 (us) 8.029
Loop 335 (us) 7.72
Loop 336 (us) 7.812
Loop 337 (us) 7.614
Loop 338 (us) 7.264
Loop 339 (us) 7.594
Loop 340 (us) 7.338
Loop 341 (us) 7.533
Loop 342 (us) 19.467
Loop 343 (us) 8.29
Loop 344 (us) 7.648
Loop 345 (us) 7.643
Loop 346 (us) 7.535
Loop 347 (us) 7.31
Loop 348 (us) 7.319
Loop 349 (us) 7.927
Loop 350 (us) 7.255
Loop 351 (us) 7.427
Loop 352 (us) 7.344
Loop 353 (us) 7.776
Loop 354 (us) 7.121
Loop 355 (us) 7.34
