No,Size,Type,IsDegradeRead,replicas,nativeec,microec
0,26443776,GET,false,4059.357,4060.949,4067.716
1,2144,GET,true,5.29,15.004,14.947
2,2310144,GET,false,785.451,360.239,360.095
3,1980,GET,true,4.95,14.642,13.986
4,1152,GET,true,4.389,19.013,17.374
5,2404,GET,false,5.691,12.602,13.477
6,2628,GET,false,4.514,9.481,10.142
7,1336,GET,true,4.557,14.012,14.065
8,1772,GET,true,5.002,14.038,13.895
9,14708,GET,true,7.437,16.936,15.379
10,40943616,GET,false,6856.376,6279.495,6278.596
11,2195456,GET,true,343.391,509.535,25820.089
12,2404,GET,false,4.97,12.733,12.348
13,4931584,GET,false,1155.21,762.149,761.739
14,2420,GET,false,5.269,11.653,9.844
15,30720000,GET,false,4729.3,4713.717,4711.75
16,2212,GET,false,5.078,11.243,10.921
17,1584,GET,true,4.778,14.805,13.993
18,114688,GET,true,25.162,35.655,28.625
19,20365312,GET,false,3700.033,3127.082,3127.494
20,65536,PUT,false,181.027,214.712,169.274
21,16187392,GET,true,3048.134,3765.776,27166.123
22,4016,GET,false,6.19,13.212,11.628
23,15548416,GET,false,2388.381,2395.905,2388.671
24,10764288,GET,false,2224.415,1654.976,1660.209
25,14663680,GET,false,2811.248,2253.968,2253.222
26,23822336,GET,false,4217.817,3655.474,3655.079
27,1116,GET,true,6.024,14.539,15.107
28,2628,GET,false,5.74,11.529,8.667
29,1152,GET,false,4.94,9.933,9.944
30,10088,GET,false,7.192,11.199,9.649
31,16384,GET,false,9.465,11.849,10.497
32,1980,GET,true,4.999,13.697,13.447
33,1900544,GET,false,297.931,296.948,297.146
34,2628,GET,true,5.855,13.368,13.046
35,2996,GET,false,5.473,10.479,10.485
36,54394880,GET,false,8337.942,8337.033,8339.422
37,3000,GET,false,6.265,10.561,13.275
38,2628,GET,true,5.507,14.656,16.3
39,3784,GET,true,6.321,13.802,14.407
40,851968,GET,false,156.501,136.614,136.102
41,671744,GET,true,124.135,161.817,25807.977
42,7476,GET,true,7.003,16.538,16.636
43,2628,GET,false,5.81,11.016,9.47
44,2080768,GET,false,736.86,324.26,324.485
45,3342336,GET,true,518.702,763.77,25835.996
46,3784,GET,true,5.424,14.12,15.379
47,3342336,GET,true,517.757,760.878,25959.381
48,1720,PUT,false,21.283,42.125,41.94
49,1332,GET,false,4.924,11.43,10.96
50,819200,GET,false,152.467,137.303,130.417
51,2628,GET,false,7.307,10.291,8.582
52,12284,GET,false,7.466,11.033,13.024
53,7596,GET,true,7.569,15.227,15.885
54,3376,GET,true,6.119,12.578,15.48
55,9544,GET,false,7.391,11.908,10.586
56,1336,GET,true,5.224,12.982,12.547
57,7852,GET,false,6.852,10.625,9.405
58,2097152,GET,true,326.63,481.472,25581.853
59,32768,GET,true,11.454,20.637,19.497
60,1372,GET,false,5.092,11.237,9.689
61,65536,GET,false,17.224,15.627,16.796
62,3020,GET,true,5.937,14.776,12.841
63,86900736,GET,true,13318.695,23160.796,53579.549
64,2340,GET,false,6.578,22.972,15.209
65,12284,GET,true,8.237,29.468,30.83
66,2080768,GET,false,325.837,325.968,325.341
67,2340,GET,true,5.755,17.102,15.48
68,10088,GET,false,7.06,12.068,12.541
69,1900544,GET,true,720.19,473.808,25927.996
70,2628,GET,false,5.92,14.165,12.832
71,2844,GET,true,5.42,14.518,18.045
72,28606464,GET,false,4389.935,4388.07,4388.009
73,132939776,GET,false,20367.99,20367.85,20369.912
74,9338880,GET,false,2005.614,1438.256,1439.759
75,2144,GET,false,5.964,11.597,10.426
76,1576,GET,true,4.791,16.728,16.461
77,17743872,GET,false,2723.967,2734.678,2723.891
78,55967744,GET,false,8593.807,8578.398,8579.953
79,14663680,GET,false,2254.493,2255.537,2254.127
80,10764288,GET,false,1673.56,1671.076,1659.334
81,1788,GET,false,5.122,10.75,11.012
82,1966080,GET,true,307.939,456.146,25466.63
