No,Size,Type,IsDegradeRead,replicas,nativeec,hydra,microec
115,1376,GET,true,5.221,22.88,17.014,12.832
116,589824,GET,false,111.838,99.243,97.04,96.65
117,2628,GET,false,5.001,17.807,12.314,9.781
118,3220,GET,false,5.143,17.49,14.433,9.718
119,2056,GET,false,4.299,17.873,13.554,9.242
120,1372,GET,true,4.085,22.53,19.787,13.549
121,2628,GET,false,5.056,17.026,13.749,10.594
122,7900,GET,true,6.256,23.775,17.103,14.102
123,1900544,GET,false,345.446,298.72,298.323,297.658
124,8260,GET,false,7.058,18.325,17.298,11.572
125,22609920,GET,false,3489.904,3471.907,3473.549,3470.666
126,2748,GET,true,5.181,23.589,17.778,14.369
127,100073472,GET,false,15348.849,15385.755,15336.54,15333.75
128,18530304,GET,false,2852.326,2864.871,2845.264,2843.85
129,2628,GET,true,5.768,20.37,19.191,14.794
130,1080,GET,false,4.4,13.94,9.944,10.54
131,16629760,GET,true,2555.491,6100.256,4492.417,2861.798
132,1156,GET,true,4.811,50.682,23.338,38.573
133,16068,GET,true,7.885,26.762,20.565,23.493
134,8120,GET,false,6.166,13.732,13.406,9.852
135,76365824,GET,false,11703.486,11705.627,11709.46,11704.614
136,34455552,GET,true,5298.999,10824.435,8886.159,5751.72
137,1620,GET,true,4.984,51.2,37.591,13.883
138,5455872,GET,false,842.046,844.934,845.127,841.767
139,1988,GET,false,5.18,14.691,14.255,9.474
140,2628,GET,true,4.377,20.094,19.513,11.803
141,12284,GET,false,6.986,13.577,12.95,10.19
142,41893888,GET,false,6444.089,6443.808,6430.656,6424.977
143,10348,GET,false,7.334,16.72,15.739,9.382
144,82493440,GET,false,12644.703,12647.703,12649.227,12640.264
145,5232,GET,false,6.384,14.42,14.736,10.467
146,2056,GET,false,4.745,13.971,15.566,10.105
147,82493440,GET,true,12641.846,27662.31,23022.642,35524.365
148,83574784,GET,false,12809.338,12835.818,12817.578,12810.727
149,13058048,GET,false,2013.438,2013.197,2031.586,2011.528
150,10649600,GET,false,1637.505,1642.321,1649.365,1639.008
151,479412224,GET,true,73448.778,152332.831,151030.191,176614.715
152,6716,GET,false,9.243,27.571,38.835,15.33
153,2056,GET,true,4.483,31.167,36.819,29.371
154,17186816,GET,true,2655.64,5766.242,4753.555,11884.239
155,6740,PUT,false,11.594,65.887,47.443,35.614
156,16384,GET,false,8.389,17.823,17.575,13.755
157,1824,GET,false,4.741,13.985,15.582,12.876
158,6728,GET,true,6.617,22.733,20.445,17.251
159,147456,GET,true,31.675,92.024,45.832,84.719
160,2628,GET,true,4.334,56.257,17.113,62.095
161,6792,PUT,false,11.443,39.472,28.495,34.599
162,1376,GET,false,3.976,21.018,25.237,13.326
163,44220416,GET,true,6779.083,15180.434,11775.472,9281.547
164,2608,GET,true,5.734,61.523,38.331,18.584
165,2196,GET,true,4.827,21.41,22.949,16.42
166,1372,GET,true,4.397,22.45,31.667,15.245
167,16384,GET,true,8.932,23.772,33.795,18.455
168,2628,GET,true,4.565,17.114,20.739,13.467
169,180224,GET,true,38.043,84.445,54.554,76.135
170,1376,GET,true,4.544,43.909,17.028,38.89
171,1192,GET,true,4.287,21.129,17.479,17.247
172,82493440,GET,false,12644.914,12643.311,12655.937,12641.083
173,2523136,GET,true,392.483,935.971,639.116,505.506
174,2064384,GET,true,321.603,571.071,483.1,405.112
175,22102016,GET,true,3408.304,8038.465,5931.552,28738.64
176,2608,GET,false,5.72,31.1,22.788,10.163
177,16384,GET,true,7.846,55.039,24.262,17.016
178,84525056,GET,false,12955.638,12958.654,12964.343,12953.452
179,2628,GET,true,6.058,19.729,19.784,15.439
180,6780,GET,true,6.926,16.383,18.89,12.764
181,14188544,GET,false,2181.421,2195.242,2180.486,2181.424
182,2056,GET,false,5.35,12.433,17.632,9.213
183,7476,GET,true,7.072,18.082,19.64,14.712
184,8060928,GET,true,1261.277,2672.566,1958.116,1413.971
185,1368,GET,true,4.158,42.415,22.921,14.171
186,6724,GET,true,5.982,18.477,18.976,12.902
187,2056,PUT,false,9.865,27.971,35.523,24.343
188,67092480,GET,false,10282.061,10282.521,10304.5,10283.719
189,2572288,GET,true,400.041,800.885,602.024,529.825
190,1188,GET,true,4.33,42.201,20.084,14.686
191,2097152,GET,true,325.932,747.016,483.298,453.38
192,15974400,GET,true,2453.32,4388.457,3862.074,2663.622
193,163840,GET,false,33.676,35.135,40.035,31.533
194,16384,GET,false,7.842,13.114,19.498,9.848
195,16384,GET,false,7.463,17.036,15.255,11.964
196,7360,GET,false,5.701,10.9,12.592,8.874
197,16384,GET,false,7.236,9.48,15.305,10.97
198,2628,GET,false,5.06,13.01,15.056,8.328
199,5420,GET,false,5.843,10.91,15.4,9.341
200,7180,GET,false,6.205,10.4,16.858,8.575
201,51200000,GET,false,7848.72,7848.818,7869.255,7847.726
202,4524,GET,true,8.035,17.459,23.16,15.506
203,3248,GET,false,6.135,11.208,16.667,9.646
204,802816,GET,false,151.306,129.985,131.756,129.323
205,2256,GET,false,5.121,10.226,14.256,9.85
206,1308,GET,true,4.333,15.917,21.396,13.289
207,1372,GET,false,4.621,9.614,13.068,10.499
208,1244,GET,true,4.036,13.582,16.703,12.188
209,1132,GET,true,4.601,13.732,15.639,12.043
210,2056,GET,false,4.86,10.813,12.678,9.378
211,2208,GET,false,4.762,10.58,13.889,8.735
212,1244,GET,true,3.264,10.6,12.43,9.499
213,2360,GET,true,5.056,15.057,19.424,12.678
214,6740,PUT,false,11.981,28.427,33.582,27.43
215,7416,GET,false,5.762,12.398,15.509,10.208
216,2056,GET,true,4.654,14.705,15.311,13.251
217,4688,GET,false,6.023,10.556,14.162,10.47
218,2056,GET,false,4.851,10.1,13.112,8.949
219,5136,GET,true,6.057,14.966,18.884,12.761
220,27017216,GET,false,4148.822,4153.78,4150.19,4146.118
221,67092480,GET,false,10300.892,10307.426,10285.618,10282.034
222,6728,GET,false,6.737,12.281,15.881,10.166
223,884736,GET,false,161.351,141.575,142.528,141.48
224,294912,GET,false,58.476,51.52,52.162,51.749
225,278528,GET,false,54.306,48.248,49.645,48.027
226,1804,GET,true,4.893,14.295,17.8,13.087
227,12264,GET,false,6.614,11.237,15.501,583.213
228,18202624,GET,true,2809.122,6326.777,4458.428,3383.543
229,6908,GET,true,6.781,49.131,25.657,17.059
230,2056,GET,false,5.583,13.937,13.527,9.684
231,3376,GET,false,4.98,15.787,14.813,9.755
232,36995072,GET,true,5672.156,12540.898,9582.306,6676.239
233,2506752,GET,true,420.568,701.642,637.818,468.498
234,1835008,GET,true,290.393,528.8,428.176,389.186
235,84459520,GET,false,12942.397,12961.622,12947.646,12944.137
236,2628,GET,false,5.911,13.542,15.135,10.746
237,2000,GET,false,4.728,13.178,12.098,10.844
238,2632,GET,false,5.049,14.116,15.163,9.926
239,10010624,GET,true,1547.918,3230.897,2577.123,1980.482
240,2000,PUT,false,9.968,54.487,37.97,28.271
241,12845056,GET,true,1977.71,4560.148,3099.371,2118.354
242,6460,GET,true,6.85,51.936,22.572,16.489
243,2736,GET,true,5.584,22.421,24.717,13.925
244,12156,GET,false,6.813,15.196,15.828,11.209
245,2364,GET,true,4.608,16.988,19.24,13.699
246,2000,PUT,false,8.914,32.914,31.155,22.654
