637.887,R
360.609,R
581.184,I
314.186,R
208.964,R
521.169,I
502.346,I
197.992,R
205.889,R
520.069,I
505.099,I
252.98,R
518.36,I
323.937,R
535.089,I
219.197,R
511.161,I
203.481,R
504.65,I
501.031,I
205.009,R
510.126,I
209.722,R
199.375,R
501.651,I
499.608,I
507.096,I
202.102,R
509.007,I
504.339,I
214.629,R
502.984,I
500.445,I
501.824,I
206.355,R
500.848,I
499.819,I
201.708,R
205.371,R
200.055,R
209.008,R
197.794,R
185.159,R
219.334,R
515.298,I
200.095,R
498.313,I
500.708,I
504.566,I
200.994,R
215.628,R
502.731,I
513.096,I
198.535,R
505.306,I
210.428,R
206.038,R
501.043,I
497.832,I
497.366,I
199.503,R
512.24,I
206.0,R
500.834,I
190.773,R
497.921,I
497.017,I
502.964,I
502.182,I
506.682,I
199.696,R
344.65,R
501.455,I
502.197,I
196.208,R
499.094,I
495.912,I
496.088,I
203.436,R
499.96,I
200.217,R
196.241,R
501.129,I
503.035,I
495.579,I
199.29,R
496.006,I
196.031,R
195.606,R
198.204,R
183.494,R
193.805,R
201.634,R
496.334,I
196.3,R
502.117,I
197.985,R
196.943,R
198.878,R
205.44,R
495.704,I
500.788,I
196.409,R
197.405,R
202.519,R
497.567,I
507.642,I
547.877,I
196.927,R
516.892,I
496.203,I
196.885,R
196.466,R
197.262,R
335.056,R
195.405,R
199.974,R
207.156,R
191.03,R
497.057,I
202.441,R
493.488,I
204.481,R
498.777,I
198.242,R
494.022,I
493.9,I
198.113,R
500.987,I
195.333,R
499.689,I
502.581,I
493.061,I
195.155,R
203.587,R
215.626,R
501.423,I
195.703,R
193.21,R
195.947,R
496.046,I
504.852,I
496.609,I
498.603,I
194.445,R
495.476,I
498.055,I
326.683,R
205.995,R
204.309,R
499.786,I
506.485,I
505.265,I
202.842,R
498.874,I
201.799,R
494.858,I
498.155,I
512.428,I
199.105,R
505.988,I
520.754,I
507.424,I
202.287,R
508.187,I
203.907,R
207.662,R
201.841,R
200.994,R
507.881,I
499.099,I
204.071,R
503.481,I
505.731,I
497.484,I
498.716,I
226.053,R
199.767,R
505.457,I
341.47,R
207.448,R
225.578,R
205.116,R
197.608,R
243.831,R
205.894,R
206.056,R
508.506,I
199.077,R
497.785,I
203.716,R
217.543,R
496.062,I
503.332,I
343.671,R
202.602,R
495.612,I
496.758,I
194.535,R
510.568,I
206.329,R
224.842,R
203.677,R
202.807,R
502.319,I
202.435,R
498.592,I
203.468,R
494.262,I
494.778,I
306.464,R
203.979,R
501.982,I
497.606,I
497.64,I
207.604,R
496.288,I
198.69,R
501.255,I
493.719,I
492.051,I
498.114,I
204.881,R
195.18,R
495.657,I
494.889,I
500.418,I
205.318,R
494.376,I
492.073,I
203.709,R
211.191,R
202.112,R
499.819,I
497.522,I
495.749,I
495.917,I
204.695,R
186.107,R
207.904,R
493.412,I
194.815,R
492.416,I
497.0,I
207.865,R
196.047,R
494.076,I
494.102,I
494.274,I
498.265,I
210.012,R
509.566,I
197.166,R
499.66,I
216.823,R
496.683,I
205.892,R
342.971,R
192.142,R
202.466,R
496.44,I
294.002,R
194.465,R
197.232,R
501.222,I
504.513,I
195.235,R
205.085,R
497.984,I
493.775,I
250.113,R
495.812,I
195.413,R
499.423,I
503.468,I
202.832,R
499.859,I
493.697,I
495.003,I
376.043,R
509.165,I
500.5,I
204.598,R
502.495,I
201.709,R
179.91,R
195.435,R
208.511,R
496.904,I
195.501,R
495.643,I
495.415,I
192.645,R
178.865,R
194.422,R
220.712,R
494.398,I
179.169,R
274.297,R
495.511,I
495.407,I
492.549,I
206.328,R
493.945,I
194.942,R
495.049,I
315.604,R
194.612,R
195.833,R
217.059,R
195.06,R
499.995,I
885.821,I
498.446,I
493.682,I
198.391,R
493.456,I
194.741,R
495.548,I
499.658,I
195.504,R
196.386,R
201.338,R
494.792,I
492.175,I
493.049,I
493.048,I
202.834,R
494.566,I
493.868,I
499.871,I
499.365,I
195.0,R
193.659,R
186.267,R
494.586,I
497.583,I
492.104,I
196.56,R
211.473,R
179.842,R
494.205,I
492.547,I
492.64,I
195.765,R
495.871,I
322.748,R
194.444,R
203.692,R
200.915,R
505.813,I
207.001,R
494.294,I
494.028,I
494.455,I
195.847,R
492.184,I
495.182,I
196.597,R
205.803,R
196.007,R
194.398,R
207.365,R
267.519,R
494.247,I
494.339,I
204.471,R
192.574,R
506.035,I
494.925,I
194.13,R
497.244,I
496.575,I
219.976,R
501.041,I
501.27,I
195.397,R
493.936,I
199.583,R
498.211,I
194.057,R
195.701,R
197.435,R
501.665,I
204.97,R
205.347,R
199.722,R
205.292,R
503.086,I
205.686,R
495.693,I
193.835,R
193.336,R
494.953,I
499.738,I
194.897,R
509.636,I
195.536,R
200.848,R
494.28,I
501.497,I
195.122,R
188.018,R
495.417,I
202.493,R
497.393,I
194.617,R
502.098,I
497.219,I
204.737,R
195.239,R
494.256,I
203.134,R
193.357,R
500.835,I
194.562,R
194.528,R
495.096,I
493.416,I
490.878,I
195.213,R
492.097,I
195.767,R
209.938,R
193.284,R
203.275,R
202.136,R
497.415,I
496.047,I
196.131,R
198.854,R
497.066,I
501.892,I
503.407,I
196.59,R
194.482,R
192.224,R
497.927,I
202.763,R
199.455,R
496.27,I
494.282,I
195.898,R
493.889,I
494.087,I
501.967,I
216.683,R
493.047,I
201.901,R
203.811,R
199.741,R
199.939,R
206.453,R
187.231,R
496.129,I
201.332,R
219.114,R
198.807,R
244.633,R
498.218,I
196.493,R
508.169,I
347.87,R
200.669,R
494.322,I
199.696,R
496.545,I
497.082,I
495.927,I
197.921,R
206.136,R
207.374,R
493.095,I
494.191,I
528.083,I
200.255,R
495.953,I
501.429,I
215.307,R
220.207,R
221.345,R
215.777,R
513.534,I
213.326,R
203.579,R
209.908,R
199.024,R
495.78,I
206.559,R
208.367,R
505.69,I
204.901,R
508.275,I
206.736,R
201.0,R
500.336,I
193.476,R
496.753,I
213.548,R
324.964,R
498.753,I
492.804,I
492.168,I
493.123,I
195.4,R
192.976,R
497.45,I
221.068,R
191.663,R
495.512,I
501.143,I
493.323,I
279.387,R
192.783,R
190.494,R
496.566,I
192.919,R
194.226,R
496.363,I
204.793,R
362.945,R
496.109,I
495.5,I
194.528,R
199.581,R
501.715,I
494.969,I
494.288,I
193.361,R
494.521,I
503.805,I
495.317,I
192.902,R
496.183,I
502.42,I
192.396,R
198.938,R
495.068,I
503.051,I
191.2,R
192.672,R
500.996,I
192.428,R
495.841,I
495.401,I
190.926,R
204.39,R
492.443,I
191.8,R
494.864,I
203.138,R
494.26,I
