No,Size,Type,IsDegradeRead,replicas,nativeec,microec
0,2612,GET,true,6.831,25.514,31.404
1,65536,GET,true,17.061,33.418,29.74
2,2981888,GET,true,463.874,1053.151,26059.233
3,131072,GET,true,28.102,92.737,25705.364
4,1988,GET,true,5.449,26.634,27.862
5,2628,GET,true,6.43,22.554,15.311
6,124403712,GET,true,19068.797,42275.549,57158.618
7,606208,GET,true,112.191,252.29,8914.353
8,10508,GET,true,7.333,61.508,596.899
9,294912,GET,true,58.62,145.127,9275.506
10,65536,GET,true,16.32,62.64,27.236
11,28737536,PUT,false,14205.513,14594.014,9059.86
12,22052864,GET,true,3388.886,8086.477,3713.978
13,65699840,GET,true,10074.192,21965.031,12134.945
14,458752,GET,true,86.257,207.384,137.874
15,2628,GET,true,5.867,56.686,31.83
16,50413568,GET,true,7729.056,18649.206,32179.96
17,12284,GET,true,7.524,72.75,39.787
18,114688,GET,true,25.896,51.107,36.273
19,10508,GET,true,6.247,28.727,22.734
20,1015808,GET,true,186.001,343.192,12648.826
21,458752,GET,true,87.25,182.736,127.494
22,49152,GET,true,13.704,55.346,27.139
23,32768,GET,true,10.37,27.622,21.514
24,114688,GET,true,26.201,38.78,593.973
25,16384,GET,true,7.156,21.781,19.165
26,2628,GET,true,5.946,18.167,18.555
27,16384,GET,true,8.473,22.625,19.595
28,1912,GET,true,5.06,18.528,14.42
29,753664,GET,true,136.933,311.924,174.285
30,2628,GET,true,4.629,59.183,14.862
31,5648,GET,true,5.642,26.149,15.765
32,3044,GET,true,5.113,19.381,14.855
33,16384,GET,true,8.738,22.409,17.436
34,9308,PUT,false,18.657,74.596,46.518
35,10576,GET,true,6.335,29.26,18.637
36,8156,GET,true,6.821,18.984,16.242
37,2192,GET,true,4.761,19.115,15.235
38,12284,GET,true,6.173,20.734,14.436
39,2144,GET,true,5.45,18.158,14.004
40,1364,GET,true,4.607,18.633,14.767
41,2344,GET,true,4.241,18.134,15.363
42,2608,GET,true,5.298,19.136,14.219
43,3040,PUT,false,16.754,30.845,30.15
44,7328,PUT,false,15.685,24.752,25.913
45,2628,GET,true,5.486,18.118,15.469
46,2608,GET,true,4.214,16.221,12.236
47,147456,GET,true,30.973,69.986,66.84
48,2536,GET,true,5.305,41.86,41.829
49,18857984,GET,true,2908.148,7049.565,3286.297
50,49152,GET,true,13.958,62.851,25.242
51,4448,GET,true,6.401,28.874,16.916
52,2628,GET,true,4.666,18.147,12.872
53,2628,GET,true,5.126,18.946,14.35
54,2628,GET,true,4.484,15.402,11.74
55,82493440,GET,true,12644.677,25959.137,14960.107
56,2628,GET,true,5.104,76.486,28.323
57,16384,GET,true,8.942,31.169,18.078
58,2628,GET,true,4.702,29.177,13.814
59,2200,GET,true,5.253,20.794,14.999
60,327680,GET,true,61.707,121.814,98.454
61,2628,GET,true,4.407,38.633,13.506
62,2628,GET,true,4.521,24.382,15.037
63,163840,GET,true,33.043,101.286,43.152
64,1916928,GET,true,299.416,733.842,418.493
65,229376,GET,true,45.645,119.833,95.62
66,16384,GET,true,6.837,47.029,70.105
67,458752,GET,true,84.058,139.397,118.82
68,1132,GET,true,4.656,35.075,16.168
69,2604,GET,true,4.946,33.727,15.544
70,2340,GET,true,4.894,21.301,14.968
71,3376,GET,true,5.239,19.79,14.308
72,2628,GET,true,4.198,16.637,13.204
73,12284,GET,true,6.586,20.896,15.825
74,2532,GET,true,4.607,17.639,13.975
75,16384,GET,true,7.892,19.141,16.398
76,1916928,GET,true,299.451,625.425,11916.175
77,12284,GET,true,6.044,41.734,16.348
78,10576,GET,true,6.724,27.457,14.547
79,158695424,GET,true,24311.962,57806.503,61495.165
80,6208,GET,true,7.179,87.06,36.699
81,7476,GET,true,6.243,28.747,18.796
82,10576,GET,true,6.838,18.505,15.512
83,1687552,GET,true,264.778,529.498,10361.037
84,1156,GET,true,4.019,47.442,20.552
85,4931584,PUT,false,2295.123,2741.345,1600.94
86,7476,GET,true,6.09,42.266,16.914
87,109051904,GET,true,16950.558,36732.371,19882.723
88,2632,GET,true,5.987,90.021,57.047
89,35520512,GET,true,5462.607,12277.697,30312.659
90,2232,PUT,false,15.368,72.206,49.94
91,2628,GET,true,4.451,28.609,18.674
92,5580,GET,true,6.376,23.521,14.727
93,12284,GET,true,6.309,24.033,15.425
94,27426816,GET,true,4206.289,8567.257,17998.645
95,2056,GET,true,5.798,63.079,17.183
96,13112,GET,true,8.055,30.01,17.21
97,3896,GET,true,5.402,22.069,13.896
98,2965504,GET,true,472.577,1131.439,567.057
99,6704,GET,true,6.738,62.731,18.135
100,3656,GET,true,6.245,34.495,14.406
101,16384,GET,true,7.175,26.918,16.975
102,3256,GET,true,5.479,22.844,12.812
103,6044,GET,true,6.509,23.286,18.5
104,12284,GET,true,6.578,23.549,14.796
105,2608,GET,true,3.965,20.866,12.891
106,3358720,GET,true,539.779,1208.369,615.352
107,4944,GET,true,5.653,77.314,14.228
108,2056,GET,true,6.941,26.197,12.142
109,2212,PUT,false,16.993,41.091,29.82
110,2628,GET,true,4.43,22.922,13.691
111,4352,GET,true,6.31,25.789,14.127
112,2628,GET,true,4.547,23.862,12.505
113,2632,GET,true,4.356,22.036,12.709
114,4964352,GET,true,788.949,1661.402,891.585
115,2628,GET,true,4.49,55.931,14.785
116,3436,GET,true,4.983,24.259,12.118
117,573440,GET,true,107.358,182.139,137.64
118,72220672,GET,true,11164.962,26077.955,36155.384
119,2628,GET,true,4.841,84.02,29.621
120,91488256,GET,true,14035.647,31276.714,28962.25
121,2628,GET,true,4.989,65.968,29.652
122,160874496,GET,true,24938.371,57014.046,32604.101
123,12284,GET,true,6.941,77.616,30.852
124,7864320,GET,true,1239.163,2590.8,1394.431
125,81920,GET,true,20.127,69.984,33.59
126,1424,GET,true,3.972,31.387,13.891
127,16384,GET,true,7.334,28.965,17.331
128,36601856,GET,true,5619.374,13276.102,5964.775
129,1436,GET,true,5.221,68.398,15.322
130,3376,GET,true,6.118,31.243,14.411
131,36683776,GET,true,5625.358,13223.469,30280.607
132,1776,GET,true,4.601,69.19,33.791
133,203227136,GET,true,31150.194,67453.069,47884.182
134,2628,GET,true,5.228,65.067,36.535
135,2628,GET,true,5.462,30.666,17.85
136,1392,GET,true,4.705,28.32,18.777
137,2628,GET,true,4.781,20.21,14.558
138,9848,GET,true,7.653,21.256,14.935
139,25346048,GET,true,3889.919,9519.303,4154.603
140,65536,GET,true,16.09,84.684,27.175
141,1400,GET,true,4.434,33.014,14.582
142,3732,GET,true,5.307,25.272,14.034
143,18857984,PUT,false,9109.977,10625.642,5761.427
144,1572,GET,true,4.571,48.711,17.937
145,80412672,GET,true,12331.627,25984.763,14529.207
146,21807104,GET,true,3355.848,7401.947,3568.89
147,10715136,GET,true,1839.608,3122.487,27176.839
148,8798208,GET,true,1354.203,3183.656,13841.041
149,2628,GET,true,4.465,63.06,19.827
150,2523136,GET,true,391.745,807.722,11550.862
151,2628,GET,true,4.035,47.393,12.774
152,2200,GET,true,5.036,26.759,15.186
153,5356,GET,true,6.065,24.014,14.764
154,191889408,GET,true,29395.623,54235.432,40797.284
155,16384,GET,true,7.584,70.893,18.628
156,704512,GET,true,128.077,209.157,153.195
157,1996,GET,true,4.508,38.277,13.924
158,2620,GET,true,5.24,25.477,12.93
159,1776,GET,true,4.027,21.874,11.813
160,1156,GET,true,4.793,19.004,11.55
161,2608,GET,true,4.351,20.708,12.477
162,1156,GET,true,4.437,21.665,11.667
163,5232,GET,true,5.918,20.085,12.072
164,65536,GET,true,16.676,32.258,31.928
165,2620,GET,true,5.436,21.694,12.835
166,16384,GET,true,7.749,21.836,14.46
167,18857984,GET,true,2911.818,5959.362,3640.459
168,43368448,GET,true,6665.216,13668.34,31555.742
169,143474688,GET,true,22267.212,48682.24,43840.167
170,2632,GET,true,5.24,81.082,19.323
171,1576,GET,true,4.608,34.681,13.411
172,9584640,GET,true,1490.925,3099.706,27219.716
173,22102016,GET,true,3401.608,7082.882,15971.634
174,9814016,GET,true,1528.55,3568.529,1715.489
175,1916928,GET,true,299.72,722.177,390.853
176,16384,GET,true,8.133,57.21,17.042
177,16384,GET,true,6.835,35.67,14.188
178,2490368,GET,true,386.115,912.103,579.734
179,12156,GET,true,6.893,56.451,17.117
180,2628,GET,true,4.302,27.489,12.228
181,12820,GET,true,7.172,29.613,14.451
182,12284,GET,true,6.951,28.097,13.35
183,1576,GET,true,3.721,20.322,10.206
184,114688,GET,true,24.832,47.914,33.069
185,2628,GET,true,4.331,25.775,13.065
186,4272,GET,true,5.912,22.728,12.452
187,13598720,GET,true,2104.691,4231.485,2310.491
188,2392064,GET,true,372.937,724.716,468.659
189,1156,GET,true,3.912,48.908,12.43
190,12284,GET,true,5.826,30.806,11.812
191,49774592,GET,true,7631.423,18280.64,8804.135
192,14352384,GET,true,2228.795,5407.063,27635.934
193,2408,GET,true,4.793,55.683,18.006
194,2628,GET,true,4.437,30.523,13.728
195,8996,GET,true,6.082,27.086,14.594
196,5236,GET,true,5.638,24.474,12.764
197,163840,GET,true,34.021,114.974,98.117
198,4508,GET,true,5.723,61.367,60.394
199,12284,GET,true,6.705,30.323,22.935
200,4928,GET,true,5.911,22.418,14.113
201,16580608,GET,true,2566.057,4797.219,15090.723
202,13148,GET,true,7.865,42.078,18.279
203,9208,GET,true,6.412,31.417,14.95
204,3044,GET,true,4.492,24.185,12.772
205,19152896,GET,true,2959.944,5515.098,12213.209
206,7476,GET,true,6.25,26.615,16.071
207,11862016,GET,true,1842.437,3292.941,26343.129
208,1896,GET,true,4.761,46.538,14.98
209,294912,GET,true,58.03,116.951,25119.244
210,32768,GET,true,10.505,46.88,20.836
211,51593216,GET,true,7912.04,16960.258,11377.088
212,16384,GET,true,7.427,76.249,18.878
213,7032,GET,true,6.002,34.699,13.951
214,1576,GET,true,3.756,22.738,12.564
215,3524,GET,true,4.749,24.372,12.793
216,2612,GET,true,5.268,21.858,13.469
217,16384,GET,true,7.778,23.272,14.747
218,2998272,GET,true,465.286,1131.137,671.213
219,3032,GET,true,5.836,54.072,14.405
220,51003392,GET,true,7818.135,17428.301,9625.871
221,1148,GET,true,5.279,74.802,17.83
222,2812,GET,true,5.307,31.783,15.417
223,75988992,GET,true,11660.751,27785.705,14411.206
224,8568832,GET,true,1336.335,2890.216,1532.638
225,4931584,GET,true,781.591,1531.958,998.659
226,4096000,GET,true,645.687,1302.79,740.991
227,97435648,GET,true,14929.274,32804.653,44229.04
228,33636352,GET,true,5176.029,12349.215,18216.494
229,3044,GET,true,5.238,86.973,28.745
230,2628,GET,true,4.41,27.96,16.166
231,5560,GET,true,5.713,21.498,14.501
232,933888,GET,true,173.238,389.47,6946.874
233,3522560,GET,true,573.299,1286.225,26221.854
234,4423680,GET,true,699.817,1354.263,828.434
235,16384,GET,true,8.25,70.108,20.104
236,22364160,GET,true,3431.842,7739.788,4389.05
237,6455296,GET,true,994.85,2015.242,1161.06
238,1412,GET,true,5.259,48.687,13.657
239,4088,GET,true,5.683,30.829,14.44
240,49152,GET,true,13.579,34.019,21.669
241,2200,GET,true,4.073,24.169,14.235
242,3452,GET,true,5.207,24.277,13.327
243,32768,GET,true,9.449,38.623,17.331
244,311296,GET,true,60.118,146.568,83.551
245,10320,GET,true,6.657,57.645,14.723
246,5052,GET,true,5.962,30.845,14.812
247,11943936,GET,true,1852.365,3520.924,12295.317
248,2420,GET,true,4.41,28.544,13.578
249,2608,GET,true,4.231,23.07,12.599
250,16384,GET,true,7.356,26.441,15.366
251,45547520,GET,true,6999.088,16417.009,30895.584
252,1996,GET,true,4.969,68.495,29.698
253,45547520,GET,true,6998.582,16708.432,8423.137
254,32768,GET,true,10.374,85.713,25.277
255,32768,GET,true,9.795,31.075,19.166
256,12284,GET,true,6.569,23.599,16.667
257,2628,GET,true,4.447,20.697,12.902
258,7553024,GET,true,1177.225,2748.827,1583.146
259,7476,GET,true,6.13,57.865,17.707
260,6820,GET,true,6.174,25.295,14.771
261,367329280,GET,true,57035.842,118860.715,62715.933
262,160874496,GET,true,24667.878,52212.87,36670.588
263,1348,GET,true,5.102,74.834,23.247
264,10576,GET,true,6.532,29.194,16.232
265,5668864,GET,true,891.181,1895.693,1098.568
266,32768,GET,true,9.879,58.356,25.899
267,147456,GET,true,32.607,86.058,65.267
268,3408,GET,true,6.024,54.069,34.737
269,1772,GET,true,5.15,30.685,14.493
270,1336,GET,true,3.947,25.111,14.756
271,13884,GET,true,6.794,26.157,15.157
272,1576,GET,true,3.758,23.412,13.421
273,8840,GET,true,6.055,26.909,14.887
274,27688960,GET,true,4431.879,9310.683,4781.205
275,12284,GET,true,6.797,56.308,21.257
276,2212,PUT,false,15.31,58.978,42.792
277,1576,GET,true,3.502,29.96,13.444
278,38486016,GET,true,5925.926,12553.2,6503.456
279,32768,GET,true,9.952,73.004,20.121
280,8060928,GET,true,1242.991,2994.053,1493.486
281,2310144,GET,true,359.042,853.547,491.887
282,48857088,GET,true,7492.863,15644.303,8646.259
283,8572,GET,true,6.954,74.328,18.229
284,32768,GET,true,10.293,34.744,16.977
285,1576,GET,true,3.874,31.64,12.342
286,16384,GET,true,7.013,26.563,14.816
287,7716,PUT,false,15.055,40.927,56.087
288,2628,GET,true,4.378,23.308,14.08
289,2632,PUT,false,13.65,32.805,28.577
290,12284,GET,true,6.421,27.21,14.806
291,11157504,GET,true,1862.659,4099.123,2035.948
292,5708,GET,true,5.614,57.831,15.223
293,114688,GET,true,39.419,119.023,34.205
294,10284,GET,true,6.901,25.29,14.964
295,22364160,GET,true,3446.271,8058.025,28785.834
296,16384,GET,true,7.654,66.753,20.464
297,311296,GET,true,60.798,144.436,12740.453
298,98304,GET,true,21.811,68.08,31.043
299,1356,GET,true,3.814,26.63,14.793
300,2824,GET,true,4.935,34.599,12.964
301,2640,GET,true,4.932,27.382,14.736
302,1638400,GET,true,259.121,541.798,330.522
303,2060,GET,true,4.859,48.926,16.09
304,3260,PUT,false,15.016,36.888,31.641
305,2628,GET,true,4.451,22.931,13.893
306,8068,GET,true,6.314,24.229,16.444
307,8152,GET,true,5.987,27.85,14.279
308,1156,GET,true,3.575,21.314,11.718
309,7204,GET,true,5.786,22.076,13.859
310,54394880,GET,true,8354.607,18919.429,9462.823
311,1568,GET,true,5.136,166.452,21.215
312,2424832,GET,true,377.487,778.532,3118.975
313,17727488,GET,true,2764.794,6607.432,12615.558
314,6724,GET,true,6.235,60.861,18.78
315,278528,GET,true,53.703,134.196,10154.778
316,4520,GET,true,5.303,74.136,15.921
317,36585472,GET,true,5611.714,12597.81,6391.476
318,32768,GET,true,11.161,63.401,22.233
319,1792,GET,true,4.637,28.538,14.744
320,1576,GET,true,3.853,27.039,14.553
321,65536,GET,true,16.809,32.552,25.14
322,868352,GET,true,161.345,254.685,6544.63
