0,2612,GET,true,31.404
1,65536,GET,true,29.74
2,2981888,GET,true,26059.233
3,131072,GET,true,25705.364
4,1988,GET,true,27.862
5,2628,GET,true,15.311
6,124403712,GET,true,57158.618
7,606208,GET,true,8914.353
8,10508,GET,true,596.899
9,294912,GET,true,9275.506
10,65536,GET,true,27.236
11,28737536,PUT,false,9059.86
12,22052864,GET,true,3713.978
13,65699840,GET,true,12134.945
14,458752,GET,true,137.874
15,2628,GET,true,31.83
16,50413568,GET,true,32179.96
17,12284,GET,true,39.787
18,114688,GET,true,36.273
19,10508,GET,true,22.734
20,1015808,GET,true,12648.826
21,458752,GET,true,127.494
22,49152,GET,true,27.139
23,32768,GET,true,21.514
24,114688,GET,true,593.973
25,16384,GET,true,19.165
26,2628,GET,true,18.555
27,16384,GET,true,19.595
28,1912,GET,true,14.42
29,753664,GET,true,174.285
30,2628,GET,true,14.862
31,5648,GET,true,15.765
32,3044,GET,true,14.855
33,16384,GET,true,17.436
34,9308,PUT,false,46.518
35,10576,GET,true,18.637
36,8156,GET,true,16.242
37,2192,GET,true,15.235
38,12284,GET,true,14.436
39,2144,GET,true,14.004
40,1364,GET,true,14.767
41,2344,GET,true,15.363
42,2608,GET,true,14.219
43,3040,PUT,false,30.15
44,7328,PUT,false,25.913
45,2628,GET,true,15.469
46,2608,GET,true,12.236
47,147456,GET,true,66.84
48,2536,GET,true,41.829
49,18857984,GET,true,3286.297
50,49152,GET,true,25.242
51,4448,GET,true,16.916
52,2628,GET,true,12.872
53,2628,GET,true,14.35
54,2628,GET,true,11.74
55,82493440,GET,true,14960.107
56,2628,GET,true,28.323
57,16384,GET,true,18.078
58,2628,GET,true,13.814
59,2200,GET,true,14.999
60,327680,GET,true,98.454
61,2628,GET,true,13.506
62,2628,GET,true,15.037
63,163840,GET,true,43.152
64,1916928,GET,true,418.493
65,229376,GET,true,95.62
66,16384,GET,true,70.105
67,458752,GET,true,118.82
68,1132,GET,true,16.168
69,2604,GET,true,15.544
70,2340,GET,true,14.968
71,3376,GET,true,14.308
72,2628,GET,true,13.204
73,12284,GET,true,15.825
74,2532,GET,true,13.975
75,16384,GET,true,16.398
76,1916928,GET,true,11916.175
77,12284,GET,true,16.348
78,10576,GET,true,14.547
79,158695424,GET,true,61495.165
80,6208,GET,true,36.699
81,7476,GET,true,18.796
82,10576,GET,true,15.512
83,1687552,GET,true,10361.037
84,1156,GET,true,20.552
85,4931584,PUT,false,1600.94
86,7476,GET,true,16.914
87,109051904,GET,true,19882.723
88,2632,GET,true,57.047
89,35520512,GET,true,30312.659
90,2232,PUT,false,49.94
91,2628,GET,true,18.674
92,5580,GET,true,14.727
93,12284,GET,true,15.425
94,27426816,GET,true,17998.645
95,2056,GET,true,17.183
96,13112,GET,true,17.21
97,3896,GET,true,13.896
98,2965504,GET,true,567.057
99,6704,GET,true,18.135
100,3656,GET,true,14.406
101,16384,GET,true,16.975
102,3256,GET,true,12.812
103,6044,GET,true,18.5
104,12284,GET,true,14.796
105,2608,GET,true,12.891
106,3358720,GET,true,615.352
107,4944,GET,true,14.228
108,2056,GET,true,12.142
109,2212,PUT,false,29.82
110,2628,GET,true,13.691
111,4352,GET,true,14.127
112,2628,GET,true,12.505
113,2632,GET,true,12.709
114,4964352,GET,true,891.585
115,2628,GET,true,14.785
116,3436,GET,true,12.118
117,573440,GET,true,137.64
118,72220672,GET,true,36155.384
119,2628,GET,true,29.621
120,91488256,GET,true,28962.25
121,2628,GET,true,29.652
122,160874496,GET,true,32604.101
123,12284,GET,true,30.852
124,7864320,GET,true,1394.431
125,81920,GET,true,33.59
126,1424,GET,true,13.891
127,16384,GET,true,17.331
128,36601856,GET,true,5964.775
129,1436,GET,true,15.322
130,3376,GET,true,14.411
131,36683776,GET,true,30280.607
132,1776,GET,true,33.791
133,203227136,GET,true,47884.182
134,2628,GET,true,36.535
135,2628,GET,true,17.85
136,1392,GET,true,18.777
137,2628,GET,true,14.558
138,9848,GET,true,14.935
139,25346048,GET,true,4154.603
140,65536,GET,true,27.175
141,1400,GET,true,14.582
142,3732,GET,true,14.034
143,18857984,PUT,false,5761.427
144,1572,GET,true,17.937
145,80412672,GET,true,14529.207
146,21807104,GET,true,3568.89
147,10715136,GET,true,27176.839
148,8798208,GET,true,13841.041
149,2628,GET,true,19.827
150,2523136,GET,true,11550.862
151,2628,GET,true,12.774
152,2200,GET,true,15.186
153,5356,GET,true,14.764
154,191889408,GET,true,40797.284
155,16384,GET,true,18.628
156,704512,GET,true,153.195
157,1996,GET,true,13.924
158,2620,GET,true,12.93
159,1776,GET,true,11.813
160,1156,GET,true,11.55
161,2608,GET,true,12.477
162,1156,GET,true,11.667
163,5232,GET,true,12.072
164,65536,GET,true,31.928
165,2620,GET,true,12.835
166,16384,GET,true,14.46
167,18857984,GET,true,3640.459
168,43368448,GET,true,31555.742
169,143474688,GET,true,43840.167
170,2632,GET,true,19.323
171,1576,GET,true,13.411
172,9584640,GET,true,27219.716
173,22102016,GET,true,15971.634
174,9814016,GET,true,1715.489
175,1916928,GET,true,390.853
176,16384,GET,true,17.042
177,16384,GET,true,14.188
178,2490368,GET,true,579.734
179,12156,GET,true,17.117
180,2628,GET,true,12.228
181,12820,GET,true,14.451
182,12284,GET,true,13.35
183,1576,GET,true,10.206
184,114688,GET,true,33.069
185,2628,GET,true,13.065
186,4272,GET,true,12.452
187,13598720,GET,true,2310.491
188,2392064,GET,true,468.659
189,1156,GET,true,12.43
190,12284,GET,true,11.812
191,49774592,GET,true,8804.135
192,14352384,GET,true,27635.934
