recoveryMicroEC, filename /tmp65536eccache.dat monECSubStripeNum 4 transferSize 16384 loop 1000 degradeNum 1
MicroEC Coding Ready

/tmp65536eccache.dat is a ReplicasFile!
networkSizeArray [16384]
starting benchmark...
Loop 219 (us) 43.796
Loop 220 (us) 44.025
Loop 221 (us) 46.671
Loop 222 (us) 45.758
Loop 223 (us) 44.719
Loop 224 (us) 44.478
Loop 225 (us) 44.823
Loop 226 (us) 50.888
Loop 227 (us) 44.228
Loop 228 (us) 45.101
Loop 229 (us) 44.502
Loop 230 (us) 44.316
Loop 231 (us) 43.805
Loop 232 (us) 51.101
Loop 233 (us) 44.73
Loop 234 (us) 45.122
Loop 235 (us) 45.744
Loop 236 (us) 44.511
Loop 237 (us) 45.563
Loop 238 (us) 44.541
Loop 239 (us) 44.221
Loop 240 (us) 44.285
Loop 241 (us) 44.642
Loop 242 (us) 51.723
Loop 243 (us) 57.904
Loop 244 (us) 53.868
Loop 245 (us) 70.754
Loop 246 (us) 45.455
Loop 247 (us) 43.572
Loop 248 (us) 43.101
Loop 249 (us) 44.221
Loop 250 (us) 43.819
Loop 251 (us) 54.866
Loop 252 (us) 43.262
Loop 253 (us) 41.914
Loop 254 (us) 42.608
Loop 255 (us) 53.637
Loop 256 (us) 41.791
Loop 257 (us) 44.332
Loop 258 (us) 42.82
Loop 259 (us) 41.726
Loop 260 (us) 42.785
Loop 261 (us) 42.399
Loop 262 (us) 42.267
Loop 263 (us) 41.998
Loop 264 (us) 42.827
Loop 265 (us) 49.748
Loop 266 (us) 43.142
Loop 267 (us) 47.497
Loop 268 (us) 42.099
Loop 269 (us) 42.109
Loop 270 (us) 42.248
Loop 271 (us) 42.231
Loop 272 (us) 44.779
Loop 273 (us) 42.779
Loop 274 (us) 45.839
Loop 275 (us) 44.119
Loop 276 (us) 43.171
Loop 277 (us) 42.972
Loop 278 (us) 43.946
Loop 279 (us) 44.272
Loop 280 (us) 70.605
Loop 281 (us) 47.226
Loop 282 (us) 48.307
Loop 283 (us) 57.15
Loop 284 (us) 83.618
Loop 285 (us) 43.081
Loop 286 (us) 43.119
Loop 287 (us) 42.457
Loop 288 (us) 41.509
Loop 289 (us) 42.431
Loop 290 (us) 42.188
Loop 291 (us) 42.005
Loop 292 (us) 41.548
Loop 293 (us) 41.947
Loop 294 (us) 52.81
Loop 295 (us) 54.321
Loop 296 (us) 50.782
Loop 297 (us) 42.461
Loop 298 (us) 49.534
Loop 299 (us) 48.061
Loop 300 (us) 42.024
Loop 301 (us) 41.834
Loop 302 (us) 42.065
Loop 303 (us) 41.945
Loop 304 (us) 61.569
Loop 305 (us) 58.915
Loop 306 (us) 61.195
Loop 307 (us) 44.477
Loop 308 (us) 42.676
Loop 309 (us) 44.631
Loop 310 (us) 41.608
Loop 311 (us) 43.562
Loop 312 (us) 41.602
Loop 313 (us) 41.845
Loop 314 (us) 41.847
Loop 315 (us) 42.291
Loop 316 (us) 60.248
Loop 317 (us) 41.442
Loop 318 (us) 42.317
Loop 319 (us) 41.903
Loop 320 (us) 41.57
Loop 321 (us) 42.036
Loop 322 (us) 41.108
Loop 323 (us) 41.235
Loop 324 (us) 48.743
Loop 325 (us) 41.44
Loop 326 (us) 40.972
Loop 327 (us) 42.322
Loop 328 (us) 41.661
Loop 329 (us) 42.198
Loop 330 (us) 44.183
Loop 331 (us) 41.065
Loop 332 (us) 41.568
Loop 333 (us) 41.681
Loop 334 (us) 41.434
Loop 335 (us) 41.125
Loop 336 (us) 41.154
Loop 337 (us) 39.962
Loop 338 (us) 41.608
Loop 339 (us) 41.919
Loop 340 (us) 43.727
Loop 341 (us) 41.741
Loop 342 (us) 43.662
Loop 343 (us) 42.842
Loop 344 (us) 42.318
Loop 345 (us) 42.872
Loop 346 (us) 59.524
Loop 347 (us) 49.144
Loop 348 (us) 42.607
Loop 349 (us) 41.175
Loop 350 (us) 41.382
Loop 351 (us) 41.207
Loop 352 (us) 40.917
Loop 353 (us) 41.258
Loop 354 (us) 41.074
Loop 355 (us) 41.759
Loop 356 (us) 41.38
Loop 357 (us) 41.192
Loop 358 (us) 40.58
Loop 359 (us) 41.03
Loop 360 (us) 40.363
Loop 361 (us) 41.6
Loop 362 (us) 40.548
Loop 363 (us) 40.609
Loop 364 (us) 41.129
Loop 365 (us) 41.289
Loop 366 (us) 40.633
Loop 367 (us) 47.79
Loop 368 (us) 41.705
Loop 369 (us) 41.025
Loop 370 (us) 55.838
Loop 371 (us) 41.777
Loop 372 (us) 41.239
Loop 373 (us) 40.83
Loop 374 (us) 40.908
Loop 375 (us) 41.861
Loop 376 (us) 41.5
Loop 377 (us) 40.571
Loop 378 (us) 41.232
Loop 379 (us) 41.406
Loop 380 (us) 41.086
Loop 381 (us) 40.179
Loop 382 (us) 41.155
Loop 383 (us) 41.267
Loop 384 (us) 41.715
Loop 385 (us) 41.182
Loop 386 (us) 41.766
Loop 387 (us) 41.214
Loop 388 (us) 41.482
Loop 389 (us) 47.846
Loop 390 (us) 40.932
Loop 391 (us) 41.012
Loop 392 (us) 40.726
Loop 393 (us) 40.644
Loop 394 (us) 40.776
Loop 395 (us) 40.908
Loop 396 (us) 42.641
Loop 397 (us) 41.387
Loop 398 (us) 41.396
Loop 399 (us) 41.43
Loop 400 (us) 40.986
Loop 401 (us) 40.886
Loop 402 (us) 41.18
Loop 403 (us) 41.235
Loop 404 (us) 41.659
Loop 405 (us) 41.068
Loop 406 (us) 40.806
Loop 407 (us) 42.824
Loop 408 (us) 62.227
Loop 409 (us) 41.925
Loop 410 (us) 48.753
Loop 411 (us) 41.386
Loop 412 (us) 41.841
Loop 413 (us) 40.908
Loop 414 (us) 41.252
Loop 415 (us) 42.202
Loop 416 (us) 41.349
Loop 417 (us) 41.306
Loop 418 (us) 40.945
Loop 419 (us) 41.292
Loop 420 (us) 40.997
Loop 421 (us) 40.576
Loop 422 (us) 41.096
Loop 423 (us) 40.995
Loop 424 (us) 40.359
Loop 425 (us) 41.096
Loop 426 (us) 41.424
Loop 427 (us) 40.903
Loop 428 (us) 41.222
Loop 429 (us) 41.278
Loop 430 (us) 40.667
Loop 431 (us) 40.855
Loop 432 (us) 43.081
Loop 433 (us) 41.901
Loop 434 (us) 61.031
Loop 435 (us) 41.577
Loop 436 (us) 41.631
Loop 437 (us) 41.234
Loop 438 (us) 45.222
Loop 439 (us) 41.063
Loop 440 (us) 41.021
Loop 441 (us) 40.629
Loop 442 (us) 41.152
Loop 443 (us) 40.74
Loop 444 (us) 40.799
Loop 445 (us) 40.314
Loop 446 (us) 40.99
Loop 447 (us) 40.762
Loop 448 (us) 41.092
Loop 449 (us) 41.042
Loop 450 (us) 40.817
Loop 451 (us) 41.364
Loop 452 (us) 41.391
Loop 453 (us) 41.32
Loop 454 (us) 49.637
Loop 455 (us) 41.001
Loop 456 (us) 41.245
Loop 457 (us) 41.681
Loop 458 (us) 42.311
Loop 459 (us) 41.257
Loop 460 (us) 40.91
Loop 461 (us) 41.083
Loop 462 (us) 40.72
Loop 463 (us) 40.607
Loop 464 (us) 40.721
Loop 465 (us) 41.511
Loop 466 (us) 40.535
Loop 467 (us) 41.05
Loop 468 (us) 40.744
Loop 469 (us) 41.451
Loop 470 (us) 41.057
Loop 471 (us) 41.189
Loop 472 (us) 41.87
Loop 473 (us) 40.321
Loop 474 (us) 41.143
Loop 475 (us) 41.152
Loop 476 (us) 42.802
Loop 477 (us) 40.921
Loop 478 (us) 40.56
Loop 479 (us) 40.535
Loop 480 (us) 40.91
Loop 481 (us) 40.924
Loop 482 (us) 41.391
Loop 483 (us) 41.162
Loop 484 (us) 42.647
Loop 485 (us) 49.778
Loop 486 (us) 41.209
Loop 487 (us) 40.645
Loop 488 (us) 40.943
Loop 489 (us) 41.555
Loop 490 (us) 41.604
Loop 491 (us) 41.51
Loop 492 (us) 41.094
Loop 493 (us) 41.36
Loop 494 (us) 41.407
Loop 495 (us) 41.065
Loop 496 (us) 40.493
Loop 497 (us) 40.988
Loop 498 (us) 75.89
Loop 499 (us) 42.34
Loop 500 (us) 41.136
Loop 501 (us) 40.777
Loop 502 (us) 41.006
Loop 503 (us) 40.897
Loop 504 (us) 42.754
Loop 505 (us) 40.732
Loop 506 (us) 41.377
Loop 507 (us) 41.026
Loop 508 (us) 40.527
Loop 509 (us) 44.163
Loop 510 (us) 57.733
Loop 511 (us) 52.041
Loop 512 (us) 53.281
Loop 513 (us) 41.504
Loop 514 (us) 43.95
Loop 515 (us) 40.507
Loop 516 (us) 48.956
Loop 517 (us) 41.409
Loop 518 (us) 40.247
Loop 519 (us) 42.125
Loop 520 (us) 40.383
Loop 521 (us) 42.279
Loop 522 (us) 50.93
Loop 523 (us) 44.058
Loop 524 (us) 40.93
Loop 525 (us) 48.587
Loop 526 (us) 41.021
Loop 527 (us) 40.419
Loop 528 (us) 40.399
Loop 529 (us) 40.398
Loop 530 (us) 41.668
Loop 531 (us) 40.841
Loop 532 (us) 41.154
Loop 533 (us) 63.108
Loop 534 (us) 61.412
Loop 535 (us) 65.857
Loop 536 (us) 41.786
Loop 537 (us) 39.43
Loop 538 (us) 52.2
Loop 539 (us) 44.89
Loop 540 (us) 40.552
Loop 541 (us) 39.78
Loop 542 (us) 40.228
Loop 543 (us) 40.011
Loop 544 (us) 39.808
Loop 545 (us) 40.414
Loop 546 (us) 40.767
Loop 547 (us) 39.884
Loop 548 (us) 39.74
Loop 549 (us) 609.242
Loop 550 (us) 40.194
Loop 551 (us) 38.845
Loop 552 (us) 39.762
Loop 553 (us) 39.229
Loop 554 (us) 39.791
Loop 555 (us) 39.353
Loop 556 (us) 39.361
Loop 557 (us) 39.723
Loop 558 (us) 39.32
Loop 559 (us) 39.118
Loop 560 (us) 39.698
Loop 561 (us) 39.275
Loop 562 (us) 87.844
Loop 563 (us) 42.889
Loop 564 (us) 39.671
Loop 565 (us) 39.319
Loop 566 (us) 39.114
Loop 567 (us) 39.22
Loop 568 (us) 39.037
Loop 569 (us) 39.117
Loop 570 (us) 38.896
Loop 571 (us) 41.599
Loop 572 (us) 39.356
Loop 573 (us) 39.016
Loop 574 (us) 39.094
Loop 575 (us) 39.384
Loop 576 (us) 39.63
Loop 577 (us) 39.313
Loop 578 (us) 38.96
Loop 579 (us) 39.55
Loop 580 (us) 39.401
Loop 581 (us) 39.322
Loop 582 (us) 38.873
Loop 583 (us) 39.45
Loop 584 (us) 39.432
Loop 585 (us) 39.037
Loop 586 (us) 48.579
Loop 587 (us) 39.806
Loop 588 (us) 38.792
Loop 589 (us) 39.093
Loop 590 (us) 38.682
Loop 591 (us) 38.8
Loop 592 (us) 38.749
Loop 593 (us) 39.048
Loop 594 (us) 43.97
Loop 595 (us) 38.992
Loop 596 (us) 38.981
Loop 597 (us) 39.545
Loop 598 (us) 62.921
Loop 599 (us) 57.862
Loop 600 (us) 39.731
Loop 601 (us) 51.567
Loop 602 (us) 48.463
Loop 603 (us) 39.864
Loop 604 (us) 38.477
Loop 605 (us) 38.685
Loop 606 (us) 39.129
Loop 607 (us) 38.727
Loop 608 (us) 39.128
Loop 609 (us) 38.579
Loop 610 (us) 38.466
Loop 611 (us) 38.59
Loop 612 (us) 38.637
Loop 613 (us) 39.249
Loop 614 (us) 38.508
Loop 615 (us) 38.892
Loop 616 (us) 44.914
Loop 617 (us) 39.541
Loop 618 (us) 38.777
Loop 619 (us) 39.089
Loop 620 (us) 39.563
Loop 621 (us) 39.169
Loop 622 (us) 38.955
Loop 623 (us) 39.024
Loop 624 (us) 38.608
Loop 625 (us) 38.761
Loop 626 (us) 45.987
Loop 627 (us) 59.209
Loop 628 (us) 39.964
Loop 629 (us) 38.898
Loop 630 (us) 38.643
Loop 631 (us) 38.57
Loop 632 (us) 38.578
Loop 633 (us) 38.962
Loop 634 (us) 38.497
Loop 635 (us) 38.501
Loop 636 (us) 45.832
Loop 637 (us) 43.969
Loop 638 (us) 51.673
Loop 639 (us) 43.053
Loop 640 (us) 39.382
Loop 641 (us) 39.016
Loop 642 (us) 38.681
Loop 643 (us) 39.615
Loop 644 (us) 38.641
Loop 645 (us) 38.28
Loop 646 (us) 38.714
Loop 647 (us) 38.014
Loop 648 (us) 38.575
Loop 649 (us) 38.152
Loop 650 (us) 38.371
Loop 651 (us) 38.978
Loop 652 (us) 38.107
Loop 653 (us) 38.304
Loop 654 (us) 38.464
Loop 655 (us) 48.93
Loop 656 (us) 38.586
Loop 657 (us) 42.193
Loop 658 (us) 39.335
Loop 659 (us) 38.385
Loop 660 (us) 38.632
Loop 661 (us) 45.179
Loop 662 (us) 39.993
Loop 663 (us) 38.831
Loop 664 (us) 38.094
Loop 665 (us) 38.568
Loop 666 (us) 38.411
Loop 667 (us) 37.79
Loop 668 (us) 37.957
Loop 669 (us) 38.2
Loop 670 (us) 37.843
Loop 671 (us) 37.646
Loop 672 (us) 44.309
Loop 673 (us) 38.035
Loop 674 (us) 37.864
Loop 675 (us) 37.686
Loop 676 (us) 38.604
Loop 677 (us) 38.096
Loop 678 (us) 37.806
Loop 679 (us) 38.236
Loop 680 (us) 38.638
Loop 681 (us) 38.749
Loop 682 (us) 38.178
Loop 683 (us) 40.956
Loop 684 (us) 46.373
Loop 685 (us) 39.186
Loop 686 (us) 38.2
Loop 687 (us) 38.42
Loop 688 (us) 38.774
Loop 689 (us) 39.211
Loop 690 (us) 45.684
Loop 691 (us) 38.744
Loop 692 (us) 38.04
Loop 693 (us) 39.029
Loop 694 (us) 38.347
Loop 695 (us) 37.905
Loop 696 (us) 38.117
Loop 697 (us) 37.814
Loop 698 (us) 37.87
Loop 699 (us) 38.095
Loop 700 (us) 37.615
Loop 701 (us) 38.0
Loop 702 (us) 37.761
Loop 703 (us) 38.094
Loop 704 (us) 37.869
Loop 705 (us) 37.884
Loop 706 (us) 38.322
Loop 707 (us) 37.923
Loop 708 (us) 39.66
Loop 709 (us) 38.381
Loop 710 (us) 37.958
Loop 711 (us) 40.391
Loop 712 (us) 37.737
Loop 713 (us) 38.566
Loop 714 (us) 38.269
Loop 715 (us) 37.632
Loop 716 (us) 37.584
Loop 717 (us) 37.917
Loop 718 (us) 37.951
Loop 719 (us) 38.253
Loop 720 (us) 38.411
Loop 721 (us) 37.814
Loop 722 (us) 38.032
Loop 723 (us) 38.608
Loop 724 (us) 37.646
Loop 725 (us) 37.821
Loop 726 (us) 38.794
Loop 727 (us) 38.722
Loop 728 (us) 38.435
Loop 729 (us) 38.347
Loop 730 (us) 38.147
Loop 731 (us) 47.037
Loop 732 (us) 42.377
Loop 733 (us) 38.433
Loop 734 (us) 37.842
Loop 735 (us) 37.553
Loop 736 (us) 37.639
Loop 737 (us) 38.025
Loop 738 (us) 38.003
Loop 739 (us) 37.721
Loop 740 (us) 37.631
Loop 741 (us) 54.167
Loop 742 (us) 37.602
Loop 743 (us) 37.5
Loop 744 (us) 37.772
Loop 745 (us) 37.487
Loop 746 (us) 37.372
Loop 747 (us) 37.31
Loop 748 (us) 37.188
Loop 749 (us) 37.362
Loop 750 (us) 55.308
Loop 751 (us) 37.693
Loop 752 (us) 37.612
Loop 753 (us) 37.187
Loop 754 (us) 42.721
Loop 755 (us) 43.811
Loop 756 (us) 37.354
Loop 757 (us) 37.15
Loop 758 (us) 37.225
Loop 759 (us) 37.394
Loop 760 (us) 36.948
Loop 761 (us) 37.231
Loop 762 (us) 37.114
Loop 763 (us) 37.325
Loop 764 (us) 37.309
Loop 765 (us) 37.116
Loop 766 (us) 37.797
Loop 767 (us) 37.496
Loop 768 (us) 37.361
Loop 769 (us) 37.04
Loop 770 (us) 37.052
Loop 771 (us) 36.702
Loop 772 (us) 37.083
Loop 773 (us) 37.471
Loop 774 (us) 37.387
Loop 775 (us) 36.942
Loop 776 (us) 37.115
Loop 777 (us) 36.999
Loop 778 (us) 37.299
Loop 779 (us) 42.979
Loop 780 (us) 37.734
Loop 781 (us) 37.05
Loop 782 (us) 37.186
Loop 783 (us) 37.306
Loop 784 (us) 37.56
Loop 785 (us) 37.623
Loop 786 (us) 37.726
Loop 787 (us) 37.407
Loop 788 (us) 37.387
Loop 789 (us) 37.307
Loop 790 (us) 37.146
Loop 791 (us) 37.074
Loop 792 (us) 36.938
Loop 793 (us) 37.261
Loop 794 (us) 37.44
Loop 795 (us) 37.008
Loop 796 (us) 36.753
Loop 797 (us) 37.721
Loop 798 (us) 37.318
Loop 799 (us) 37.363
Loop 800 (us) 37.747
Loop 801 (us) 37.8
Loop 802 (us) 37.128
Loop 803 (us) 37.258
Loop 804 (us) 37.963
Loop 805 (us) 37.728
Loop 806 (us) 37.119
Loop 807 (us) 37.172
Loop 808 (us) 37.298
Loop 809 (us) 37.473
Loop 810 (us) 37.341
Loop 811 (us) 37.035
Loop 812 (us) 37.433
Loop 813 (us) 37.632
Loop 814 (us) 37.429
Loop 815 (us) 37.147
Loop 816 (us) 37.902
Loop 817 (us) 37.186
Loop 818 (us) 42.645
Loop 819 (us) 37.367
Loop 820 (us) 37.081
Loop 821 (us) 39.907
Loop 822 (us) 37.482
