recoveryReplicas, filename /tmp16777216replicas.dat, loop 1000
/tmp16777216replicas.dat is a ReplicasFile!
starting benchmark...
Loop 207 (us) 5150.786
Loop 208 (us) 5153.976
Loop 209 (us) 5153.809
Loop 210 (us) 5151.398
Loop 211 (us) 5153.144
Loop 212 (us) 5153.467
Loop 213 (us) 5151.243
Loop 214 (us) 5151.358
Loop 215 (us) 5151.043
Loop 216 (us) 5152.883
Loop 217 (us) 5152.846
Loop 218 (us) 5152.242
Loop 219 (us) 5152.032
Loop 220 (us) 5151.753
Loop 221 (us) 5151.564
Loop 222 (us) 5153.2
Loop 223 (us) 5153.468
Loop 224 (us) 5152.909
Loop 225 (us) 5153.86
Loop 226 (us) 5152.411
Loop 227 (us) 5152.185
Loop 228 (us) 5153.981
Loop 229 (us) 5151.984
Loop 230 (us) 5153.799
Loop 231 (us) 5152.245
Loop 232 (us) 5152.604
Loop 233 (us) 5151.424
Loop 234 (us) 5151.593
Loop 235 (us) 5151.81
Loop 236 (us) 5151.348
Loop 237 (us) 5151.626
Loop 238 (us) 5153.236
Loop 239 (us) 5153.103
Loop 240 (us) 5152.498
Loop 241 (us) 5152.859
Loop 242 (us) 5152.205
Loop 243 (us) 5155.042
Loop 244 (us) 5153.488
Loop 245 (us) 5153.339
Loop 246 (us) 5152.356
Loop 247 (us) 5152.334
Loop 248 (us) 5151.951
Loop 249 (us) 5151.282
Loop 250 (us) 5152.106
Loop 251 (us) 5150.666
Loop 252 (us) 5152.882
Loop 253 (us) 5153.5
Loop 254 (us) 5153.654
Loop 255 (us) 5161.096
Loop 256 (us) 5155.01
Loop 257 (us) 5153.6
Loop 258 (us) 5152.407
Loop 259 (us) 5151.337
Loop 260 (us) 5153.483
Loop 261 (us) 5156.879
Loop 262 (us) 5153.759
Loop 263 (us) 5153.523
Loop 264 (us) 5153.432
Loop 265 (us) 5153.297
Loop 266 (us) 5153.093
Loop 267 (us) 5153.062
Loop 268 (us) 5152.589
Loop 269 (us) 5151.944
Loop 270 (us) 5151.641
Loop 271 (us) 5153.044
Loop 272 (us) 5151.204
Loop 273 (us) 5153.542
Loop 274 (us) 5152.038
Loop 275 (us) 5151.814
Loop 276 (us) 5152.853
Loop 277 (us) 5151.595
Loop 278 (us) 5159.037
Loop 279 (us) 5190.046
Loop 280 (us) 5154.301
Loop 281 (us) 5152.762
Loop 282 (us) 5151.834
Loop 283 (us) 5152.914
Loop 284 (us) 5151.344
Loop 285 (us) 5151.142
Loop 286 (us) 5152.048
Loop 287 (us) 5152.897
Loop 288 (us) 5151.618
Loop 289 (us) 5152.77
Loop 290 (us) 5155.211
Loop 291 (us) 5153.475
Loop 292 (us) 5152.777
Loop 293 (us) 5150.965
Loop 294 (us) 5152.316
Loop 295 (us) 5152.519
Loop 296 (us) 5154.134
Loop 297 (us) 5151.786
Loop 298 (us) 5153.174
Loop 299 (us) 5150.977
Loop 300 (us) 5151.105
Loop 301 (us) 5152.883
Loop 302 (us) 5153.303
Loop 303 (us) 5151.714
Loop 304 (us) 5154.015
Loop 305 (us) 5154.454
Loop 306 (us) 5153.573
Loop 307 (us) 5151.939
Loop 308 (us) 5153.973
Loop 309 (us) 5154.348
Loop 310 (us) 5155.195
Loop 311 (us) 5152.227
Loop 312 (us) 5151.51
Loop 313 (us) 5152.254
Loop 314 (us) 5152.68
Loop 315 (us) 5152.966
Loop 316 (us) 5152.185
Loop 317 (us) 5150.962
Loop 318 (us) 5151.329
Loop 319 (us) 5152.137
Loop 320 (us) 5152.001
Loop 321 (us) 5154.738
Loop 322 (us) 5153.239
Loop 323 (us) 5153.68
Loop 324 (us) 5151.597
Loop 325 (us) 5152.568
Loop 326 (us) 5152.375
Loop 327 (us) 5152.328
Loop 328 (us) 5153.358
Loop 329 (us) 5151.463
Loop 330 (us) 5151.894
Loop 331 (us) 5151.93
Loop 332 (us) 5152.273
Loop 333 (us) 5154.637
Loop 334 (us) 5155.48
Loop 335 (us) 5150.613
Loop 336 (us) 5153.52
Loop 337 (us) 5152.622
Loop 338 (us) 5152.8
Loop 339 (us) 5152.519
Loop 340 (us) 5151.618
Loop 341 (us) 5153.886
Loop 342 (us) 5153.405
Loop 343 (us) 5152.144
Loop 344 (us) 5151.225
Loop 345 (us) 5152.083
Loop 346 (us) 5152.031
Loop 347 (us) 5153.1
Loop 348 (us) 5154.493
Loop 349 (us) 5151.695
Loop 350 (us) 5152.308
Loop 351 (us) 5151.853
Loop 352 (us) 5151.795
Loop 353 (us) 5151.668
Loop 354 (us) 5151.656
Loop 355 (us) 5151.871
Loop 356 (us) 5151.482
Loop 357 (us) 5152.611
Loop 358 (us) 5152.91
Loop 359 (us) 5152.569
Loop 360 (us) 5153.384
Loop 361 (us) 5153.617
Loop 362 (us) 5151.813
Loop 363 (us) 5152.256
Loop 364 (us) 5153.079
Loop 365 (us) 5154.471
Loop 366 (us) 5152.322
Loop 367 (us) 5154.024
Loop 368 (us) 5153.308
Loop 369 (us) 5153.215
Loop 370 (us) 5151.805
Loop 371 (us) 5152.783
Loop 372 (us) 5153.509
Loop 373 (us) 5152.197
Loop 374 (us) 5154.636
Loop 375 (us) 5153.394
Loop 376 (us) 5154.815
Loop 377 (us) 5153.03
Loop 378 (us) 5152.76
Loop 379 (us) 5152.804
Loop 380 (us) 5151.825
Loop 381 (us) 5152.396
Loop 382 (us) 5152.422
Loop 383 (us) 5153.412
Loop 384 (us) 5152.57
Loop 385 (us) 5151.927
Loop 386 (us) 5153.276
Loop 387 (us) 5150.739
Loop 388 (us) 5153.206
Loop 389 (us) 5153.179
Loop 390 (us) 5151.565
Loop 391 (us) 5151.554
Loop 392 (us) 5152.844
Loop 393 (us) 5152.335
Loop 394 (us) 5151.518
Loop 395 (us) 5153.792
Loop 396 (us) 5154.039
Loop 397 (us) 5153.242
Loop 398 (us) 5154.242
Loop 399 (us) 5157.204
Loop 400 (us) 5153.73
Loop 401 (us) 5152.653
Loop 402 (us) 5152.173
Loop 403 (us) 5158.004
Loop 404 (us) 5151.887
Loop 405 (us) 5151.875
Loop 406 (us) 5153.365
Loop 407 (us) 5151.99
Loop 408 (us) 5151.423
Loop 409 (us) 5151.592
Loop 410 (us) 5153.67
Loop 411 (us) 5151.208
Loop 412 (us) 5153.325
Loop 413 (us) 5152.885
Loop 414 (us) 5152.652
Loop 415 (us) 5152.85
Loop 416 (us) 5151.69
Loop 417 (us) 5152.022
Loop 418 (us) 5151.962
Loop 419 (us) 5151.766
Loop 420 (us) 5152.669
Loop 421 (us) 5152.458
Loop 422 (us) 5153.877
Loop 423 (us) 5152.391
Loop 424 (us) 5152.399
Loop 425 (us) 5154.087
Loop 426 (us) 5156.082
Loop 427 (us) 5154.866
Loop 428 (us) 5152.679
Loop 429 (us) 5151.548
Loop 430 (us) 5151.785
Loop 431 (us) 5151.56
Loop 432 (us) 5151.996
Loop 433 (us) 5153.243
Loop 434 (us) 5152.889
Loop 435 (us) 5154.978
Loop 436 (us) 5155.357
Loop 437 (us) 5151.625
Loop 438 (us) 5151.806
Loop 439 (us) 5153.539
Loop 440 (us) 5154.085
Loop 441 (us) 5152.362
Loop 442 (us) 5152.887
Loop 443 (us) 5152.918
Loop 444 (us) 5154.266
Loop 445 (us) 5151.747
Loop 446 (us) 5153.861
Loop 447 (us) 5152.084
Loop 448 (us) 5151.705
Loop 449 (us) 5151.69
Loop 450 (us) 5151.757
Loop 451 (us) 5150.753
Loop 452 (us) 5152.583
Loop 453 (us) 5153.115
Loop 454 (us) 5154.345
Loop 455 (us) 5154.218
Loop 456 (us) 5152.274
Loop 457 (us) 5150.566
Loop 458 (us) 5151.5
Loop 459 (us) 5154.811
Loop 460 (us) 5151.838
Loop 461 (us) 5152.806
Loop 462 (us) 5151.748
Loop 463 (us) 5153.297
Loop 464 (us) 5153.006
