writeMicroEC_CodingDescent, filename /tmp16777216microec.dat, size 16777216, loop 1000, storageClass 0, locationClass 0, monECSubStripeNum 1024
CrailConstants.REPLICATION_FACTOR has changed to 5
networkSizeArray [2097152, 3145728, 3670016, 3932160, 4063232, 4128768, 4194304]
starting benchmark...
replicas primary file /tmp16777216microec.dat capacity 0
replicas slave file /tmp16777216microec.datLQL0 capacity 0
replicas slave file /tmp16777216microec.datLQL1 capacity 0
replicas slave file /tmp16777216microec.datLQL2 capacity 0
replicas slave file /tmp16777216microec.datLQL3 capacity 0
replicas slave file /tmp16777216microec.datLQL4 capacity 0
CrailConstants.REPLICATION_FACTOR has changed to 5
ops 1000
final loop (us) 4000.421
Loop 0 (us) 3999.774
Loop 1 (us) 3988.622
Loop 2 (us) 3987.564
Loop 3 (us) 4316.759
Loop 4 (us) 4110.483
Loop 5 (us) 4000.728
Loop 6 (us) 3974.623
Loop 7 (us) 4145.609
Loop 8 (us) 4421.122
Loop 9 (us) 4543.226
Loop 10 (us) 4006.652
Loop 11 (us) 4333.941
Loop 12 (us) 4150.966
Loop 13 (us) 4053.464
Loop 14 (us) 3988.724
Loop 15 (us) 4139.079
Loop 16 (us) 3978.074
Loop 17 (us) 3987.412
Loop 18 (us) 3991.183
Loop 19 (us) 4009.89
Loop 20 (us) 4700.407
Loop 21 (us) 3995.266
Loop 22 (us) 4000.769
Loop 23 (us) 4410.252
Loop 24 (us) 4469.327
Loop 25 (us) 4353.759
Loop 26 (us) 4385.685
Loop 27 (us) 4598.574
Loop 28 (us) 4440.957
Loop 29 (us) 4068.694
Loop 30 (us) 4275.599
Loop 31 (us) 4188.288
Loop 32 (us) 4181.264
Loop 33 (us) 4109.474
Loop 34 (us) 4017.072
Loop 35 (us) 4147.567
Loop 36 (us) 4040.509
Loop 37 (us) 4003.868
Loop 38 (us) 4017.339
Loop 39 (us) 4045.418
Loop 40 (us) 4005.316
Loop 41 (us) 3999.744
Loop 42 (us) 3990.652
Loop 43 (us) 4349.381
Loop 44 (us) 3986.728
Loop 45 (us) 4002.962
Loop 46 (us) 4143.497
Loop 47 (us) 3994.718
Loop 48 (us) 3988.942
Loop 49 (us) 3982.578
Loop 50 (us) 4000.484
Loop 51 (us) 4006.315
Loop 52 (us) 4001.297
Loop 53 (us) 4415.042
Loop 54 (us) 4382.488
Loop 55 (us) 4196.943
Loop 56 (us) 4449.3
Loop 57 (us) 4034.235
Loop 58 (us) 4370.77
Loop 59 (us) 3992.106
Loop 60 (us) 4053.648
Loop 61 (us) 3989.648
Loop 62 (us) 3996.714
Loop 63 (us) 3987.657
Loop 64 (us) 3985.692
Loop 65 (us) 3990.233
Loop 66 (us) 3982.484
Loop 67 (us) 3984.823
Loop 68 (us) 3982.903
Loop 69 (us) 3994.318
Loop 70 (us) 3968.983
Loop 71 (us) 3995.692
Loop 72 (us) 4048.97
Loop 73 (us) 4015.391
Loop 74 (us) 4014.858
Loop 75 (us) 4420.245
Loop 76 (us) 4338.286
Loop 77 (us) 4287.787
Loop 78 (us) 4408.989
Loop 79 (us) 4291.645
Loop 80 (us) 4053.095
Loop 81 (us) 4044.147
Loop 82 (us) 4299.144
Loop 83 (us) 3977.544
Loop 84 (us) 4003.264
Loop 85 (us) 4722.448
Loop 86 (us) 4568.644
Loop 87 (us) 3981.423
Loop 88 (us) 4372.045
Loop 89 (us) 4297.11
Loop 90 (us) 4261.673
Loop 91 (us) 4162.653
Loop 92 (us) 3988.428
Loop 93 (us) 4006.96
Loop 94 (us) 4164.378
Loop 95 (us) 3994.07
Loop 96 (us) 4021.733
Loop 97 (us) 3996.412
Loop 98 (us) 4424.836
Loop 99 (us) 3981.29
Loop 100 (us) 4341.008
Loop 101 (us) 4002.478
Loop 102 (us) 3991.476
Loop 103 (us) 3981.96
Loop 104 (us) 3996.346
Loop 105 (us) 4008.844
Loop 106 (us) 3986.559
Loop 107 (us) 3988.525
Loop 108 (us) 4000.965
Loop 109 (us) 4016.834
Loop 110 (us) 3988.021
Loop 111 (us) 4225.28
Loop 112 (us) 4340.212
Loop 113 (us) 3989.122
Loop 114 (us) 4009.076
Loop 115 (us) 3983.453
Loop 116 (us) 4004.506
Loop 117 (us) 4237.586
Loop 118 (us) 4110.211
Loop 119 (us) 4061.198
Loop 120 (us) 3995.991
Loop 121 (us) 3988.054
Loop 122 (us) 4022.815
Loop 123 (us) 3992.568
Loop 124 (us) 3999.608
Loop 125 (us) 4423.359
Loop 126 (us) 4383.083
Loop 127 (us) 4398.806
Loop 128 (us) 4172.927
Loop 129 (us) 4019.794
Loop 130 (us) 3990.128
Loop 131 (us) 4007.82
Loop 132 (us) 4144.077
Loop 133 (us) 4017.704
Loop 134 (us) 3981.779
Loop 135 (us) 4059.138
Loop 136 (us) 4058.03
Loop 137 (us) 3988.634
Loop 138 (us) 3981.399
Loop 139 (us) 3980.157
Loop 140 (us) 3983.949
Loop 141 (us) 4384.286
Loop 142 (us) 3981.045
Loop 143 (us) 4305.255
Loop 144 (us) 3984.727
Loop 145 (us) 3994.87
Loop 146 (us) 3991.029
Loop 147 (us) 4090.991
Loop 148 (us) 4386.94
Loop 149 (us) 4302.285
Loop 150 (us) 3991.628
Loop 151 (us) 3991.229
Loop 152 (us) 4451.811
Loop 153 (us) 3976.244
Loop 154 (us) 4064.937
Loop 155 (us) 4257.452
Loop 156 (us) 4182.477
Loop 157 (us) 4010.492
Loop 158 (us) 4013.391
Loop 159 (us) 3995.069
Loop 160 (us) 4004.447
Loop 161 (us) 3984.969
Loop 162 (us) 3981.932
Loop 163 (us) 4081.675
Loop 164 (us) 3983.764
Loop 165 (us) 3987.798
